departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,25450.0
Legislatura Municipal,Vacaciones Acumuladas, Licencia Regular,100.0
Legislatura Municipal,Vacaciones Acumuladas, Licencia Enfermedad,100.0
Legislatura Municipal,Seguro Social Federal,1993.0
Legislatura Municipal,Plan Medico,4800.0
Legislatura Municipal,Bono Navideno,600.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Materiales de Mantenimiento,500.0
Legislatura Municipal,Acueducto y Alcantarillados,2000.0
Legislatura Municipal,Compra de Equipos,5000.0
Legislatura Municipal,Dietas,24000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,100.0
Legislatura Municipal,Relaciones Publicas,500.0
Legislatura Municipal,Gastos de Viaje,200.0
Legislatura Municipal,Servicios Legales,13200.0
Legislatura Municipal,Cuotas y Suscripciones,500.0
Legislatura Municipal,Renta de Equipos y Vehiculos,200.0
Legislatura Municipal,Miscelaneos,1200.0
Legislatura Municipal,Publicaciones y Anuncios,1000.0
Legislatura Municipal,Franqueo,500.0
Oficina del Alcalde(sa),Empleados Regulares,125190.0
Oficina del Alcalde(sa),Seguro Social Federal,9669.0
Oficina del Alcalde(sa),Plan Medico,9600.0
Oficina del Alcalde(sa),Bono Navideno,1200.0
Oficina del Alcalde(sa),Materiales de Oficina,500.0
Oficina del Alcalde(sa),Compra de Equipos,1000.0
Oficina del Alcalde(sa),Gastos de Representacion,1000.0
Finanzas,Empleados Regulares,123740.78
Finanzas,Vacaciones Acumuladas, Licencia Regular,500.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,500.0
Finanzas,Seguro Choferil,1300.0
Finanzas,Aportacion al Fondo de Equiparacion,680903.0
Finanzas,Seguro Social Federal,9650.0
Finanzas,Plan Medico,19200.0
Finanzas,Bono Navideno,2400.0
Finanzas,Seguro por Desempleo,70000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,147231.66
Finanzas,Materiales de Oficina,10000.0
Finanzas,Materiales de Mantenimiento,10000.0
Finanzas,Energia Electrica,166981.0
Finanzas,Acueducto y Alcantarillados,70000.0
Finanzas,Telefono y Comunicaciones,50000.0
Finanzas,Materiales y Suministros de Operacion,3000.0
Finanzas,Equipo de Oficina,4000.0
Finanzas,Adiestramientos,1000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),21500.0
Finanzas,Servicios Profesionales - No Clasificados,306000.0
Finanzas,Servicios No Profesionales,20000.0
Finanzas,Relaciones Publicas,13880.0
Finanzas,Gastos de Viaje,2000.0
Finanzas,Servicios Legales,69724.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Gastos de Salud,335574.0
Finanzas,Seguros,235654.0
Finanzas,Cuotas y Suscripciones,1000.0
Finanzas,Donaciones,10000.0
Finanzas,Renta de Edificios, Locales y Terrenos,100.0
Finanzas,Renta de Equipos y Vehiculos,4000.0
Finanzas,Deficit,1664.0
Finanzas,Intereses Cuentas Vendidas,8948.0
Finanzas,Mantenimiento de Equipo,25000.0
Finanzas,Reparacion y Mantenimiento de Estructuras,125000.0
Finanzas,Mantenimiento de Edificios,90000.0
Finanzas,Miscelaneos,25000.0
Finanzas,Publicaciones y Anuncios,4000.0
Finanzas,Franqueo,3500.0
Finanzas,Pago de Sentencias y Reclamaciones,10000.0
Finanzas,Reclamaciones Anos Anteriores,54097.0
Finanzas,Aportacion al CRIM,42232.0
Finanzas,Liquidacion Deuda del CRIM,131066.0
Finanzas,Transferencias que Salen,594278.0
Finanzas,Transferencias que Salen,15000.0
Obras Publicas,Empleados Regulares,188224.9
Obras Publicas,Seguro Social Federal,14720.5
Obras Publicas,Plan Medico,33600.0
Obras Publicas,Bono Navideno,4200.0
Obras Publicas,Combustible y Lubricantes,130000.0
Obras Publicas,Materiales de Construccion,3000.0
Obras Publicas,Vehiculos Municipales,1000.0
Obras Publicas,Compra de Equipos,5000.0
Obras Publicas,Costos de Construccion,5000.0
Obras Publicas,Renta de Equipos y Vehiculos,70000.0
Obras Publicas,Mantenimiento de Equipo,90000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,150000.0
Obras Publicas,Miscelaneos,10000.0
Obras Publicas,Materiales de Mantenimiento,1000.0
Obras Publicas,Materiales de Mantenimiento,1000.0
Obras Publicas,Materiales de Construccion,30000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,104125.0
Obras Publicas,Transferencias que Salen,3000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,47679.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,3717.0
Oficina Municipal Manejo de Emergencias,Plan Medico,7200.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,900.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,500.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,1000.0
Oficina Municipal Manejo de Emergencias,Combustible y Lubricantes,10000.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,10000.0
Oficina Municipal Manejo de Emergencias,Adiestramientos,1500.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,9300.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,1000.0
Guardia Municipal,Empleados Regulares,126367.39
Guardia Municipal,Seguro Social Federal,9897.0
Guardia Municipal,Plan Medico,24000.0
Guardia Municipal,Bono Navideno,3000.0
Guardia Municipal,Materiales de Oficina,1000.0
Guardia Municipal,Compra de Uniformes,2000.0
Guardia Municipal,Compra de Equipos,2000.0
Guardia Municipal,Adiestramientos,2000.0
Guardia Municipal,Servicios Profesionales - No Clasificados,3000.0
Guardia Municipal,Mantenimiento de Vehiculos,2000.0
Guardia Municipal,Miscelaneos,500.0
Recursos Humanos,Empleados Regulares,72084.0
Recursos Humanos,Empleados Transitorios,885483.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,12000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,60000.0
Recursos Humanos,Seguro Social Federal,79267.0
Recursos Humanos,Plan Medico,9600.0
Recursos Humanos,Bono Navideno,33600.0
Recursos Humanos,Beneficios Marginales,40000.0
Recursos Humanos,Adiestramientos,2000.0
Recursos Humanos,Servicios Profesionales - No Clasificados,100.0
Recursos Humanos,Servicios No Profesionales,170000.0
Recursos Humanos,Pruebas de Dopaje,2000.0
Recursos Humanos,Servicios Legales,108000.0
Recursos Humanos,Renta de Equipos y Vehiculos,1000.0
Recursos Humanos,Miscelaneos,2000.0
Recreacion y Deportes,Empleados Regulares,69991.97
Recreacion y Deportes,Seguro Social Federal,5470.0
Recreacion y Deportes,Plan Medico,12000.0
Recreacion y Deportes,Bono Navideno,1500.0
Recreacion y Deportes,Materiales de Mantenimiento,2000.0
Recreacion y Deportes,Materiales de Construccion,2000.0
