departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,48492.0
Legislatura Municipal,Seguro Social Federal,3863.0
Legislatura Municipal,Plan Medico,2400.0
Legislatura Municipal,Bono Navideno,2000.0
Legislatura Municipal,Materiales de Oficina,2000.0
Legislatura Municipal,Materiales de Mantenimiento,700.0
Legislatura Municipal,Compra de Equipos,2000.0
Legislatura Municipal,Dietas,39932.0
Legislatura Municipal,Relaciones Publicas,1000.0
Legislatura Municipal,Servicios Legales,10000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,2958.0
Legislatura Municipal,Mantenimiento de Equipo,500.0
Legislatura Municipal,Publicaciones y Anuncios,500.0
Legislatura Municipal,Otros Festivales o Actividades,11500.0
Oficina del Alcalde(sa),Empleados Regulares,299896.0
Oficina del Alcalde(sa),Seguro Social Federal,23700.0
Oficina del Alcalde(sa),Plan Medico,13201.0
Oficina del Alcalde(sa),Bono Navideno,9903.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,1000.0
Oficina del Alcalde(sa),Gastos de Representacion,5000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,29040.0
Oficina del Alcalde(sa),Servicios No Profesionales,15000.0
Oficina del Alcalde(sa),Relaciones Publicas,13500.0
Oficina del Alcalde(sa),Gastos de Viaje,1000.0
Oficina del Alcalde(sa),Servicios Legales,100500.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,5000.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,22093.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,3000.0
Oficina del Alcalde(sa),Mantenimiento de Edificios,8900.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,200.0
Oficina del Alcalde(sa),Festival o Actividad I,20000.0
Oficina del Alcalde(sa),Festival o Actividad II,20000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,5580.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,20000.0
Finanzas,Empleados Regulares,463812.0
Finanzas,Seguro Social Federal,37318.0
Finanzas,Plan Medico,28800.0
Finanzas,Bono Navideno,24000.0
Finanzas,Materiales de Oficina,10000.0
Finanzas,Equipo de Oficina,4500.0
Finanzas,Compra de Equipos,5000.0
Finanzas,Adiestramientos,1000.0
Finanzas,Servicios Profesionales - No Clasificados,16000.0
Finanzas,Renta de Equipos y Vehiculos,11099.0
Finanzas,Mantenimiento de Equipo,57888.0
Finanzas,Reclamaciones Anos Anteriores,5000.0
Finanzas,Seguro Choferil,3100.0
Finanzas,Seguro por Desempleo,5945.0
Finanzas,Beneficio por Fondo del Seguro del Estado,311496.0
Finanzas,Materiales de Mantenimiento,9500.0
Finanzas,Energia Electrica,422250.0
Finanzas,Acueducto y Alcantarillados,50000.0
Finanzas,Telefono y Comunicaciones,69856.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),7000.0
Finanzas,Cargos por Servicios Bancarios,5000.0
Finanzas,Seguros,450000.0
Finanzas,Intereses Cuentas Vendidas,12481.0
Finanzas,Mantenimiento de Edificios,7666.0
Finanzas,Miscelaneos,5000.0
Finanzas,Franqueo,1000.0
Finanzas,Aportacion al Fondo de Equiparacion,1218718.0
Finanzas,Aportacion al CRIM,144048.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Franqueo,100.0
Obras Publicas,Empleados Regulares,1171051.0
