departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,77028.0
Legislatura Municipal,Materiales de Oficina,25.0
Legislatura Municipal,Materiales de Mantenimiento,25.0
Legislatura Municipal,Compra de Uniformes,25.0
Legislatura Municipal,Materiales y Suministros de Operacion,25.0
Legislatura Municipal,Compra de Equipos,25.0
Legislatura Municipal,Dietas,100000.0
Legislatura Municipal,Adiestramientos,25.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,25.0
Legislatura Municipal,Relaciones Publicas,25.0
Legislatura Municipal,Gastos de Viaje,25.0
Legislatura Municipal,Servicios Legales,30000.0
Legislatura Municipal,Cuotas y Suscripciones,3100.0
Legislatura Municipal,Renta de Equipos y Vehiculos,25.0
Legislatura Municipal,Mantenimiento de Equipo,25.0
Legislatura Municipal,Mantenimiento de Vehiculos,25.0
Legislatura Municipal,Miscelaneos,25.0
Legislatura Municipal,Publicaciones y Anuncios,25.0
Legislatura Municipal,Franqueo,25.0
Oficina del Alcalde(sa),Empleados Regulares,592896.0
Oficina del Alcalde(sa),Donaciones,25000.0
Oficina del Alcalde(sa),Donaciones,9000.0
Oficina del Alcalde(sa),Materiales de Oficina,25.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,1800.0
Oficina del Alcalde(sa),Alimentos,25.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,225.0
Oficina del Alcalde(sa),Equipo de Oficina,25.0
Oficina del Alcalde(sa),Compra de Equipos,25.0
Oficina del Alcalde(sa),Gastos de Representacion,25.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,96000.0
Oficina del Alcalde(sa),Relaciones Publicas,25.0
Oficina del Alcalde(sa),Servicios Legales,227400.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,12000.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,1025.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,25.0
Oficina del Alcalde(sa),Miscelaneos,100000.0
Oficina del Alcalde(sa),Festival o Actividad I,25.0
Oficina del Alcalde(sa),Festival o Actividad II,25.0
Finanzas,Empleados Regulares,1187352.24
Finanzas,Beneficio por Fondo del Seguro del Estado,591439.0
Finanzas,Interes y Penalidades,400.0
Finanzas,Materiales de Oficina,2500.0
Finanzas,Materiales de Mantenimiento,25.0
Finanzas,Materiales y Suministros de Operacion,825.0
Finanzas,Equipo de Oficina,425.0
Finanzas,Compra de Equipos,1825.0
Finanzas,Compra de Terrenos,25.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),42000.0
Finanzas,Servicios Profesionales - No Clasificados,151443.0
Finanzas,Canon Excavaciones y Demoliciones,8000.0
Finanzas,Renta de Equipos y Vehiculos,25.0
Finanzas,Deficit,57027.0
Finanzas,Intereses Cuentas Vendidas,13517.24
Finanzas,Mantenimiento de Equipo,291838.76
Finanzas,Miscelaneos,1022561.67
Finanzas,Pago de Sentencias y Reclamaciones,50000.0
Finanzas,Reclamaciones Anos Anteriores,25.0
Finanzas,Reserva,25.0
Finanzas,Aportacion al CRIM,400350.94
Finanzas,Liquidacion Deuda del CRIM,583572.23
Finanzas,Transferencias que Salen,787688.59
Finanzas,Cargos por Servicios Bancarios,6000.0
Finanzas,Aportacion al Fondo de Equiparacion,2652716.74
Finanzas,Combustible y Lubricantes,25.0
Finanzas,Energia Electrica,924003.03
Finanzas,Acueducto y Alcantarillados,25.0
Finanzas,Telefono y Comunicaciones,161808.0
Obras Publicas,Empleados Regulares,1225918.44
Obras Publicas,Materiales de Oficina,25.0
Obras Publicas,Materiales de Mantenimiento,20000.0
Obras Publicas,Compra de Uniformes,25.0
Obras Publicas,Materiales y Suministros de Operacion,2100.0
Obras Publicas,Equipo de Oficina,25.0
Obras Publicas,Compra de Equipos,25.0
Obras Publicas,Renta de Equipos y Vehiculos,25.0
Obras Publicas,Mantenimiento de Equipo,25.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,25.0
Obras Publicas,Mantenimiento de Vehiculos,10000.0
Obras Publicas,Mantenimiento de Edificios,20000.0
Obras Publicas,Miscelaneos,14000.0
Obras Publicas,Renta de Equipos y Vehiculos,380889.0
Obras Publicas,Miscelaneos,25.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,319856.04
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,25.0
Oficina Municipal Manejo de Emergencias,Drogas, Medicinas y Otros Suministros,25.0
Oficina Municipal Manejo de Emergencias,Materiales de Mantenimiento,25.0
Oficina Municipal Manejo de Emergencias,Alimentos,25.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,25.0
Oficina Municipal Manejo de Emergencias,Materiales de Construccion,25.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,2000.0
Oficina Municipal Manejo de Emergencias,Equipo de Oficina,25.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,525.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,1000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,25.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,318468.0
Guardia Municipal,Empleados Regulares,848604.0
Guardia Municipal,Materiales de Oficina,25.0
Guardia Municipal,Materiales de Mantenimiento,25.0
Guardia Municipal,Alimentos,25.0
Guardia Municipal,Compra de Uniformes,25.0
Guardia Municipal,Materiales y Suministros de Operacion,4000.0
Guardia Municipal,Equipo de Oficina,25.0
Guardia Municipal,Compra de Equipos,25.0
Guardia Municipal,Servicios Profesionales - No Clasificados,25.0
Guardia Municipal,Mantenimiento de Equipo,25.0
Guardia Municipal,Mantenimiento de Vehiculos,4000.0
Guardia Municipal,Miscelaneos,25.0
Recursos Humanos,Empleados Regulares,472848.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,100000.0
Recursos Humanos,Seguro Social Federal,627337.41
Recursos Humanos,Plan Medico,602172.0
Recursos Humanos,Bono Navideno,194500.0
Recursos Humanos,Materiales de Oficina,25.0
Recursos Humanos,Materiales de Mantenimiento,25.0
Recursos Humanos,Equipo de Oficina,25.0
Recursos Humanos,Compra de Equipos,225.0
Recursos Humanos,Adiestramientos,500.0
Recursos Humanos,Servicios Profesionales - No Clasificados,10000.0
Recursos Humanos,Pruebas de Dopaje,2500.0
Recursos Humanos,Mantenimiento de Equipo,12600.0
Recursos Humanos,Miscelaneos,25.0
Recursos Humanos,Seguro Choferil,800.0
Recursos Humanos,Seguro por Desempleo,90000.0
Recursos Humanos,Gastos de Viaje,3000.0
Recreacion y Deportes,Empleados Regulares,483672.0
Recreacion y Deportes,Materiales de Oficina,25.0
Recreacion y Deportes,Herramientas,25.0
Recreacion y Deportes,Materiales de Mantenimiento,5000.0
Recreacion y Deportes,Compra de Uniformes,25.0
Recreacion y Deportes,Materiales y Suministros de Operacion,5000.0
Recreacion y Deportes,Equipo de Oficina,25.0
Recreacion y Deportes,Compra de Equipos,25.0
Recreacion y Deportes,Servicios Profesionales - No Clasificados,14400.0
Recreacion y Deportes,Renta de Equipos y Vehiculos,25.0
Recreacion y Deportes,Mantenimiento de Equipo,4000.0
Recreacion y Deportes,Miscelaneos,1025.0
Recreacion y Deportes,Festival o Actividad I,25.0
Centro de Envejecientes,Empleados Regulares,854824.44
Centro de Envejecientes,Materiales de Oficina,25.0
Centro de Envejecientes,Drogas, Medicinas y Otros Suministros,25.0
Centro de Envejecientes,Materiales de Mantenimiento,3000.0
Centro de Envejecientes,Alimentos,75000.0
Centro de Envejecientes,Compra de Uniformes,25.0
Centro de Envejecientes,Materiales y Suministros de Operacion,25.0
Centro de Envejecientes,Equipo de Oficina,25.0
Centro de Envejecientes,Compra de Equipos,6500.0
Centro de Envejecientes,Mantenimiento de Equipo,25.0
Centro de Envejecientes,Mantenimiento de Edificios,1025.0
Centro de Envejecientes,Miscelaneos,1500.0
Secretaria Municipal,Empleados Regulares,351603.0
Secretaria Municipal,Materiales de Oficina,2000.0
Secretaria Municipal,Materiales de Mantenimiento,25.0
Secretaria Municipal,Materiales y Suministros de Operacion,500.0
Secretaria Municipal,Equipo de Oficina,525.0
Secretaria Municipal,Compra de Equipos,1325.0
Secretaria Municipal,Renta de Edificios, Locales y Terrenos,16500.0
Secretaria Municipal,Renta de Equipos y Vehiculos,25.0
Secretaria Municipal,Mantenimiento de Equipo,79343.01
Secretaria Municipal,Miscelaneos,225.0
Secretaria Municipal,Publicaciones y Anuncios,7500.0
Secretaria Municipal,Franqueo,15000.0
Auditoria Interna,Empleados Regulares,57204.0
Auditoria Interna,Materiales de Oficina,25.0
Auditoria Interna,Equipo de Oficina,25.0
Auditoria Interna,Compra de Equipos,25.0
Auditoria Interna,Cuotas y Suscripciones,25.0
Auditoria Interna,Mantenimiento de Equipo,25.0
Auditoria Interna,Miscelaneos,25.0
Centro de Procesamiento de Datos,Empleados Regulares,144329.04
Centro de Procesamiento de Datos,Materiales de Oficina,1000.0
Centro de Procesamiento de Datos,Herramientas,25.0
