departamento,ingreso,monto
Finanzas,Patentes,7083130.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,500000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,75000.0
Finanzas,Arbitrios de Construccion,555000.0
Finanzas,Licencias y Permisos,157038.0
Finanzas,Compensacion AEE,919922.0
Finanzas,Otros Ingresos Intergubernamentales,1238012.11
Finanzas,Permisos de Uso Estadios y Coliseos,0.0
Finanzas,Ingresos por Servicios Transportacion,380889.0
Finanzas,Multas,7000.0
Finanzas,Intereses en Inversiones,8000.0
Finanzas,Intereses Bancarios,130000.0
Finanzas,Ingresos Eventuales,20000.0
Finanzas,Renta Locales y Propiedad Municipal,1682117.73
Finanzas,Otros Ingresos,2495.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),5873842.82
