departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,74184.0
Legislatura Municipal,Empleados Transitorios,18132.0
Legislatura Municipal,Seguro Choferil,16.0
Legislatura Municipal,Seguro Social Federal,7248.0
Legislatura Municipal,Plan Medico,3600.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Materiales de Oficina,1500.0
Legislatura Municipal,Equipo de Oficina,500.0
Legislatura Municipal,Dietas,25000.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,2400.0
Legislatura Municipal,Cuotas y Suscripciones,2900.0
Legislatura Municipal,Renta de Equipos y Vehiculos,8000.0
Legislatura Municipal,Miscelaneos,500.0
Legislatura Municipal,Publicaciones y Anuncios,850.0
Oficina del Alcalde(sa),Empleados Regulares,226319.0
Oficina del Alcalde(sa),Empleados Transitorios,154417.0
Oficina del Alcalde(sa),Seguro Choferil,16.0
Oficina del Alcalde(sa),Seguro Social Federal,29908.0
Oficina del Alcalde(sa),Plan Medico,8400.0
Oficina del Alcalde(sa),Bono Navideno,10200.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,85680.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,3000.0
Finanzas,Empleados Regulares,243696.0
Finanzas,Empleados Transitorios,129408.0
Finanzas,Seguro Choferil,64.0
Finanzas,Seguro Social Federal,29370.0
Finanzas,Plan Medico,13200.0
Finanzas,Bono Navideno,10800.0
Finanzas,Beneficio por Fondo del Seguro del Estado,161652.0
Finanzas,Acueducto y Alcantarillados,180000.0
Finanzas,Telefono y Comunicaciones,50000.0
Finanzas,Equipo de Oficina,2000.0
Finanzas,Servicios Profesionales - No Clasificados,39000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,500000.0
Finanzas,Renta de Equipos y Vehiculos,118725.0
Finanzas,Intereses Cuentas Vendidas,6272.0
Finanzas,Mantenimiento de Equipo,8000.0
Finanzas,Miscelaneos,10000.0
Finanzas,Pago de Sentencias y Reclamaciones,214132.0
Finanzas,Liquidacion Deuda del CRIM,7276.0
Finanzas,Aportacion al Fondo de Equiparacion,519177.0
Finanzas,Aportacion al CRIM,70240.0
Obras Publicas,Empleados Regulares,166044.0
Obras Publicas,Empleados Transitorios,536237.0
Obras Publicas,Empleados Irregulares,11352.0
Obras Publicas,Seguro Choferil,406.0
Obras Publicas,Seguro Social Federal,56662.0
Obras Publicas,Plan Medico,10800.0
Obras Publicas,Bono Navideno,27000.0
Obras Publicas,Materiales de Mantenimiento,1500.0
Obras Publicas,Combustible y Lubricantes,135000.0
Obras Publicas,Energia Electrica,322708.0
Obras Publicas,Materiales de Construccion,12000.0
Obras Publicas,Seguros,5000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,15000.0
Obras Publicas,Mantenimiento de Vehiculos,60000.0
Obras Publicas,Mantenimiento de Edificios,15000.0
Obras Publicas,Disposicion de Desperdicios,740000.0
Obras Publicas,Miscelaneos,2000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,49536.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,99312.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,78.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,11802.0
Oficina Municipal Manejo de Emergencias,Plan Medico,2400.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,5400.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,3000.0
Guardia Municipal,Empleados Regulares,93048.0
Guardia Municipal,Empleados Transitorios,108185.0
Guardia Municipal,Seguro Choferil,141.0
Guardia Municipal,Seguro Social Federal,15948.0
Guardia Municipal,Plan Medico,4800.0
Guardia Municipal,Bono Navideno,7200.0
Guardia Municipal,Compra de Equipos,2000.0
Recursos Humanos,Empleados Regulares,96492.0
Recursos Humanos,Empleados Transitorios,113676.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,45000.0
Recursos Humanos,Seguro Social Federal,16585.0
Recursos Humanos,Plan Medico,4800.0
Recursos Humanos,Seguro por Desempleo,20000.0
Recursos Humanos,Bono Navideno,6600.0
Recursos Humanos,Servicios Profesionales - No Clasificados,2400.0
Recursos Humanos,Adiestramientos,20000.0
Recursos Humanos,Pruebas de Dopaje,8000.0
Recreacion y Deportes,Empleados Regulares,107208.0
Recreacion y Deportes,Empleados Transitorios,319738.0
Recreacion y Deportes,Empleados Irregulares,4405.0
Recreacion y Deportes,Seguro Choferil,63.0
Recreacion y Deportes,Seguro Social Federal,34331.0
Recreacion y Deportes,Plan Medico,7200.0
Recreacion y Deportes,Bono Navideno,17400.0
Recreacion y Deportes,Materiales de Mantenimiento,2500.0
Recreacion y Deportes,Mantenimiento de Equipo,500.0
Recreacion y Deportes,Miscelaneos,2500.0
Recreacion y Deportes,Compra de Equipos,18000.0
Recreacion y Deportes,Donaciones,15000.0
Recreacion y Deportes,Reparacion y Mantenimiento de Estructuras,5000.0
Recreacion y Deportes,Otros Festivales o Actividades,10000.0
Centro de Envejecientes,Empleados Regulares,101664.0
Centro de Envejecientes,Empleados Transitorios,246114.0
Centro de Envejecientes,Seguro Choferil,79.0
Centro de Envejecientes,Seguro Social Federal,27663.0
Centro de Envejecientes,Plan Medico,7200.0
Centro de Envejecientes,Bono Navideno,13800.0
Centro de Envejecientes,Alimentos,7000.0
Cultura y Turismo,Empleados Regulares,40356.0
Cultura y Turismo,Empleados Transitorios,59352.0
Cultura y Turismo,Seguro Social Federal,7905.0
Cultura y Turismo,Plan Medico,2400.0
Cultura y Turismo,Bono Navideno,3600.0
Cultura y Turismo,Miscelaneos,2000.0
Cultura y Turismo,Festival o Actividad II,4000.0
Cultura y Turismo,Otros Festivales o Actividades,40000.0
Secretaria Municipal,Empleados Regulares,120564.0
Secretaria Municipal,Empleados Transitorios,168108.0
Secretaria Municipal,Seguro Choferil,16.0
Secretaria Municipal,Seguro Social Federal,22866.0
Secretaria Municipal,Plan Medico,7200.0
Secretaria Municipal,Bono Navideno,10200.0
Secretaria Municipal,Materiales de Oficina,20000.0
Secretaria Municipal,Materiales de Mantenimiento,8000.0
Secretaria Municipal,Dietas,600.0
Secretaria Municipal,Cuotas y Suscripciones,250.0
Secretaria Municipal,Publicaciones y Anuncios,500.0
Secretaria Municipal,Franqueo,4000.0
Asuntos Legales,Empleados Regulares,31812.0
Asuntos Legales,Empleados Transitorios,14424.0
Asuntos Legales,Seguro Social Federal,3630.0
Asuntos Legales,Plan Medico,1200.0
Asuntos Legales,Bono Navideno,1200.0
Asuntos Legales,Servicios Legales,24000.0
Auditoria Interna,Empleados Regulares,45672.0
Auditoria Interna,Empleados Transitorios,17736.0
Auditoria Interna,Seguro Social Federal,4989.0
Auditoria Interna,Plan Medico,2400.0
Auditoria Interna,Bono Navideno,1800.0
Auditoria Interna,Gastos de Auditoria Sencilla (Single Audit),22750.0
Planificacion y Desarrollo,Empleados Regulares,78096.0
Planificacion y Desarrollo,Empleados Transitorios,15684.0
Planificacion y Desarrollo,Seguro Choferil,16.0
Planificacion y Desarrollo,Seguro Social Federal,7359.0
Planificacion y Desarrollo,Plan Medico,3600.0
Planificacion y Desarrollo,Bono Navideno,2400.0
Desarrollo Economico,Empleados Regulares,113268.0
Desarrollo Economico,Empleados Transitorios,198293.0
Desarrollo Economico,Seguro Choferil,110.0
Desarrollo Economico,Seguro Social Federal,24754.0
Desarrollo Economico,Plan Medico,7200.0
Desarrollo Economico,Bono Navideno,12000.0
Desarrollo Economico,Materiales de Construccion,2000.0
Desarrollo Economico,Mantenimiento de Equipo,1000.0
Sistemas y Procedimientos,Empleados Transitorios,34440.0
Sistemas y Procedimientos,Seguro Social Federal,2727.0
Sistemas y Procedimientos,Bono Navideno,1200.0
Sistemas y Procedimientos,Servicios Profesionales - No Clasificados,28050.0
Desarrollo Social y Participacion Ciudadana,Empleados Regulares,123684.0
Desarrollo Social y Participacion Ciudadana,Empleados Transitorios,84052.0
Desarrollo Social y Participacion Ciudadana,Seguro Social Federal,16444.0
Desarrollo Social y Participacion Ciudadana,Plan Medico,7200.0
Desarrollo Social y Participacion Ciudadana,Bono Navideno,7200.0
Desarrollo Social y Participacion Ciudadana,Donaciones,15000.0
Desarrollo Social y Participacion Ciudadana,Becas,15000.0
Desarrollo Social y Participacion Ciudadana,Telefono y Comunicaciones,8500.0
Secretaria de Asuntos Federales, Vivienda y Desarrollo Urbano,Empleados Regulares,125448.0
Secretaria de Asuntos Federales, Vivienda y Desarrollo Urbano,Empleados Transitorios,64776.0
Secretaria de Asuntos Federales, Vivienda y Desarrollo Urbano,Seguro Social Federal,14967.0
Secretaria de Asuntos Federales, Vivienda y Desarrollo Urbano,Plan Medico,6000.0
Secretaria de Asuntos Federales, Vivienda y Desarrollo Urbano,Bono Navideno,5400.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,2000.0
