departamento,ingreso,monto
Finanzas,Patentes,638034.0
Finanzas,Otros Ingresos Intergubernamentales,4785903.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1498767.0
Finanzas,Arbitrios de Construccion,33396.0
Finanzas,Licencias y Permisos,5500.0
Finanzas,Compensacion AEE,322708.0
Finanzas,Otros Ingresos por Servicios,6800.0
Finanzas,Multas,5000.0
Finanzas,Ingresos Eventuales,468534.0
Finanzas,Renta Locales y Propiedad Municipal,185929.0
Finanzas,Otros Ingresos,554986.0
