departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,61776.0
Legislatura Municipal,Seguro Choferil,16.0
Legislatura Municipal,Seguro Social Federal,4956.0
Legislatura Municipal,Plan Medico,3600.0
Legislatura Municipal,Bono de Verano,1000.0
Legislatura Municipal,Bono Navideno,2000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,5000.0
Legislatura Municipal,Materiales de Oficina,1500.0
Legislatura Municipal,Dietas,35000.0
Legislatura Municipal,Cuotas y Suscripciones,3100.0
Legislatura Municipal,Publicaciones y Anuncios,2500.0
Oficina del Alcalde(sa),Empleados Regulares,231036.0
Oficina del Alcalde(sa),Seguro Choferil,78.0
Oficina del Alcalde(sa),Seguro Social Federal,18478.0
Oficina del Alcalde(sa),Plan Medico,14400.0
Oficina del Alcalde(sa),Bono de Verano,3500.0
Oficina del Alcalde(sa),Bono Navideno,7000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,60000.0
Oficina del Alcalde(sa),Donaciones,65000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,5000.0
Oficina del Alcalde(sa),Gastos de Representacion,3500.0
Finanzas,Empleados Regulares,450144.0
Finanzas,Empleados Transitorios,132060.0
Finanzas,Empleados Irregulares,30240.0
Finanzas,Seguro Choferil,47.0
Finanzas,Seguro Social Federal,49606.0
Finanzas,Plan Medico,43200.0
Finanzas,Seguro por Desempleo,20000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,181098.0
Finanzas,Bono de Verano,12000.0
Finanzas,Bono Navideno,24000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),38000.0
Finanzas,Servicios Profesionales - No Clasificados,60000.0
Finanzas,Materiales de Oficina,10000.0
Finanzas,Materiales de Mantenimiento,15000.0
Finanzas,Energia Electrica,205330.0
Finanzas,Acueducto y Alcantarillados,200000.0
Finanzas,Telefono y Comunicaciones,38000.0
Finanzas,Materiales y Suministros de Operacion,30000.0
Finanzas,Equipo de Oficina,10000.0
Finanzas,Programas de Computadoras,110000.0
Finanzas,Seguros,350000.0
Finanzas,Renta de Equipos y Vehiculos,25000.0
Finanzas,Mantenimiento de Equipo,30000.0
Finanzas,Miscelaneos,25000.0
Finanzas,Pago de Sentencias y Reclamaciones,31500.0
Finanzas,Reclamaciones Anos Anteriores,20000.0
Finanzas,Reserva,1000000.0
Finanzas,Cargo de "PayGo",510132.0
Finanzas,Aportacion al CRIM,98370.0
Obras Publicas,Empleados Regulares,998820.0
Obras Publicas,Empleados Transitorios,17772.0
Obras Publicas,Empleados Irregulares,452940.0
Obras Publicas,Seguro Choferil,359.0
Obras Publicas,Seguro Social Federal,121944.0
Obras Publicas,Plan Medico,145800.0
Obras Publicas,Bono de Verano,41500.0
Obras Publicas,Bono Navideno,83000.0
Obras Publicas,Combustible y Lubricantes,165000.0
Obras Publicas,Compra de Equipos,7000.0
Obras Publicas,Servicios No Profesionales,85000.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Renta de Equipos y Vehiculos,10000.0
Obras Publicas,Mantenimiento de Vehiculos,150000.0
Obras Publicas,Mantenimiento de Edificios,25000.0
Obras Publicas,Disposicion de Desperdicios,450000.0
Obras Publicas,Materiales y Suministros de Operacion,20000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,339759.0
Obras Publicas,Servicios de Ingenieria y Arquitectura,45000.0
Obras Publicas,Costos de Construccion,75000.0
Obras Publicas,Materiales y Suministros de Operacion,10000.0
Obras Publicas,Festival o Actividad II,4000.0
