departamento,ingreso,monto
Finanzas,Patentes,1800000.0
Finanzas,Impuesto Municipal sobre las Ventas,1000000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,30000.0
Finanzas,Arbitrios de Construccion,250000.0
Finanzas,Licencias y Permisos,80000.0
Finanzas,Compensacion AEE,205330.0
Finanzas,Otros Ingresos Intergubernamentales,3927903.0
Finanzas,Disposicion Derperdicios,50000.0
Finanzas,Otros Ingresos por Servicios,60000.0
Finanzas,Multas,40000.0
Finanzas,Intereses Bancarios,75000.0
Finanzas,Estacionamiento,20000.0
Finanzas,Renta Locales y Propiedad Municipal,50000.0
Finanzas,Otros Ingresos,100000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),2046980.0
