departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,50616.0
Legislatura Municipal,Seguro Choferil,150.0
Legislatura Municipal,Seguro Social Federal,3964.0
Legislatura Municipal,Plan Medico,3600.0
Legislatura Municipal,Beneficio por Fondo del Seguro del Estado,2000.0
Legislatura Municipal,Bono Navideno,1200.0
Legislatura Municipal,Materiales de Oficina,3500.0
Legislatura Municipal,Materiales y Suministros de Operacion,2000.0
Legislatura Municipal,Equipo de Oficina,5000.0
Legislatura Municipal,Dietas,40000.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Servicios No Profesionales,2770.0
Legislatura Municipal,Gastos de Viaje,1500.0
Legislatura Municipal,Servicios Legales,23000.0
Legislatura Municipal,Cuotas y Suscripciones,3500.0
Legislatura Municipal,Renta de Equipos y Vehiculos,4074.0
Legislatura Municipal,Miscelaneos,5178.0
Legislatura Municipal,Publicaciones y Anuncios,4000.0
Legislatura Municipal,Franqueo,1500.0
Oficina del Alcalde(sa),Empleados Regulares,200448.0
Oficina del Alcalde(sa),Empleados Transitorios,179268.0
Oficina del Alcalde(sa),Seguro Social Federal,30013.0
Oficina del Alcalde(sa),Plan Medico,25200.0
Oficina del Alcalde(sa),Bono Navideno,12600.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,77600.0
Oficina del Alcalde(sa),Relaciones Publicas,11770.0
Oficina del Alcalde(sa),Gastos de Viaje,5000.0
Oficina del Alcalde(sa),Servicios Legales,50000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,8000.0
Oficina del Alcalde(sa),Franqueo,700.0
Oficina del Alcalde(sa),Donaciones,25000.0
Oficina del Alcalde(sa),Donaciones,45000.0
Finanzas,Empleados Regulares,101148.0
Finanzas,Empleados Transitorios,237870.0
Finanzas,Seguro Social Federal,27037.0
Finanzas,Plan Medico,28800.0
Finanzas,Bono Navideno,14400.0
Finanzas,Beneficios Marginales,6000.0
Finanzas,Interes y Penalidades,7000.0
Finanzas,Materiales de Oficina,40000.0
Finanzas,Materiales de Mantenimiento,5000.0
Finanzas,Energia Electrica,379890.0
Finanzas,Acueducto y Alcantarillados,384000.0
Finanzas,Telefono y Comunicaciones,90500.0
Finanzas,Materiales y Suministros de Operacion,67500.0
Finanzas,Equipo de Oficina,1000.0
Finanzas,Programas de Computadoras,90000.0
Finanzas,Compra de Equipos,6000.0
Finanzas,Servicios Profesionales - No Clasificados,177500.0
Finanzas,Gastos de Viaje,1000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Cargos por Servicios Bancarios,25000.0
Finanzas,Seguros,350000.0
Finanzas,Gastos de Salud,300000.0
Finanzas,Renta de Edificios, Locales y Terrenos,54000.0
Finanzas,Reserva de Deficit,50000.0
Finanzas,Intereses Cuentas Vendidas,13721.0
Finanzas,Miscelaneos,13156.0
Finanzas,Franqueo,3101.0
Finanzas,Pago de Sentencias y Reclamaciones,25000.0
Finanzas,Aportacion al CRIM,126516.0
Finanzas,Transferencias que Salen,393753.0
Finanzas,Miscelaneos,16000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),27000.0
Finanzas,Miscelaneos,319020.0
Obras Publicas,Empleados Regulares,133632.0
Obras Publicas,Empleados Transitorios,520152.0
Obras Publicas,Seguro Social Federal,52539.0
Obras Publicas,Plan Medico,62400.0
Obras Publicas,Bono Navideno,33000.0
Obras Publicas,Materiales de Construccion,60000.0
Obras Publicas,Servicios No Profesionales,250000.0
Obras Publicas,Gastos de Viaje,6000.0
Obras Publicas,Renta de Equipos y Vehiculos,40000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,389765.0
Obras Publicas,Mantenimiento de Edificios,8000.0
Obras Publicas,Materiales y Suministros de Operacion,5000.0
Obras Publicas,Miscelaneos,55000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,105948.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,203580.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,24689.0
Oficina Municipal Manejo de Emergencias,Plan Medico,26400.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,13200.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,500.0
Oficina Municipal Manejo de Emergencias,Adiestramientos,1500.0
Oficina Municipal Manejo de Emergencias,Servicios Profesionales - No Clasificados,30000.0
Oficina Municipal Manejo de Emergencias,Gastos de Viaje,300.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,5000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,5000.0
Guardia Municipal,Empleados Regulares,114240.0
Guardia Municipal,Seguro Social Federal,9061.0
Guardia Municipal,Plan Medico,8400.0
Guardia Municipal,Bono Navideno,4200.0
Guardia Municipal,Compra de Uniformes,1500.0
