departamento,ingreso,monto
Finanzas,Patentes,1949761.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,1154728.0
Finanzas,Intereses y Recargos por Demoras en Patentes,25000.0
Finanzas,Otros Impuestos Locales,0.0
Finanzas,Arbitrios de Construccion,300000.0
Finanzas,Compensacion AEE,392859.0
Finanzas,Otros Ingresos Intergubernamentales,3386770.0
Finanzas,Disposicion Derperdicios,300000.0
Finanzas,Ingresos por Servicios Transportacion,240000.0
Finanzas,Multas,2000.0
Finanzas,Ingresos Eventuales,1300000.0
Finanzas,Renta Locales y Propiedad Municipal,35100.0
Finanzas,Otros Ingresos,100000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),2626366.0
Finanzas,Renta Locales y Propiedad Municipal,75000.0
Finanzas,Otros Ingresos,100000.0
