departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,119916.0
Legislatura Municipal,Seguro Choferil,65.0
Legislatura Municipal,Seguro Social Federal,9288.0
Legislatura Municipal,Plan Medico,7500.0
Legislatura Municipal,Bono Navideno,1500.0
Legislatura Municipal,Materiales de Oficina,4000.0
Legislatura Municipal,Compra de Equipos,5000.0
Legislatura Municipal,Dietas,100000.0
Legislatura Municipal,Gastos de Representacion,1000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,72000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,5000.0
Legislatura Municipal,Reparacion y Mantenimiento de Estructuras,5000.0
Legislatura Municipal,Miscelaneos,5000.0
Legislatura Municipal,Publicaciones y Anuncios,4000.0
Oficina del Alcalde(sa),Empleados Regulares,200.0
Oficina del Alcalde(sa),Seguro Choferil,25727.0
Oficina del Alcalde(sa),Seguro Social Federal,12000.0
Oficina del Alcalde(sa),Plan Medico,2100.0
Oficina del Alcalde(sa),Bono Navideno,3000.0
Oficina del Alcalde(sa),Gastos de Representacion,10000.0
Oficina del Alcalde(sa),Gastos de Viaje,60000.0
Oficina del Alcalde(sa),Miscelaneos,10000.0
Oficina del Alcalde(sa),Festival o Actividad I,164988.0
Oficina del Alcalde(sa),Empleados Regulares,12806.0
Oficina del Alcalde(sa),Seguro Choferil,12000.0
Oficina del Alcalde(sa),Seguro Social Federal,2400.0
Oficina del Alcalde(sa),Plan Medico,2500.0
Oficina del Alcalde(sa),Bono Navideno,500.0
Oficina del Alcalde(sa),Donaciones,45000.0
Oficina del Alcalde(sa),Miscelaneos,135720.0
Oficina del Alcalde(sa),Festival o Actividad III,14138.0
Oficina del Alcalde(sa),Empleados Regulares,14640.0
Oficina del Alcalde(sa),Empleados Transitorios,1105.0
Oficina del Alcalde(sa),Seguro Choferil,10500.0
Oficina del Alcalde(sa),Seguro Social Federal,2100.0
Oficina del Alcalde(sa),Seguro Social Federal,300.0
Oficina del Alcalde(sa),Plan Medico,5000.0
Oficina del Alcalde(sa),Bono Navideno,1500.0
Oficina del Alcalde(sa),Bono Navideno,2500.0
Oficina del Alcalde(sa),Materiales de Oficina,78500.0
