departamento,ingreso,monto
Finanzas,Ingresos Eventuales,0.0
Finanzas,Patentes,8100000.0
Finanzas,Impuesto Municipal sobre las Ventas,3500000.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,500.0
Finanzas,Intereses y Recargos por Demoras en Patentes,85000.0
Finanzas,Patentes Anos Anteriores,200000.0
Finanzas,Arbitrios de Construccion,2960411.0
Finanzas,Licencias y Permisos,100000.0
Finanzas,Otros Ingresos Intergubernamentales,817800.0
Finanzas,Compensacion AEE,1283270.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Permisos de Uso Estadios y Coliseos,10000.0
Finanzas,Disposicion Derperdicios,10000.0
Finanzas,Otros Ingresos por Servicios,38000.0
Finanzas,Multas,17000.0
Finanzas,Estacionamiento,500.0
Finanzas,Ingresos Eventuales,50000.0
Finanzas,Renta Locales y Propiedad Municipal,170000.0
Finanzas,Otros IngresosOtros Recursos,2411062.0
Finanzas,FinancierosOtros Recursos,50000.0
Finanzas,FinancierosOtros Recursos,0.0
Finanzas,FinancierosContribucion,0.0
Finanzas,Propiedad No Transferencias que,9366020.0
Finanzas,EntranVentas Sellos y,1053842.0
Finanzas,Comprobantes Otros Ingresos por,0.0
Finanzas,ServiciosOtros Ingresos por,0.0
Sanidad o,Servicios,0.0
Sanidad o,Otros IngresosOtros Ingresos por,0.0
Sanidad o,ServiciosDisposicion,6000.0
Secretaria,DerperdiciosIngresos por,300000.0
Municipal,Servicios,500.0
