departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,48000.0
Legislatura Municipal,Seguro Social Federal,3748.5
Legislatura Municipal,Bono Navideno,1000.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,6000.0
Legislatura Municipal,Seguro Choferil,32.0
Legislatura Municipal,Plan Medico,2880.0
Legislatura Municipal,Materiales de Mantenimiento,500.0
Legislatura Municipal,Equipo de Mantenimiento,500.0
Legislatura Municipal,Dietas,30000.0
Legislatura Municipal,Cuotas y Suscripciones,3300.0
Legislatura Municipal,Miscelaneos,10000.0
Legislatura Municipal,Publicaciones y Anuncios,2500.0
Oficina del Alcalde(sa),Empleados Regulares,513540.0
Oficina del Alcalde(sa),Empleados Transitorios,31248.0
Oficina del Alcalde(sa),Empleados Irregulares,600000.0
Oficina del Alcalde(sa),Seguro Social Federal,42441.28
Oficina del Alcalde(sa),Seguro Social Federal,45900.0
Oficina del Alcalde(sa),Bono Navideno,10000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,309360.0
Oficina del Alcalde(sa),Servicios Legales,91200.0
Oficina del Alcalde(sa),Servicios de Ingenieria y Arquitectura,32400.0
Oficina del Alcalde(sa),Donaciones,45000.0
Oficina del Alcalde(sa),Seguro Choferil,336.0
Oficina del Alcalde(sa),Plan Medico,30240.0
Oficina del Alcalde(sa),Materiales de Oficina,500.0
Oficina del Alcalde(sa),Equipo de Oficina,1000.0
Oficina del Alcalde(sa),Compra de Equipos,500.0
Oficina del Alcalde(sa),Gastos de Viaje,15000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,8000.0
Oficina del Alcalde(sa),Miscelaneos,60000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,10000.0
Oficina del Alcalde(sa),Festival o Actividad I,88000.0
Oficina del Alcalde(sa),Gastos de Representacion,4000.0
Oficina del Alcalde(sa),Donaciones,3500.0
Oficina del Alcalde(sa),Becas,25000.0
Oficina del Alcalde(sa),Fiestas Patronales,45000.0
Oficina del Alcalde(sa),Donaciones,26000.0
Finanzas,Empleados Regulares,465360.0
Finanzas,Empleados Transitorios,71196.0
Finanzas,Seguro Social Federal,918.0
Finanzas,Bono Navideno,12500.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,6000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,6000.0
Finanzas,Seguro Choferil,400.0
Finanzas,Seguro Social Federal,42002.78
Finanzas,Plan Medico,36000.0
Finanzas,Seguro por Desempleo,15000.0
Finanzas,SINOT,5000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,180621.63
Finanzas,Beneficios Marginales,3924.0
Finanzas,Materiales de Oficina,1000.0
Finanzas,Energia Electrica,272364.64
Finanzas,Acueducto y Alcantarillados,360000.0
Finanzas,Telefono y Comunicaciones,40000.0
Finanzas,Equipo de Oficina,1000.0
Finanzas,Programas de Computadoras,3000.0
Finanzas,Equipo de Mantenimiento,30000.0
Finanzas,Compra de Equipos,1500.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),27000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,420000.0
Finanzas,Renta de Equipos y Vehiculos,60000.0
Finanzas,Reserva de Deficit,75000.0
Finanzas,Intereses Cuentas Vendidas,34700.15
Finanzas,Miscelaneos,62277.24
Finanzas,Miscelaneos,25000.0
Finanzas,Franqueo,2000.0
Finanzas,Pago de Sentencias y Reclamaciones,175000.0
Finanzas,Reclamaciones Anos Anteriores,120000.0
Finanzas,Aportacion al Fondo de Equiparacion,380318.66
Finanzas,Aportacion al CRIM,59892.78
Finanzas,Liquidacion Deuda del CRIM,181156.82
Finanzas,Miscelaneos,5000.0
Obras Publicas,Empleados Regulares,962691.6
Obras Publicas,Empleados Transitorios,89520.0
Obras Publicas,Seguro Social Federal,82789.19
Obras Publicas,Bono Navideno,30000.0
Obras Publicas,Seguro Choferil,960.0
Obras Publicas,Plan Medico,86400.0
Obras Publicas,Materiales de Oficina,500.0
Obras Publicas,Combustible y Lubricantes,230000.0
Obras Publicas,Compra de Equipos,500.0
Obras Publicas,Renta de Equipos y Vehiculos,9000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,8000.0
Obras Publicas,Mantenimiento de Vehiculos,42000.0
Obras Publicas,Mantenimiento de Edificios,12000.0
Obras Publicas,Miscelaneos,2000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,18000.0
Salud,Empleados Regulares,62448.0
Salud,Seguro Choferil,48.0
Salud,Seguro Social Federal,4892.02
Salud,Plan Medico,4320.0
Salud,Bono Navideno,1500.0
Salud,Materiales de Oficina,600.0
Salud,Drogas, Medicinas y Otros Suministros,800.0
Salud,Compra de Uniformes,800.0
Salud,Equipo de Oficina,500.0
Salud,Empleados Regulares,203364.0
Salud,Seguro Choferil,176.0
Salud,Seguro Social Federal,15978.1
Salud,Plan Medico,15840.0
Salud,Bono Navideno,5500.0
Salud,Materiales de Oficina,800.0
Salud,Drogas, Medicinas y Otros Suministros,800.0
Salud,Compra de Uniformes,1000.0
Salud,Compra de Equipos,800.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,182064.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,106644.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,22621.66
Oficina Municipal Manejo de Emergencias,Bono Navideno,7000.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,224.0
Oficina Municipal Manejo de Emergencias,Plan Medico,20160.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,500.0
Oficina Municipal Manejo de Emergencias,Alimentos,1000.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,3500.0
Oficina Municipal Manejo de Emergencias,Equipo de Oficina,500.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,2000.0
Guardia Municipal,Empleados Regulares,156444.0
Guardia Municipal,Seguro Social Federal,12273.97
Guardia Municipal,Bono Navideno,4000.0
Guardia Municipal,Seguro Choferil,128.0
Guardia Municipal,Plan Medico,11520.0
Guardia Municipal,Materiales de Oficina,200.0
Guardia Municipal,Compra de Uniformes,5000.0
Guardia Municipal,Equipo de Oficina,500.0
Guardia Municipal,Miscelaneos,4000.0
Recursos Humanos,Empleados Regulares,229440.0
Recursos Humanos,Seguro Social Federal,17934.66
Recursos Humanos,Seguro Choferil,160.0
Recursos Humanos,Plan Medico,14400.0
Recursos Humanos,Bono Navideno,5000.0
Recursos Humanos,Materiales de Oficina,250.0
Recursos Humanos,Compra de Uniformes,50000.0
Recursos Humanos,Compra de Equipos,500.0
Recursos Humanos,Pruebas de Dopaje,6000.0
Recursos Humanos,Miscelaneos,1000.0
Recursos Humanos,Adiestramientos,4000.0
Recreacion y Deportes,Empleados Regulares,430439.64
Recreacion y Deportes,Empleados Transitorios,11310.0
Recreacion y Deportes,Seguro Social Federal,34750.1
Recreacion y Deportes,Bono Navideno,12500.0
Recreacion y Deportes,Seguro Choferil,400.0
Recreacion y Deportes,Plan Medico,36000.0
Recreacion y Deportes,Materiales de Oficina,500.0
Recreacion y Deportes,Miscelaneos,2000.0
Recreacion y Deportes,Otros Festivales o Actividades,14900.0
Asuntos del Ciudadano,Empleados Regulares,137244.0
Asuntos del Ciudadano,Empleados Transitorios,21024.0
Asuntos del Ciudadano,Seguro Social Federal,12413.5
Asuntos del Ciudadano,Plan Medico,11520.0
Asuntos del Ciudadano,Bono Navideno,4000.0
Asuntos del Ciudadano,Seguro Choferil,128.0
Asuntos del Ciudadano,Materiales de Oficina,1500.0
Asuntos del Ciudadano,Miscelaneos,2000.0
Secretaria Municipal,Empleados Regulares,130968.0
Secretaria Municipal,Empleados Transitorios,17424.0
Secretaria Municipal,Seguro Social Federal,11619.74
Secretaria Municipal,Bono Navideno,3500.0
Secretaria Municipal,Seguro Choferil,112.0
Secretaria Municipal,Plan Medico,10080.0
Secretaria Municipal,Materiales de Oficina,500.0
Secretaria Municipal,Materiales de Mantenimiento,10000.0
Secretaria Municipal,Equipo de Oficina,500.0
Secretaria Municipal,Dietas,200.0
Secretaria Municipal,Miscelaneos,1000.0
Auditoria Interna,Empleados Regulares,58812.0
Auditoria Interna,Seguro Social Federal,4575.62
Auditoria Interna,Bono Navideno,1000.0
Auditoria Interna,Seguro Choferil,32.0
Auditoria Interna,Plan Medico,2880.0
Auditoria Interna,Materiales de Oficina,500.0
Auditoria Interna,Equipo de Oficina,500.0
Turismo,Empleados Regulares,231516.0
Turismo,Empleados Transitorios,69996.0
Turismo,Seguro Social Federal,23677.67
Turismo,Bono Navideno,8000.0
Turismo,Seguro Choferil,256.0
Turismo,Plan Medico,23040.0
Turismo,Materiales de Oficina,800.0
Turismo,Compra de Uniformes,500.0
Turismo,Equipo de Oficina,500.0
Turismo,Miscelaneos,6000.0
Reciclaje,Empleados Regulares,89604.0
Reciclaje,Empleados Transitorios,19224.0
Reciclaje,Seguro Choferil,96.0
Reciclaje,Seguro Social Federal,8554.84
Reciclaje,Plan Medico,8640.0
Reciclaje,Bono Navideno,3000.0
Reciclaje,Miscelaneos,3000.0
