departamento,ingreso,monto
Finanzas,Patentes,1120000.0
Finanzas,Impuesto Municipal sobre las Ventas,720000.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,0.0
Finanzas,Arbitrios de Construccion,100000.0
Finanzas,Licencias y Permisos,850.0
Finanzas,Compensacion AEE,206002.16
Finanzas,Otros Ingresos Intergubernamentales,4232799.36
Finanzas,Disposicion Derperdicios,156000.0
Finanzas,Multas,6000.0
Finanzas,Intereses Bancarios,0.0
Finanzas,Ingresos Eventuales,278808.94
Finanzas,Transferencias que Entran,1000000.0
Finanzas,Renta Locales y Propiedad Municipal,40100.0
Finanzas,Otros Ingresos,442462.42
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1265488.9
Finanzas,Disposicion Derperdicios,6800.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Otros Ingresos,4675.0
