departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,89004.0
Legislatura Municipal,Seguro Choferil,16.0
Legislatura Municipal,Seguro Social Federal,6995.0
Legislatura Municipal,Plan Medico,7200.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Materiales de Oficina,700.0
Legislatura Municipal,Materiales de Mantenimiento,400.0
Legislatura Municipal,Telefono y Comunicaciones,4200.0
Legislatura Municipal,Equipo de Oficina,4500.0
Legislatura Municipal,Compra de Equipos,800.0
Legislatura Municipal,Dietas,80000.0
Legislatura Municipal,Gastos de Representacion,200.0
Legislatura Municipal,Adiestramientos,1500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,25000.0
Legislatura Municipal,Relaciones Publicas,450.0
Legislatura Municipal,Gastos de Viaje,1000.0
Legislatura Municipal,Cuotas y Suscripciones,150.0
Legislatura Municipal,Renta de Equipos y Vehiculos,4600.0
Legislatura Municipal,Mantenimiento de Equipo,200.0
Legislatura Municipal,Mantenimiento de Edificios,200.0
Legislatura Municipal,Miscelaneos,300.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Legislatura Municipal,Franqueo,2000.0
Oficina del Alcalde(sa),Empleados Regulares,723564.0
Oficina del Alcalde(sa),Empleados Transitorios,29532.0
Oficina del Alcalde(sa),Seguro Choferil,144.0
Oficina del Alcalde(sa),Seguro Social Federal,58863.0
Oficina del Alcalde(sa),Plan Medico,48600.0
Oficina del Alcalde(sa),Bono Navideno,16200.0
Oficina del Alcalde(sa),Donaciones,80000.0
Oficina del Alcalde(sa),Gastos de Representacion,2000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,89000.0
Oficina del Alcalde(sa),Relaciones Publicas,5000.0
Oficina del Alcalde(sa),Gastos de Viaje,8000.0
Oficina del Alcalde(sa),Servicios Legales,50400.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,13035.0
Oficina del Alcalde(sa),Donaciones,56900.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,12000.0
Oficina del Alcalde(sa),Alimentos,2500.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,2000.0
Oficina del Alcalde(sa),Compra de Equipos,3000.0
Oficina del Alcalde(sa),Servicios No Profesionales,8760.0
Oficina del Alcalde(sa),Donaciones,25000.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,2000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,2000.0
Finanzas,Empleados Regulares,565440.0
Finanzas,Empleados Transitorios,99132.0
Finanzas,Seguro Choferil,176.0
Finanzas,Seguro Social Federal,52232.0
Finanzas,Plan Medico,46800.0
Finanzas,Seguro por Desempleo,60000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,912647.0
Finanzas,Bono Navideno,18000.0
Finanzas,Materiales de Oficina,18000.0
Finanzas,Materiales de Mantenimiento,10000.0
Finanzas,Compra de Uniformes,40000.0
Finanzas,Energia Electrica,857904.0
Finanzas,Telefono y Comunicaciones,85312.0
Finanzas,Materiales y Suministros de Operacion,4500.0
Finanzas,Equipo de Oficina,1000.0
Finanzas,Compra de Equipos,2000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),49000.0
Finanzas,Cargos por Servicios Bancarios,30000.0
Finanzas,Seguros,512044.0
Finanzas,Renta de Edificios, Locales y Terrenos,4512.0
Finanzas,Renta de Equipos y Vehiculos,49480.0
Finanzas,Intereses Cuentas Vendidas,7534.0
Finanzas,Miscelaneos,1000.0
Finanzas,Franqueo,7500.0
Finanzas,Pago de Sentencias y Reclamaciones,65000.0
Finanzas,Reclamaciones Anos Anteriores,2000.0
Finanzas,Aportacion al Fondo de Equiparacion,945443.0
Finanzas,Aportacion al CRIM,310675.0
Finanzas,Liquidacion Deuda del CRIM,204620.0
Finanzas,Transferencias que Salen,585458.0
Obras Publicas,Empleados Regulares,1813224.0
Obras Publicas,Empleados Transitorios,597600.0
Obras Publicas,Empleados Irregulares,178992.0
Obras Publicas,Seguro Choferil,1136.0
Obras Publicas,Seguro Social Federal,205097.0
Obras Publicas,Plan Medico,172800.0
Obras Publicas,Bono Navideno,90600.0
Obras Publicas,Materiales de Mantenimiento,6000.0
Obras Publicas,Compra de Uniformes,20000.0
Obras Publicas,Combustible y Lubricantes,400000.0
Obras Publicas,Materiales y Suministros de Operacion,80000.0
Obras Publicas,Vehiculos Municipales,100000.0
Obras Publicas,Compra de Equipos,100000.0
Obras Publicas,Canon Excavaciones y Demoliciones,8000.0
Obras Publicas,Seguros,8000.0
Obras Publicas,Mantenimiento de Equipo,60000.0
Obras Publicas,Mantenimiento de Vehiculos,400000.0
Obras Publicas,Transferencias que Salen,4382752.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,100000.0
Obras Publicas,Mantenimiento de Edificios,100000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,396960.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,265452.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,400.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,52385.0
Oficina Municipal Manejo de Emergencias,Plan Medico,52200.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,22200.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,10000.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,6000.0
Oficina Municipal Manejo de Emergencias,Vehiculos Municipales,100000.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,2000.0
Oficina Municipal Manejo de Emergencias,Servicios Profesionales - No Clasificados,20000.0
Oficina Municipal Manejo de Emergencias,Gastos de Viaje,1000.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,13000.0
Oficina Municipal Manejo de Emergencias,Otros Festivales o Actividades,1000.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,3000.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,2000.0
Oficina Municipal Manejo de Emergencias,Equipo Medico,2500.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,2000.0
Guardia Municipal,Empleados Regulares,1286112.0
Guardia Municipal,Empleados Transitorios,165264.0
Guardia Municipal,Seguro Choferil,880.0
Guardia Municipal,Seguro Social Federal,114073.0
Guardia Municipal,Plan Medico,109800.0
Guardia Municipal,Bono Navideno,39600.0
Guardia Municipal,Compra de Uniformes,8000.0
Guardia Municipal,Materiales y Suministros de Operacion,5000.0
Guardia Municipal,Vehiculos Municipales,80000.0
Guardia Municipal,Compra de Equipos,100000.0
Guardia Municipal,Servicios Profesionales - No Clasificados,40000.0
Guardia Municipal,Mantenimiento de Equipo,20000.0
Guardia Municipal,Otros Festivales o Actividades,1000.0
Recursos Humanos,Empleados Regulares,360756.0
Recursos Humanos,Empleados Transitorios,41124.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,20000.0
