departamento,ingreso,monto
Finanzas,Patentes,14000000.0
Finanzas,Impuesto Municipal sobre las Ventas,3200000.0
Finanzas,Fondo Desarrollo Municipal,140000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,60000.0
Finanzas,Arbitrios de Construccion,55000.0
Finanzas,Licencias y Permisos,100.0
Finanzas,Compensacion AEE,857904.0
Finanzas,Otros Ingresos Intergubernamentales,2383113.0
Finanzas,Permisos de Uso Parques y Recreos,6000.0
Finanzas,Permisos de Uso Estadios y Coliseos,25000.0
Finanzas,Otros Ingresos por Servicios,20000.0
Finanzas,Multas,50000.0
Finanzas,Intereses Bancarios,10000.0
Finanzas,Ingresos Eventuales,90000.0
Finanzas,Renta Locales y Propiedad Municipal,196003.0
Finanzas,Fiestas Patronales,10000.0
Finanzas,Otros Ingresos,100000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),6325011.0
Finanzas,Otros Ingresos,4500.0
Finanzas,Otros Ingresos,5000.0
