departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,58104.0
Legislatura Municipal,Seguro Social Federal,4537.0
Legislatura Municipal,Plan Medico,2400.0
Legislatura Municipal,Seguro Choferil,32.0
Legislatura Municipal,Bono Navideno,1200.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Equipo de Oficina,500.0
Legislatura Municipal,Dietas,25000.0
Legislatura Municipal,Gastos de Representacion,500.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,500.0
Legislatura Municipal,Relaciones Publicas,1000.0
Legislatura Municipal,Seguros,100.0
Legislatura Municipal,Cuotas y Suscripciones,200.0
Legislatura Municipal,Miscelaneos,500.0
Legislatura Municipal,Publicaciones y Anuncios,7500.0
Oficina del Alcalde(sa),Empleados Regulares,213612.0
Oficina del Alcalde(sa),Seguro Choferil,78.0
Oficina del Alcalde(sa),Seguro Social Federal,16755.0
Oficina del Alcalde(sa),Plan Medico,10800.0
Oficina del Alcalde(sa),Bono Navideno,5400.0
Oficina del Alcalde(sa),Dietas,6000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,168550.0
Oficina del Alcalde(sa),Gastos de Viaje,5000.0
Oficina del Alcalde(sa),Donaciones,50000.0
Oficina del Alcalde(sa),Becas,5000.0
Oficina del Alcalde(sa),Fiestas Patronales,1000.0
Oficina del Alcalde(sa),Festival o Actividad I,15000.0
Oficina del Alcalde(sa),Festival o Actividad II,1000.0
Oficina del Alcalde(sa),Festival o Actividad III,15000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,12000.0
Oficina del Alcalde(sa),Relaciones Publicas,5000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,4000.0
Oficina del Alcalde(sa),Franqueo,10000.0
Finanzas,Empleados Regulares,497904.0
Finanzas,Empleados Irregulares,7540.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,10000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,80000.0
Finanzas,Seguro Choferil,47.0
Finanzas,Aportacion al Fondo de Equiparacion,968648.0
Finanzas,Seguro Social Federal,39100.0
Finanzas,Plan Medico,26400.0
Finanzas,Seguro por Desempleo,20000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,163843.0
Finanzas,Bono Navideno,13200.0
Finanzas,Beneficios Marginales,1728.0
Finanzas,Energia Electrica,287659.0
Finanzas,Acueducto y Alcantarillados,200000.0
Finanzas,Telefono y Comunicaciones,75000.0
Finanzas,Equipo de Oficina,10000.0
Finanzas,Programas de Computadoras,124839.0
Finanzas,Dietas,1000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),33000.0
Finanzas,Servicios Profesionales - No Clasificados,60000.0
Finanzas,Servicios No Profesionales,10000.0
Finanzas,Gastos de Viaje,6000.0
Finanzas,Seguros,550000.0
Finanzas,Renta de Edificios, Locales y Terrenos,45600.0
Finanzas,Renta de Equipos y Vehiculos,47744.0
Finanzas,Intereses Cuentas Vendidas,11149.0
Finanzas,Mantenimiento de Equipo,22000.0
Finanzas,Miscelaneos,15631.0
Finanzas,Pago de Sentencias y Reclamaciones,500.0
Finanzas,Cargos por Servicios Bancarios,7000.0
Finanzas,Compra de Terrenos,500.0
Finanzas,Aportacion al CRIM,68595.0
Obras Publicas,Empleados Regulares,624516.0
Obras Publicas,Seguro Choferil,546.0
Obras Publicas,Seguro Social Federal,49520.0
Obras Publicas,Plan Medico,45600.0
Obras Publicas,Bono Navideno,22800.0
Obras Publicas,Materiales y Suministros de Operacion,500.0
Obras Publicas,Compra de Equipos,500.0
Obras Publicas,Costos de Construccion,40000.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Renta de Equipos y Vehiculos,10000.0
Obras Publicas,Mantenimiento de Edificios,70000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,200000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,148080.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,110.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,11696.0
Oficina Municipal Manejo de Emergencias,Plan Medico,9600.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,4800.0
Oficina Municipal Manejo de Emergencias,Servicios No Profesionales,12000.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,3000.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,1000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,2000.0
Guardia Municipal,Empleados Regulares,517080.0
Guardia Municipal,Seguro Choferil,328.0
Guardia Municipal,Seguro Social Federal,40613.0
Guardia Municipal,Plan Medico,27600.0
Guardia Municipal,Bono Navideno,13800.0
Guardia Municipal,Compra de Uniformes,10000.0
Guardia Municipal,Materiales y Suministros de Operacion,2000.0
Guardia Municipal,Compra de Equipos,500.0
Guardia Municipal,Mantenimiento de Equipo,500.0
Recursos Humanos,Empleados Regulares,195516.0
Recursos Humanos,Seguro Choferil,32.0
Recursos Humanos,Seguro Social Federal,15325.0
Recursos Humanos,Plan Medico,9600.0
Recursos Humanos,Bono Navideno,4800.0
Recursos Humanos,Beneficios Marginales,20000.0
Recursos Humanos,Adiestramientos,2000.0
Recursos Humanos,Servicios Profesionales - No Clasificados,1000.0
Recursos Humanos,Pruebas de Dopaje,3000.0
Recursos Humanos,Miscelaneos,1500.0
Recreacion y Deportes,Empleados Regulares,188376.0
Recreacion y Deportes,Empleados Irregulares,9426.0
Recreacion y Deportes,Seguro Choferil,125.0
Recreacion y Deportes,Seguro Social Federal,14870.0
Recreacion y Deportes,Plan Medico,12000.0
Recreacion y Deportes,Bono Navideno,6000.0
Recreacion y Deportes,Beneficios Marginales,1999.0
Recreacion y Deportes,Compra de Equipos,1000.0
Recreacion y Deportes,Servicios Profesionales - No Clasificados,10000.0
Recreacion y Deportes,Donaciones,10000.0
Recreacion y Deportes,Renta de Equipos y Vehiculos,2000.0
Recreacion y Deportes,Reparacion y Mantenimiento de Estructuras,2000.0
Recreacion y Deportes,Festival o Actividad II,50000.0
Sanidad o Saneamiento,Empleados Regulares,463524.0
Sanidad o Saneamiento,Empleados Irregulares,37491.0
Sanidad o Saneamiento,Seguro Choferil,172.0
Sanidad o Saneamiento,Seguro Social Federal,36745.0
Sanidad o Saneamiento,Plan Medico,33600.0
Sanidad o Saneamiento,Bono Navideno,16800.0
Sanidad o Saneamiento,Beneficios Marginales,6791.0
Sanidad o Saneamiento,Servicios Profesionales - No Clasificados,30000.0
Sanidad o Saneamiento,Renta de Equipos y Vehiculos,174000.0
Sanidad o Saneamiento,Materiales y Suministros de Operacion,2500.0
Sanidad o Saneamiento,Miscelaneos,2000.0
Centro de Envejecientes,Empleados Regulares,355920.0
Centro de Envejecientes,Seguro Choferil,94.0
Centro de Envejecientes,Seguro Social Federal,28100.0
Centro de Envejecientes,Plan Medico,22800.0
