departamento,ingreso,monto
Finanzas,Patentes,600000.0
Finanzas,Impuesto Municipal sobre las Ventas,600000.0
Finanzas,Fondo Desarrollo Municipal,0.0
Finanzas,Intereses y Recargos por Demoras en Patentes,5000.0
Finanzas,Arbitrios de Construccion,100000.0
Finanzas,Licencias y Permisos,3000.0
Finanzas,Compensacion AEE,257660.0
Finanzas,Otros Ingresos Intergubernamentales,5772552.0
Finanzas,Permisos de Uso Estadios y Coliseos,1000.0
Finanzas,Disposicion Derperdicios,70000.0
Finanzas,Multas,1000.0
Finanzas,Intereses Bancarios,50000.0
Finanzas,Ingresos Eventuales,200000.0
Finanzas,Renta Locales y Propiedad Municipal,35000.0
Finanzas,Otros Ingresos,1000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1445521.0
Finanzas,Otros Recursos Financieros,0.0
