departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,83532.0
Legislatura Municipal,Seguro Social Federal,6573.8
Legislatura Municipal,Plan Medico,6120.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Materiales de Oficina,25.0
Legislatura Municipal,Alimentos,500.0
Legislatura Municipal,Materiales y Suministros de Operacion,1000.0
Legislatura Municipal,Compra de Equipos,25.0
Legislatura Municipal,Dietas,105000.0
Legislatura Municipal,Adiestramientos,25.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,15000.0
Legislatura Municipal,Relaciones Publicas,25.0
Legislatura Municipal,Gastos de Viaje,25.0
Legislatura Municipal,Servicios Legales,32560.0
Legislatura Municipal,Cuotas y Suscripciones,25.0
Legislatura Municipal,Mantenimiento de Equipo,25.0
Legislatura Municipal,Miscelaneos,1900.0
Oficina del Alcalde(sa),Empleados Regulares,1200.0
Oficina del Alcalde(sa),Seguro Social Federal,91.8
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,25.0
Oficina del Alcalde(sa),Gastos de Viaje,10000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,500.0
Oficina del Alcalde(sa),Miscelaneos,250.0
Asuntos del Ciudadano,Empleados Regulares,161664.0
Asuntos del Ciudadano,Seguro Social Federal,12795.7
Asuntos del Ciudadano,Plan Medico,14280.0
Asuntos del Ciudadano,Bono Navideno,5600.0
Asuntos del Ciudadano,Materiales y Suministros de Operacion,2000.0
Asuntos del Ciudadano,Equipo Medico,5000.0
Asuntos del Ciudadano,Servicios Profesionales - No Clasificados,60000.0
Asuntos del Ciudadano,Donaciones,225000.0
Asuntos del Ciudadano,Miscelaneos,25.0
Asuntos Legales,Empleados Regulares,1800.0
Asuntos Legales,Seguro Social Federal,137.7
Asuntos Legales,Materiales y Suministros de Operacion,250.0
Asuntos Legales,Compra de Equipos,25.0
Asuntos Legales,Mantenimiento de Biblioteca,50.0
Asuntos Legales,Servicios Legales,669000.0
Asuntos Legales,Cuotas y Suscripciones,25.0
Asuntos Legales,Miscelaneos,25.0
Asuntos Legales,Pago de Sentencias y Reclamaciones,40000.0
Auditoria Interna,Empleados Regulares,192528.0
Auditoria Interna,Seguro Social Federal,15034.39
Auditoria Interna,Plan Medico,10200.0
Auditoria Interna,Bono Navideno,4000.0
Auditoria Interna,Materiales y Suministros de Operacion,25.0
Auditoria Interna,Equipo de Oficina,450.0
Auditoria Interna,Servicios Profesionales - No Clasificados,150324.0
Auditoria Interna,Cuotas y Suscripciones,1400.0
Relaciones Publicas,Empleados Regulares,170772.0
Relaciones Publicas,Seguro Social Federal,13492.46
Relaciones Publicas,Plan Medico,14280.0
