departamento,ingreso,monto
Finanzas,Patentes,33143247.0
Finanzas,Impuesto Municipal sobre las Ventas,24798735.0
Finanzas,Intereses y Recargos por Demoras en Patentes,650000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,1753475.0
Finanzas,Licencias y Permisos,45000.0
Finanzas,Compensacion AEE,5136773.76
Finanzas,Otros Ingresos Intergubernamentales,538387.75
Finanzas,Compensaciones Estatales,0.0
Finanzas,Servicios Parques Diversiones,1150000.0
Finanzas,Permisos de Uso Estadios y Coliseos,250000.0
Finanzas,Disposicion Derperdicios,250000.0
Finanzas,Ingresos por Servicios Transportacion,0.0
Finanzas,Multas,450000.0
Finanzas,Intereses en Inversiones,150000.0
Finanzas,Estacionamiento,200000.0
Finanzas,Ingresos Eventuales,5692267.73
Finanzas,Renta Locales y Propiedad Municipal,1100000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),42660094.43
