departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,75053.0
Legislatura Municipal,Seguro Choferil,16.0
Legislatura Municipal,Seguro Social Federal,5925.0
Legislatura Municipal,Plan Medico,6480.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Dietas,45000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,500.0
Legislatura Municipal,Servicios Legales,36000.0
Legislatura Municipal,Materiales de Oficina,1000.0
Legislatura Municipal,Equipo de Oficina,3000.0
Legislatura Municipal,Gastos de Representacion,100.0
Legislatura Municipal,Adiestramientos,200.0
Legislatura Municipal,Relaciones Publicas,200.0
Legislatura Municipal,Gastos de Viaje,200.0
Legislatura Municipal,Cuotas y Suscripciones,1500.0
Legislatura Municipal,Mantenimiento de Equipo,2000.0
Legislatura Municipal,Miscelaneos,1500.0
Legislatura Municipal,Publicaciones y Anuncios,1800.0
Legislatura Municipal,Franqueo,350.0
Oficina del Alcalde(sa),Empleados Regulares,327705.0
Oficina del Alcalde(sa),Seguro Choferil,32.0
Oficina del Alcalde(sa),Seguro Social Federal,26732.0
Oficina del Alcalde(sa),Plan Medico,21060.0
Oficina del Alcalde(sa),Bono Navideno,7200.0
Oficina del Alcalde(sa),Materiales de Oficina,1500.0
Oficina del Alcalde(sa),Compra de Equipos,500.0
Oficina del Alcalde(sa),Gastos de Viaje,500.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,10000.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,1000.0
Oficina del Alcalde(sa),Miscelaneos,1000.0
Finanzas,Empleados Regulares,453553.0
Finanzas,Empleados Transitorios,400865.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,70000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,50000.0
Finanzas,Seguro Choferil,160.0
Finanzas,Seguro Social Federal,86442.0
Finanzas,Plan Medico,56700.0
Finanzas,Seguro por Desempleo,100000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,304763.0
Finanzas,Bono Navideno,50400.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),18500.0
Finanzas,Miscelaneos,42144.0
Finanzas,Aportacion al Fondo de Equiparacion,1348484.0
Finanzas,Materiales de Oficina,9000.0
Finanzas,Materiales de Mantenimiento,10000.0
Finanzas,Telefono y Comunicaciones,45000.0
Finanzas,Compra de Equipos,5000.0
Finanzas,Dietas,5000.0
Finanzas,Gastos de Representacion,1000.0
Finanzas,Pruebas de Dopaje,2500.0
Finanzas,Servicios Profesionales - No Clasificados,98400.0
Finanzas,Servicios No Profesionales,84044.0
Finanzas,Servicios Legales,12750.0
Finanzas,Relaciones Publicas,10000.0
Finanzas,Gastos de Viaje,500.0
Finanzas,Canon Excavaciones y Demoliciones,8000.0
Finanzas,Seguros,1100000.0
