departamento,ingreso,monto
Finanzas,Patentes,2782742.0
Finanzas,Impuesto Municipal sobre las Ventas,1405116.0
Finanzas,Intereses y Recargos por Demoras en Patentes,100000.0
Finanzas,Arbitrios de Construccion,300000.0
Finanzas,Licencias y Permisos,20000.0
Finanzas,Compensacion AEE,746504.0
Finanzas,Otros Ingresos Intergubernamentales,446958.0
Finanzas,Permisos de Uso Parques y Recreos,2500.0
Finanzas,Permisos de Uso Estadios y Coliseos,2000.0
Finanzas,Disposicion Derperdicios,20000.0
Finanzas,Otros Ingresos por Servicios,10000.0
Finanzas,Ingresos por Servicios Transportacion,500.0
Finanzas,Multas,20000.0
Finanzas,Intereses en Inversiones,1000.0
Finanzas,Ingresos Eventuales,700000.0
Finanzas,Renta Locales y Propiedad Municipal,145000.0
Finanzas,Fiestas Patronales,10000.0
Finanzas,Otros Ingresos,20000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras)Otros Ingresos por,7481144.0
Finanzas,ServiciosRenta Locales y,100.0
Finanzas,Propiedad Municipal,33523.0
Finanzas,Otros Ingresos,30000.0
Finanzas,Otros IngresosRenta Locales y,30000.0
Finanzas,Propiedad MunicipalOtros Recursos,100.0
Planificacion y,FinancierosOtros Impuestos,2000000.0
Desarrollo,Locales,90000.0
