departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,355608.0
Legislatura Municipal,Seguro Choferil,22.0
Legislatura Municipal,Seguro Social Federal,28340.0
Legislatura Municipal,Plan Medico,19800.0
Legislatura Municipal,Beneficio por Fondo del Seguro del Estado,7657.0
Legislatura Municipal,Bono Navideno,8800.0
Legislatura Municipal,Beneficios Marginales,6000.0
Legislatura Municipal,Materiales de Oficina,2000.0
Legislatura Municipal,Materiales de Mantenimiento,750.0
Legislatura Municipal,Compra de Uniformes,1800.0
Legislatura Municipal,Equipo de Oficina,1000.0
Legislatura Municipal,Equipo de Mantenimiento,500.0
Legislatura Municipal,Compra de Equipos,15000.0
Legislatura Municipal,Dietas,80000.0
Legislatura Municipal,Adiestramientos,2000.0
Legislatura Municipal,Servicios No Profesionales,2000.0
Legislatura Municipal,Gastos de Viaje,5000.0
Legislatura Municipal,Cuotas y Suscripciones,5000.0
Legislatura Municipal,Miscelaneos,5000.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Oficina del Alcalde(sa),Empleados Regulares,604360.0
Oficina del Alcalde(sa),Seguro Choferil,132.0
Oficina del Alcalde(sa),Seguro Social Federal,48754.0
Oficina del Alcalde(sa),Plan Medico,46800.0
Oficina del Alcalde(sa),Beneficio por Fondo del Seguro del Estado,13140.0
Oficina del Alcalde(sa),Bono Navideno,20800.0
Oficina del Alcalde(sa),Beneficios Marginales,12000.0
Oficina del Alcalde(sa),Materiales de Oficina,2000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,7000.0
Oficina del Alcalde(sa),Gastos de Representacion,8000.0
Oficina del Alcalde(sa),Servicios No Profesionales,2580.0
Oficina del Alcalde(sa),Gastos de Viaje,20000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,31300.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,6000.0
Oficina del Alcalde(sa),Miscelaneos,1000.0
Oficina del Alcalde(sa),Empleados Regulares,25212.0
Oficina del Alcalde(sa),Seguro Social Federal,1990.0
Oficina del Alcalde(sa),Plan Medico,1800.0
