departamento,ingreso,monto
Finanzas,Patentes,21325000.0
Finanzas,Impuesto Municipal sobre las Ventas,17000000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,1350000.0
Finanzas,Otros Impuestos Locales,0.0
Finanzas,Arbitrios de Construccion,7100000.0
Finanzas,Licencias y Permisos,315000.0
Finanzas,Compensacion AEE,4682108.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Disposicion Derperdicios,80000.0
Finanzas,Otros Ingresos por Servicios,1427000.0
Finanzas,Multas,600000.0
Finanzas,Intereses en Inversiones,60000.0
Finanzas,Intereses Bancarios,50000.0
Finanzas,Ingresos Eventuales,125000.0
Finanzas,Renta Locales y Propiedad Municipal,70645.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),27219295.0
Finanzas,Ventas Sellos y Comprobantes Departamento de Hacienda,5000.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Contribucion sobre la Propiedad, Anos AnterioresTransferencias que,0.0
Finanzas,EntranOtros Ingresos,0.0
Finanzas,Intergubernamentale,1143434.0
