departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,85392.0
Legislatura Municipal,Seguro Choferil,14.4
Legislatura Municipal,Seguro Social Federal,6716.09
Legislatura Municipal,Plan Medico,4800.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Materiales de Oficina,8410.56
Legislatura Municipal,Materiales y Suministros de Operacion,1300.0
Legislatura Municipal,Equipo de Oficina,5000.0
Legislatura Municipal,Dietas,40000.0
Legislatura Municipal,Adiestramientos,1000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,12600.0
Legislatura Municipal,Gastos de Viaje,1200.0
Legislatura Municipal,Servicios Legales,6000.0
Legislatura Municipal,Cuotas y Suscripciones,3500.0
Legislatura Municipal,Renta de Equipos y Vehiculos,3237.72
Legislatura Municipal,Mantenimiento de Equipo,1500.0
Legislatura Municipal,Mantenimiento de Edificios,1600.0
Legislatura Municipal,Miscelaneos,2000.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Legislatura Municipal,Franqueo,600.0
Legislatura Municipal,Gastos de Representacion,2000.0
Legislatura Municipal,Relaciones Publicas,500.0
Oficina del Alcalde(sa),Empleados Regulares,500604.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Regular,23384.3
Oficina del Alcalde(sa),Seguro Choferil,123.0
Oficina del Alcalde(sa),Seguro Social Federal,41232.61
Oficina del Alcalde(sa),Plan Medico,31200.0
Oficina del Alcalde(sa),Bono Navideno,15000.0
Oficina del Alcalde(sa),Donaciones,7200.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,52800.0
Oficina del Alcalde(sa),Servicios No Profesionales,14400.0
Oficina del Alcalde(sa),Gastos de Viaje,4000.0
Oficina del Alcalde(sa),Servicios Legales,60000.0
Oficina del Alcalde(sa),Donaciones,5340.0
Oficina del Alcalde(sa),Miscelaneos,4200.0
Oficina del Alcalde(sa),Franqueo,5000.0
Finanzas,Empleados Regulares,446544.0
Finanzas,Seguro Choferil,137.0
Finanzas,Cargo de "PayGo",88000.0
Finanzas,Seguro Social Federal,35354.02
Finanzas,Plan Medico,30000.0
Finanzas,Seguro por Desempleo,25000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,219268.17
Finanzas,Bono Navideno,15600.0
Finanzas,Materiales de Oficina,25000.0
Finanzas,Materiales de Mantenimiento,10000.0
Finanzas,Energia Electrica,1669304.9
Finanzas,Acueducto y Alcantarillados,250000.0
Finanzas,Telefono y Comunicaciones,65844.0
Finanzas,Materiales y Suministros de Operacion,5000.0
Finanzas,Servicios Profesionales - No Clasificados,73896.0
Finanzas,Gastos de Viaje,2000.0
Finanzas,Cargos por Servicios Bancarios,14400.0
Finanzas,Seguros,220000.0
Finanzas,Renta de Equipos y Vehiculos,35265.11
Finanzas,Reserva de Deficit,852.0
Finanzas,Intereses Cuentas Vendidas,6080.4
Finanzas,Mantenimiento de Equipo,39500.0
Finanzas,Aportacion al Fondo de Equiparacion,936683.08
Finanzas,Aportacion al CRIM,93896.72
Finanzas,Liquidacion Deuda del CRIM,76703.78
Finanzas,Transferencias que Salen,225542.82
Obras Publicas,Empleados Regulares,721836.0
Obras Publicas,Seguro Choferil,331.0
Obras Publicas,Seguro Social Federal,57653.15
Obras Publicas,Plan Medico,63600.0
Obras Publicas,Bono Navideno,31800.0
Obras Publicas,Materiales de Construccion,17000.0
Obras Publicas,Materiales y Suministros de Operacion,3000.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Mantenimiento de Equipo,5500.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,15000.0
Obras Publicas,Mantenimiento de Edificios,20000.0
Salud,Gastos de Salud,150635.93
Oficina Municipal Manejo de Emergencias,Empleados Regulares,414264.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,279.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,32792.8
Oficina Municipal Manejo de Emergencias,Plan Medico,28800.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,14400.0
Oficina Municipal Manejo de Emergencias,Drogas, Medicinas y Otros Suministros,7000.0
Oficina Municipal Manejo de Emergencias,Alimentos,2000.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,4000.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,6000.0
Oficina Municipal Manejo de Emergencias,Servicios No Profesionales,3000.0
Oficina Municipal Manejo de Emergencias,Donaciones,4750.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,2300.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,8000.0
Guardia Municipal,Empleados Regulares,355740.0
Guardia Municipal,Seguro Choferil,246.0
Guardia Municipal,Seguro Social Federal,28086.21
Guardia Municipal,Plan Medico,22800.0
Guardia Municipal,Bono Navideno,11400.0
Guardia Municipal,Materiales de Oficina,1000.0
Guardia Municipal,Materiales y Suministros de Operacion,2000.0
Recursos Humanos,Empleados Regulares,174288.0
Recursos Humanos,Seguro Choferil,44.0
Recursos Humanos,Seguro Social Federal,13792.03
Recursos Humanos,Plan Medico,12000.0
Recursos Humanos,Bono Navideno,6000.0
Recursos Humanos,Adiestramientos,4000.0
Recursos Humanos,Pruebas de Dopaje,8612.5
Recursos Humanos,Mantenimiento de Equipo,2000.0
Recreacion y Deportes,Empleados Regulares,369048.0
Recreacion y Deportes,Seguro Choferil,173.0
Recreacion y Deportes,Seguro Social Federal,29471.47
Recreacion y Deportes,Plan Medico,32400.0
Recreacion y Deportes,Bono Navideno,16200.0
Recreacion y Deportes,Materiales de Construccion,6000.0
Recreacion y Deportes,Materiales y Suministros de Operacion,4000.0
Recreacion y Deportes,Servicios No Profesionales,30000.0
Recreacion y Deportes,Donaciones,25050.0
Recreacion y Deportes,Mantenimiento de Edificios,8000.0
Recreacion y Deportes,Donaciones,2400.0
Sanidad o Saneamiento,Empleados Regulares,99756.0
Sanidad o Saneamiento,Seguro Choferil,44.0
Sanidad o Saneamiento,Seguro Social Federal,7998.53
Sanidad o Saneamiento,Plan Medico,9600.0
Sanidad o Saneamiento,Bono Navideno,4800.0
Sanidad o Saneamiento,Mantenimiento de Vehiculos,20000.0
Sanidad o Saneamiento,Disposicion de Desperdicios,997500.0
Sanidad o Saneamiento,Combustible y Lubricantes,138000.0
Sanidad o Saneamiento,Gastos de Viaje,4000.0
Sanidad o Saneamiento,Mantenimiento de Vehiculos,35000.0
Centro de Envejecientes,Empleados Regulares,558180.0
Centro de Envejecientes,Seguro Choferil,146.0
Centro de Envejecientes,Seguro Social Federal,44353.17
Centro de Envejecientes,Plan Medico,43200.0
Centro de Envejecientes,Bono Navideno,21600.0
Centro de Envejecientes,Servicios Profesionales - No Clasificados,9180.0
Centro de Envejecientes,Mantenimiento de Equipo,1500.0
Centro de Envejecientes,Mantenimiento de Vehiculos,2000.0
Centro de Envejecientes,Alimentos,11000.0
Centro de Envejecientes,Materiales y Suministros de Operacion,2500.0
Centro de Envejecientes,Miscelaneos,1000.0
Relaciones Publicas,Empleados Regulares,76308.0
Relaciones Publicas,Seguro Choferil,56.0
Relaciones Publicas,Seguro Social Federal,6067.06
Relaciones Publicas,Plan Medico,6000.0
Relaciones Publicas,Bono Navideno,3000.0
Relaciones Publicas,Servicios Profesionales - No Clasificados,7200.0
Relaciones Publicas,Relaciones Publicas,1500.0
Relaciones Publicas,Cuotas y Suscripciones,1000.0
Relaciones Publicas,Festival o Actividad I,34000.0
Relaciones Publicas,Festival o Actividad II,45000.0
Relaciones Publicas,Festival o Actividad I,29925.0
Relaciones Publicas,Festival o Actividad II,200.0
Cultura y Turismo,Empleados Regulares,105504.0
Cultura y Turismo,Seguro Choferil,70.0
Cultura y Turismo,Seguro Social Federal,8392.36
Cultura y Turismo,Plan Medico,8400.0
Cultura y Turismo,Bono Navideno,4200.0
Cultura y Turismo,Servicios No Profesionales,3500.0
Cultura y Turismo,Relaciones Publicas,3500.0
Cultura y Turismo,Cuotas y Suscripciones,2500.0
Cultura y Turismo,Donaciones,3550.0
Asuntos del Ciudadano,Empleados Regulares,328812.0
Asuntos del Ciudadano,Seguro Choferil,78.0
Asuntos del Ciudadano,Seguro Social Federal,26072.12
Asuntos del Ciudadano,Plan Medico,24000.0
Asuntos del Ciudadano,Bono Navideno,12000.0
Asuntos del Ciudadano,Donaciones,9200.0
Asuntos del Ciudadano,Donaciones,2350.0
Asuntos del Ciudadano,Mantenimiento de Equipo,4000.0
Asuntos del Ciudadano,Donaciones,41400.0
Asuntos del Ciudadano,Materiales y Suministros de Operacion,5500.0
Asuntos del Ciudadano,Servicios No Profesionales,50000.0
Asuntos del Ciudadano,Donaciones,6150.0
Asuntos del Ciudadano,Donaciones,4550.0
Asuntos del Ciudadano,Renta de Edificios, Locales y Terrenos,3672.0
Asuntos del Ciudadano,Materiales y Suministros de Operacion,45000.0
Asuntos del Ciudadano,Donaciones,15000.0
Secretaria Municipal,Empleados Regulares,126648.0
Secretaria Municipal,Seguro Choferil,14.0
Secretaria Municipal,Seguro Social Federal,10055.77
Secretaria Municipal,Plan Medico,9600.0
Secretaria Municipal,Bono Navideno,4800.0
Secretaria Municipal,Mantenimiento de Edificios,1000.0
Secretaria Municipal,Publicaciones y Anuncios,4500.0
Auditoria Interna,Empleados Regulares,68292.0
Auditoria Interna,Seguro Choferil,25.0
Auditoria Interna,Seguro Social Federal,5407.94
Auditoria Interna,Plan Medico,4800.0
Auditoria Interna,Bono Navideno,2400.0
Auditoria Interna,Gastos de Auditoria Sencilla (Single Audit),18600.0
Auditoria Interna,Servicios Profesionales - No Clasificados,18600.0
Prensa y Comunicacion,Empleados Regulares,43236.0
Prensa y Comunicacion,Seguro Social Federal,3399.35
Prensa y Comunicacion,Plan Medico,2400.0
Prensa y Comunicacion,Bono Navideno,1200.0
Recursos Humanos,Reserva,362880.0
