departamento,ingreso,monto
Finanzas,Patentes,962264.0
Finanzas,Impuesto Municipal sobre las Ventas,1046980.0
Finanzas,Intereses y Recargos por Demoras en Patentes,15000.0
Finanzas,Arbitrios de Construccion,1037490.0
Finanzas,Licencias y Permisos,57572.0
Finanzas,Compensacion AEE,1669304.9
Finanzas,Otros Ingresos Intergubernamentales,4709450.06
Finanzas,Compensaciones Estatales,0.0
Finanzas,Servicios Medicos Ambulatorios,300000.0
Finanzas,Permisos de Uso Parques y Recreos,2000.0
Finanzas,Otros Ingresos por Servicios,3895.84
Finanzas,Multas,9500.0
Finanzas,Intereses en Inversiones,0.0
Finanzas,Ingresos Eventuales,50000.0
Finanzas,Renta Locales y Propiedad Municipal,50000.0
Finanzas,Otros Ingresos,70000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1993235.27
