departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,202536.0
Legislatura Municipal,Seguro Choferil,16.0
Legislatura Municipal,Seguro Social Federal,15724.0
Legislatura Municipal,Plan Medico,6300.0
Legislatura Municipal,Bono Navideno,3000.0
Legislatura Municipal,Materiales de Oficina,2000.0
Legislatura Municipal,Alimentos,1200.0
Legislatura Municipal,Equipo de Oficina,15000.0
Legislatura Municipal,Dietas,75000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,24000.0
Legislatura Municipal,Gastos de Viaje,2000.0
Legislatura Municipal,Servicios Legales,25200.0
Legislatura Municipal,Cuotas y Suscripciones,3500.0
Legislatura Municipal,Renta de Edificios, Locales y Terrenos,38470.0
Legislatura Municipal,Renta de Equipos y Vehiculos,1000.0
Legislatura Municipal,Miscelaneos,2000.0
Legislatura Municipal,Franqueo,100.0
Oficina del Alcalde(sa),Empleados Regulares,829596.0
Oficina del Alcalde(sa),Seguro Choferil,32.0
Oficina del Alcalde(sa),Seguro Social Federal,64198.0
Oficina del Alcalde(sa),Plan Medico,21420.0
Oficina del Alcalde(sa),Bono Navideno,9600.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,43740.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,8000.0
Oficina del Alcalde(sa),Miscelaneos,6000.0
Oficina del Alcalde(sa),Empleados Regulares,95784.0
Oficina del Alcalde(sa),Seguro Social Federal,7465.0
Oficina del Alcalde(sa),Plan Medico,3780.0
Oficina del Alcalde(sa),Bono Navideno,1800.0
Oficina del Alcalde(sa),Alimentos,1200.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,24000.0
Oficina del Alcalde(sa),Becas,8000.0
Oficina del Alcalde(sa),Festival o Actividad I,680.0
Finanzas,Empleados Regulares,419172.0
Finanzas,Seguro Social Federal,32617.0
Finanzas,Plan Medico,15120.0
Finanzas,Seguro por Desempleo,40000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,455395.0
Finanzas,Bono Navideno,7200.0
Finanzas,Energia Electrica,561545.0
Finanzas,Acueducto y Alcantarillados,360000.0
Finanzas,Telefono y Comunicaciones,120000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),17950.0
Finanzas,Servicios Profesionales - No Clasificados,83760.0
Finanzas,Canon Excavaciones y Demoliciones,8000.0
Finanzas,Seguros,486627.0
Finanzas,Renta de Edificios, Locales y Terrenos,58800.0
Finanzas,Amortizacion de Principal de Prestamos,385000.0
Finanzas,Intereses Cuentas Vendidas,18031.0
Finanzas,Miscelaneos,13801.0
Finanzas,Reclamaciones Anos Anteriores,100743.0
Finanzas,Aportacion al Fondo de Equiparacion,1363507.0
Finanzas,Aportacion al CRIM,297944.0
Obras Publicas,Empleados Regulares,800472.0
Obras Publicas,Seguro Choferil,312.0
Obras Publicas,Seguro Social Federal,62980.0
Obras Publicas,Plan Medico,47880.0
Obras Publicas,Bono Navideno,22800.0
Obras Publicas,Herramientas,15000.0
Obras Publicas,Materiales de Construccion,15000.0
Obras Publicas,Compra de Equipos,50000.0
Obras Publicas,Costos de Construccion,255000.0
Obras Publicas,Renta de Equipos y Vehiculos,6000.0
Obras Publicas,Mantenimiento de Equipo,6000.0
Salud,Empleados Regulares,328152.0
Salud,Seguro Social Federal,25746.0
Salud,Plan Medico,17640.0
Salud,Bono Navideno,8400.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,307416.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,141.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,23976.0
Oficina Municipal Manejo de Emergencias,Plan Medico,12600.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,6000.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,2000.0
Oficina Municipal Manejo de Emergencias,Drogas, Medicinas y Otros Suministros,1000.0
Oficina Municipal Manejo de Emergencias,Alimentos,1500.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,4000.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,5000.0
Oficina Municipal Manejo de Emergencias,Servicios Profesionales - No Clasificados,44400.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,5000.0
Oficina Municipal Manejo de Emergencias,Transferencias que Salen,15000.0
Guardia Municipal,Empleados Regulares,353520.0
Guardia Municipal,Seguro Choferil,203.0
Guardia Municipal,Seguro Social Federal,27733.0
Guardia Municipal,Plan Medico,18900.0
Guardia Municipal,Bono Navideno,9000.0
Guardia Municipal,Compra de Uniformes,8020.0
Guardia Municipal,Miscelaneos,2000.0
Recursos Humanos,Empleados Regulares,312612.0
Recursos Humanos,Empleados Transitorios,4440000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,40000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,40000.0
Recursos Humanos,Seguro Choferil,2340.0
Recursos Humanos,Seguro Social Federal,23915.0
Recursos Humanos,Seguro Social Federal,350951.0
Recursos Humanos,Seguro Social Federal,11705.0
Recursos Humanos,Seguro Social Federal,6120.0
Recursos Humanos,Plan Medico,11340.0
Recursos Humanos,Plan Medico,309960.0
Recursos Humanos,Bono Navideno,5400.0
Recursos Humanos,Bono Navideno,147600.0
Recursos Humanos,Compra de Uniformes,8000.0
Recursos Humanos,Compra de Equipos,35000.0
Recursos Humanos,Adiestramientos,20000.0
Recursos Humanos,Pruebas de Dopaje,17000.0
Recursos Humanos,Gastos de Viaje,10000.0
Recursos Humanos,Mantenimiento de Equipo,18000.0
Recursos Humanos,Empleados Regulares,70824.0
Recursos Humanos,Seguro Social Federal,5510.0
Recursos Humanos,Plan Medico,2520.0
Recursos Humanos,Bono Navideno,1200.0
Recursos Humanos,Servicios Profesionales - No Clasificados,4500.0
Recreacion y Deportes,Empleados Regulares,267396.0
Recreacion y Deportes,Seguro Choferil,63.0
Recreacion y Deportes,Seguro Social Federal,20915.0
Recreacion y Deportes,Plan Medico,12600.0
Recreacion y Deportes,Bono Navideno,6000.0
Recreacion y Deportes,Materiales de Mantenimiento,10000.0
Recreacion y Deportes,Materiales y Suministros de Operacion,25000.0
Recreacion y Deportes,Compra de Equipos,15000.0
Recreacion y Deportes,Servicios Profesionales - No Clasificados,24000.0
Recreacion y Deportes,Cuotas y Suscripciones,400.0
Recreacion y Deportes,Donaciones,6000.0
Recreacion y Deportes,Transferencias que Salen,4000.0
Centro de Envejecientes,Empleados Regulares,394332.0
Centro de Envejecientes,Seguro Choferil,140.0
Centro de Envejecientes,Seguro Social Federal,30855.0
Centro de Envejecientes,Plan Medico,18900.0
Centro de Envejecientes,Bono Navideno,9000.0
Centro de Envejecientes,Alimentos,120000.0
Centro de Envejecientes,Materiales y Suministros de Operacion,26000.0
Centro de Envejecientes,Compra de Equipos,21000.0
Centro de Envejecientes,Relaciones Publicas,1000.0
Relaciones Publicas,Empleados Regulares,236256.0
Relaciones Publicas,Seguro Social Federal,18395.0
Relaciones Publicas,Plan Medico,8820.0
Relaciones Publicas,Bono Navideno,4200.0
Relaciones Publicas,Servicios Profesionales - No Clasificados,78000.0
Relaciones Publicas,Relaciones Publicas,20000.0
Relaciones Publicas,Miscelaneos,3000.0
Relaciones Publicas,Festival o Actividad I,35000.0
Relaciones Publicas,Festival o Actividad II,35000.0
Relaciones Publicas,Festival o Actividad III,70000.0
Relaciones Publicas,Otros Festivales o Actividades,25000.0
Aportaciones Federales,Empleados Regulares,90600.0
Aportaciones Federales,Seguro Social Federal,7069.0
Aportaciones Federales,Plan Medico,3780.0
Aportaciones Federales,Bono Navideno,1800.0
Centro de Cuidado Diurno,Empleados Regulares,20904.0
Centro de Cuidado Diurno,Seguro Social Federal,1645.0
Centro de Cuidado Diurno,Plan Medico,1260.0
Centro de Cuidado Diurno,Bono Navideno,600.0
Asuntos del Ciudadano,Empleados Regulares,143064.0
Asuntos del Ciudadano,Seguro Choferil,32.0
Asuntos del Ciudadano,Seguro Social Federal,11174.0
Asuntos del Ciudadano,Plan Medico,6300.0
Asuntos del Ciudadano,Bono Navideno,3000.0
Asuntos del Ciudadano,Materiales de Construccion,10000.0
Asuntos del Ciudadano,Donaciones,115000.0
Secretaria Municipal,Empleados Regulares,147576.0
Secretaria Municipal,Seguro Choferil,16.0
Secretaria Municipal,Seguro Social Federal,11519.0
Secretaria Municipal,Plan Medico,6300.0
Secretaria Municipal,Bono Navideno,3000.0
Secretaria Municipal,Dietas,2000.0
Secretaria Municipal,Miscelaneos,3000.0
Secretaria Municipal,Publicaciones y Anuncios,20000.0
Secretaria Municipal,Franqueo,10000.0
Asuntos Legales,Empleados Regulares,58872.0
Asuntos Legales,Seguro Social Federal,4550.0
Asuntos Legales,Plan Medico,1260.0
Asuntos Legales,Bono Navideno,600.0
Asuntos Legales,Servicios Legales,200000.0
Asuntos Legales,Cuotas y Suscripciones,1600.0
Auditoria Interna,Empleados Regulares,140580.0
Auditoria Interna,Seguro Choferil,32.0
Auditoria Interna,Seguro Social Federal,10892.0
Auditoria Interna,Plan Medico,3780.0
Auditoria Interna,Bono Navideno,1800.0
Auditoria Interna,Cuotas y Suscripciones,200.0
Centro de Procesamiento de Datos,Empleados Regulares,100080.0
Centro de Procesamiento de Datos,Seguro Social Federal,7748.0
Centro de Procesamiento de Datos,Plan Medico,2520.0
Centro de Procesamiento de Datos,Bono Navideno,1200.0
Centro de Procesamiento de Datos,Programas de Computadoras,17000.0
Centro de Procesamiento de Datos,Servicios Profesionales - No Clasificados,26250.0
Centro de Procesamiento de Datos,Renta de Equipos y Vehiculos,60000.0
Planificacion y Desarrollo,Empleados Regulares,292536.0
Planificacion y Desarrollo,Seguro Social Federal,22654.0
Planificacion y Desarrollo,Plan Medico,7560.0
Planificacion y Desarrollo,Bono Navideno,3600.0
Planificacion y Desarrollo,Programas de Computadoras,7000.0
Planificacion y Desarrollo,Servicios Profesionales - No Clasificados,40000.0
Compras y Suministros,Empleados Regulares,184692.0
Compras y Suministros,Seguro Social Federal,14313.0
Compras y Suministros,Plan Medico,5040.0
Compras y Suministros,Bono Navideno,2400.0
Compras y Suministros,Materiales de Oficina,20000.0
Compras y Suministros,Materiales de Mantenimiento,10000.0
Compras y Suministros,Materiales y Suministros de Operacion,10000.0
Compras y Suministros,Equipo de Oficina,27525.0
Compras y Suministros,Equipo de Mantenimiento,3000.0
Compras y Suministros,Compra de Equipos,10000.0
Compras y Suministros,Mantenimiento de Equipo,7000.0
Compras y Suministros,Miscelaneos,15000.0
Mecanica y Transportacion,Empleados Regulares,220656.0
Mecanica y Transportacion,Seguro Choferil,109.0
Mecanica y Transportacion,Seguro Social Federal,17339.0
Mecanica y Transportacion,Plan Medico,12600.0
Mecanica y Transportacion,Bono Navideno,6000.0
Mecanica y Transportacion,Combustible y Lubricantes,250000.0
Mecanica y Transportacion,Equipo de Mecanica,5500.0
Mecanica y Transportacion,Mantenimiento de Vehiculos,148200.0
Mecanica y Transportacion,Combustible y Lubricantes,50000.0
Mecanica y Transportacion,Compra de Equipos,1700.0
Mecanica y Transportacion,Mantenimiento de Vehiculos,50000.0
Mecanica y Transportacion,Materiales y Suministros de Operacion,2000.0
Mecanica y Transportacion,Mantenimiento de Edificios,10000.0
Conservacion de Edificios y Estructuras Municipales,Empleados Regulares,225420.0
Conservacion de Edificios y Estructuras Municipales,Seguro Choferil,77.0
Conservacion de Edificios y Estructuras Municipales,Seguro Social Federal,17750.0
Conservacion de Edificios y Estructuras Municipales,Plan Medico,13860.0
Conservacion de Edificios y Estructuras Municipales,Bono Navideno,6600.0
Conservacion de Edificios y Estructuras Municipales,Materiales y Suministros de Operacion,3000.0
Conservacion de Edificios y Estructuras Municipales,Compra de Equipos,5000.0
Conservacion de Edificios y Estructuras Municipales,Mantenimiento de Equipo,500.0
Conservacion de Edificios y Estructuras Municipales,Mantenimiento de Edificios,70000.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Empleados Regulares,137064.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Seguro Choferil,16.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Seguro Social Federal,10669.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Plan Medico,5040.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Bono Navideno,2400.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Materiales de Oficina,3500.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Programas de Computadoras,1650.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Servicios Profesionales - No Clasificados,40000.0
