departamento,ingreso,monto
Finanzas,Patentes,3088000.0
Finanzas,Arbitrios de Construccion,4469000.0
Finanzas,Licencias y Permisos,12000.0
Finanzas,Compensacion AEE,561545.0
Finanzas,Otros Ingresos Intergubernamentales,2774746.0
Finanzas,Multas,3000.0
Finanzas,Intereses en Inversiones,40000.0
Finanzas,Ingresos Eventuales,551000.0
Finanzas,Renta Locales y Propiedad Municipal,140000.0
Finanzas,Otros Ingresos,1700000.0
Finanzas,Otros Recursos Financieros,0.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),6148261.0
Finanzas,Renta Locales y Propiedad Municipal,106634.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Ventas Sellos y Comprobantes Departamento de Hacienda,500.0
