departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,316776.0
Legislatura Municipal,Seguro Social Federal,24726.0
Legislatura Municipal,Plan Medico,9600.0
Legislatura Municipal,Bono de Verano,1600.0
Legislatura Municipal,Bono Navideno,4800.0
Legislatura Municipal,Beneficios Marginales,3600.0
Legislatura Municipal,Materiales de Oficina,1500.0
Legislatura Municipal,Alimentos,1000.0
Legislatura Municipal,Materiales y Suministros de Operacion,400.0
Legislatura Municipal,Dietas,275000.0
Legislatura Municipal,Mantenimiento de Biblioteca,100.0
Legislatura Municipal,Gastos de Viaje,500.0
Legislatura Municipal,Servicios Legales,18000.0
Legislatura Municipal,Cuotas y Suscripciones,3900.0
Legislatura Municipal,Mantenimiento de Equipo,2595.0
Legislatura Municipal,Miscelaneos,300.0
Legislatura Municipal,Otros Festivales o Actividades,4000.0
Oficina del Alcalde(sa),Empleados Regulares,337056.0
Oficina del Alcalde(sa),Seguro Choferil,32.0
Oficina del Alcalde(sa),Seguro Social Federal,26155.0
Oficina del Alcalde(sa),Plan Medico,8400.0
Oficina del Alcalde(sa),Bono de Verano,1200.0
Oficina del Alcalde(sa),Bono Navideno,3600.0
Oficina del Alcalde(sa),Beneficios Marginales,480.0
Oficina del Alcalde(sa),Materiales de Oficina,300.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,100.0
Oficina del Alcalde(sa),Gastos de Representacion,2000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,202960.0
Oficina del Alcalde(sa),Gastos de Viaje,4000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,8500.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,9122.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,300.0
Oficina del Alcalde(sa),Miscelaneos,200.0
Finanzas,Empleados Regulares,99984.0
Finanzas,Seguro Social Federal,7772.0
Finanzas,Plan Medico,2400.0
Finanzas,Bono de Verano,400.0
Finanzas,Bono Navideno,1200.0
Finanzas,Beneficios Marginales,3600.0
Finanzas,Materiales de Oficina,15000.0
Finanzas,Materiales de Mantenimiento,100.0
Finanzas,Materiales y Suministros de Operacion,3000.0
Finanzas,Servicios Profesionales - No Clasificados,66980.0
Finanzas,Renta de Equipos y Vehiculos,15102.0
Finanzas,Mantenimiento de Equipo,800.0
Finanzas,Miscelaneos,600.0
Finanzas,Transferencias que Salen,10454694.0
Finanzas,Empleados Regulares,279300.0
Finanzas,Seguro Social Federal,22046.0
Finanzas,Plan Medico,13200.0
Finanzas,Bono de Verano,2200.0
Finanzas,Bono Navideno,6600.0
Finanzas,Empleados Regulares,452412.0
Finanzas,Seguro Social Federal,35780.0
Finanzas,Plan Medico,22800.0
Finanzas,Bono de Verano,3800.0
Finanzas,Bono Navideno,11400.0
Finanzas,Gastos de Viaje,6000.0
Finanzas,Renta de Edificios, Locales y Terrenos,21727.0
Finanzas,Empleados Regulares,115092.0
Finanzas,Seguro Social Federal,9051.0
Finanzas,Plan Medico,4800.0
Finanzas,Bono de Verano,800.0
Finanzas,Bono Navideno,2400.0
Finanzas,Empleados Regulares,87288.0
Finanzas,Seguro Social Federal,6863.0
Finanzas,Plan Medico,3600.0
Finanzas,Bono de Verano,600.0
Finanzas,Bono Navideno,1800.0
Finanzas,Empleados Regulares,242280.0
Finanzas,Seguro Social Federal,19151.0
Finanzas,Plan Medico,12000.0
Finanzas,Bono de Verano,2000.0
Finanzas,Bono Navideno,6000.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,300000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,150847.0
Finanzas,Seguro Choferil,320.0
Finanzas,Seguro Social Federal,34490.0
Finanzas,Plan Medico,60000.0
Finanzas,Seguro por Desempleo,75000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,1691057.0
Finanzas,Beneficios Marginales,5000.0
Finanzas,Gastos de Viaje,5000.0
Finanzas,Reclamaciones Anos Anteriores,100000.0
Finanzas,Energia Electrica,5771452.0
Finanzas,Acueducto y Alcantarillados,1600000.0
Finanzas,Telefono y Comunicaciones,125000.0
Finanzas,Compra de Equipos,15000.0
Finanzas,Canon Excavaciones y Demoliciones,12000.0
Finanzas,Seguros,2552323.0
Finanzas,Renta de Equipos y Vehiculos,10000.0
Finanzas,Intereses Cuentas Vendidas,451690.0
Finanzas,Miscelaneos,190327.0
Finanzas,Pago de Sentencias y Reclamaciones,600000.0
Finanzas,Reclamaciones Anos Anteriores,25000.0
Finanzas,Aportacion al Fondo de Equiparacion,11031190.0
Finanzas,Aportacion al CRIM,1903211.0
Finanzas,Liquidacion Deuda del CRIM,392123.0
Finanzas,Transferencias que Salen,6372803.0
Obras Publicas,Empleados Regulares,1517460.0
Obras Publicas,Seguro Choferil,736.0
Obras Publicas,Seguro Social Federal,121199.0
Obras Publicas,Plan Medico,99600.0
Obras Publicas,Bono de Verano,16600.0
Obras Publicas,Bono Navideno,49800.0
Obras Publicas,Materiales de Oficina,1500.0
Obras Publicas,Herramientas,1000.0
Obras Publicas,Materiales y Suministros de Operacion,135200.0
Obras Publicas,Renta de Equipos y Vehiculos,13999.0
Obras Publicas,Mantenimiento de Equipo,1700.0
Obras Publicas,Miscelaneos,250.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,508536.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,352.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,40379.0
Oficina Municipal Manejo de Emergencias,Plan Medico,28800.0
Oficina Municipal Manejo de Emergencias,Bono de Verano,4800.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,14400.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,1500.0
Oficina Municipal Manejo de Emergencias,Drogas, Medicinas y Otros Suministros,4000.0
Oficina Municipal Manejo de Emergencias,Alimentos,600.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,6000.0
Oficina Municipal Manejo de Emergencias,Renta de Equipos y Vehiculos,3072.0
Oficina Municipal Manejo de Emergencias,Publicaciones y Anuncios,6000.0
Guardia Municipal,Empleados Regulares,8819772.0
Guardia Municipal,Seguro Choferil,4304.0
Guardia Municipal,Seguro Social Federal,695095.0
Guardia Municipal,Plan Medico,396000.0
Guardia Municipal,Bono de Verano,66000.0
Guardia Municipal,Bono Navideno,198000.0
Guardia Municipal,Beneficios Marginales,480.0
Guardia Municipal,Materiales de Oficina,2000.0
Guardia Municipal,Materiales y Suministros de Operacion,30000.0
Guardia Municipal,Servicios No Profesionales,350609.0
Guardia Municipal,Renta de Edificios, Locales y Terrenos,19800.0
Guardia Municipal,Renta de Equipos y Vehiculos,4560.0
Guardia Municipal,Miscelaneos,100.0
Recursos Humanos,Empleados Regulares,283740.0
Recursos Humanos,Seguro Social Federal,22384.0
Recursos Humanos,Plan Medico,13200.0
Recursos Humanos,Bono de Verano,2200.0
Recursos Humanos,Bono Navideno,6600.0
Recursos Humanos,Beneficios Marginales,3600.0
Recursos Humanos,Materiales de Oficina,2000.0
Recursos Humanos,Materiales y Suministros de Operacion,500.0
Recursos Humanos,Adiestramientos,25000.0
Recursos Humanos,Pruebas de Dopaje,8000.0
Recursos Humanos,Renta de Equipos y Vehiculos,8464.0
Recursos Humanos,Mantenimiento de Equipo,1278.0
Recursos Humanos,Miscelaneos,200.0
Recursos Humanos,Empleados Regulares,198732.0
Recursos Humanos,Seguro Social Federal,15635.0
Recursos Humanos,Plan Medico,8400.0
Recursos Humanos,Bono de Verano,1400.0
Recursos Humanos,Bono Navideno,4200.0
Recursos Humanos,Empleados Regulares,406716.0
Recursos Humanos,Seguro Social Federal,32161.0
Recursos Humanos,Plan Medico,20400.0
Recursos Humanos,Bono de Verano,3400.0
Recursos Humanos,Bono Navideno,10200.0
Recursos Humanos,Mantenimiento de Equipo,49999.0
Recreacion y Deportes,Empleados Regulares,243264.0
Recreacion y Deportes,Seguro Choferil,112.0
Recreacion y Deportes,Seguro Social Federal,19288.0
