departamento,ingreso,monto
Finanzas,Patentes,28155841.0
Finanzas,Arbitrios de Construccion,3000000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),39381178.0
Finanzas,Compensacion AEE,5771452.0
Finanzas,Otros Ingresos por Servicios,6000.0
Finanzas,Intereses en Inversiones,10000.0
Finanzas,Ingresos Eventuales,100000.0
Guardia Municipal,Multas,100000.0
Recreacion y Deportes,Permisos de Uso Parques y Recreos,100000.0
Recreacion y Deportes,Permisos de Uso Estadios y Coliseos,20000.0
Recreacion y Deportes,Ingresos por Servicios Transportacion,7000.0
Asuntos del Ciudadano,Otros Ingresos por Servicios,105000.0
Control Ambiental,Otros Ingresos por Servicios,315000.0
Control Ambiental,Otros Ingresos,96000.0
Oficina de Permisos,Licencias y Permisos,469293.0
Finanzas,Otros Ingresos Intergubernamentales,2332162.0
