departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,223044.0
Legislatura Municipal,Seguro Social Federal,17810.0
Legislatura Municipal,Plan Medico,19200.0
Legislatura Municipal,Bono Navideno,8000.0
Legislatura Municipal,Bono de Verano,1760.0
Legislatura Municipal,Materiales de Oficina,4000.0
Legislatura Municipal,Dietas,90000.0
Legislatura Municipal,Servicios Legales,36000.0
Legislatura Municipal,Cuotas y Suscripciones,3000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,8366.0
Legislatura Municipal,Miscelaneos,4000.0
Legislatura Municipal,Publicaciones y Anuncios,3500.0
Oficina del Alcalde(sa),Empleados Regulares,463776.0
Oficina del Alcalde(sa),Empleados Transitorios,67236.0
Oficina del Alcalde(sa),Seguro Social Federal,42040.0
Oficina del Alcalde(sa),Plan Medico,28800.0
Oficina del Alcalde(sa),Bono de Verano,3520.0
Oficina del Alcalde(sa),Bono Navideno,15000.0
Oficina del Alcalde(sa),Donaciones,40000.0
Finanzas,Empleados Regulares,729567.0
Finanzas,Empleados Transitorios,233520.0
Finanzas,Seguro Social Federal,77783.0
Finanzas,Plan Medico,69600.0
Finanzas,Bono de Verano,9680.0
Finanzas,Bono Navideno,44000.0
Finanzas,Energia Electrica,1530992.0
Finanzas,Acueducto y Alcantarillados,600000.0
Finanzas,Telefono y Comunicaciones,50000.0
Finanzas,Servicios Profesionales - No Clasificados,116000.0
Finanzas,Canon Excavaciones y Demoliciones,12000.0
Finanzas,Seguros,878100.0
Finanzas,Cuotas y Suscripciones,20000.0
Finanzas,Deficit,168000.0
Finanzas,Miscelaneos,915079.0
Finanzas,Pago de Sentencias y Reclamaciones,563100.0
Finanzas,Reclamaciones Anos Anteriores,200000.0
Finanzas,Aportacion al Fondo de Equiparacion,2298184.0
Finanzas,Aportacion al CRIM,528211.0
Finanzas,Liquidacion Deuda del CRIM,522872.0
Obras Publicas,Empleados Regulares,1413588.0
Obras Publicas,Empleados Transitorios,898569.0
Obras Publicas,Seguro Social Federal,189293.0
Obras Publicas,Plan Medico,170400.0
Obras Publicas,Bono de Verano,29260.0
Obras Publicas,Bono Navideno,133000.0
Obras Publicas,Herramientas,10000.0
Obras Publicas,Combustible y Lubricantes,450000.0
Obras Publicas,Materiales de Construccion,100000.0
Obras Publicas,Materiales y Suministros de Operacion,20000.0
Obras Publicas,Servicios Profesionales - No Clasificados,60000.0
Obras Publicas,Landscaping o Paisajismo,336000.0
Obras Publicas,Renta de Equipos y Vehiculos,715200.0
Obras Publicas,Mantenimiento de Equipo,150000.0
Obras Publicas,Mantenimiento de Vehiculos,250000.0
Obras Publicas,Mantenimiento de Edificios,100000.0
Obras Publicas,Disposicion de Desperdicios,24000.0
Obras Publicas,Empleados Regulares,131460.0
Obras Publicas,Empleados Transitorios,28296.0
Obras Publicas,Seguro Social Federal,12875.0
Obras Publicas,Plan Medico,12000.0
Obras Publicas,Bono de Verano,1540.0
Obras Publicas,Bono Navideno,7000.0
Salud,Empleados Regulares,606059.0
Salud,Empleados Transitorios,544350.0
Salud,Seguro Social Federal,93793.0
Salud,Plan Medico,67200.0
Salud,Bono de Verano,13640.0
Salud,Bono Navideno,62000.0
Salud,Materiales y Suministros de Operacion,5000.0
Salud,Servicios Profesionales - No Clasificados,2268000.0
Salud,Miscelaneos,15000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,113832.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,598224.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,58486.0
Oficina Municipal Manejo de Emergencias,Plan Medico,12000.0
Oficina Municipal Manejo de Emergencias,Bono de Verano,9460.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,43000.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,30000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,15000.0
Guardia Municipal,Empleados Regulares,1516044.0
Guardia Municipal,Empleados Transitorios,42444.0
Guardia Municipal,Seguro Social Federal,124358.0
Guardia Municipal,Plan Medico,124800.0
Guardia Municipal,Bono de Verano,12100.0
Guardia Municipal,Bono Navideno,55000.0
Guardia Municipal,Mantenimiento de Vehiculos,30000.0
Guardia Municipal,Compra de Uniformes,5000.0
Recursos Humanos,Empleados Regulares,255456.0
Recursos Humanos,Empleados Transitorios,131832.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,125000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,300000.0
Recursos Humanos,Seguro Choferil,8000.0
Recursos Humanos,Seguro Social Federal,63634.0
Recursos Humanos,Plan Medico,21600.0
Recursos Humanos,Seguro por Desempleo,100000.0
Recursos Humanos,Beneficio por Fondo del Seguro del Estado,466634.0
Recursos Humanos,Bono de Verano,3520.0
Recursos Humanos,Bono Navideno,16000.0
Recursos Humanos,Servicios Profesionales - No Clasificados,6000.0
Recursos Humanos,Adiestramientos,8000.0
Recursos Humanos,Pruebas de Dopaje,6000.0
Recreacion y Deportes,Empleados Regulares,602496.0
Recreacion y Deportes,Empleados Transitorios,346709.0
Recreacion y Deportes,Seguro Social Federal,78121.0
Recreacion y Deportes,Plan Medico,74400.0
Recreacion y Deportes,Bono de Verano,12980.0
Recreacion y Deportes,Bono Navideno,59000.0
