departamento,ingreso,monto
Finanzas,Patentes,9485000.0
Finanzas,Impuesto Municipal sobre las Ventas,4220867.0
Finanzas,Otros Ingresos Intergubernamentales,4858534.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),11443975.0
Finanzas,Arbitrios de Construccion,375000.0
Finanzas,Compensacion AEE,1530992.0
Finanzas,Permisos de Uso Parques y Recreos,50000.0
Finanzas,Otros Ingresos por Servicios,1600000.0
Finanzas,Multas,25000.0
Finanzas,Intereses en Inversiones,70000.0
Finanzas,Renta Locales y Propiedad Municipal,310000.0
Finanzas,Otros Ingresos,120000.0
