departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,39192.0
Legislatura Municipal,Empleados Transitorios,15804.0
Legislatura Municipal,Seguro Choferil,15.6
Legislatura Municipal,Seguro Social Federal,4283.69
Legislatura Municipal,Plan Medico,1944.0
Legislatura Municipal,Bono de Verano,500.0
Legislatura Municipal,Bono Navideno,500.0
Legislatura Municipal,Materiales de Oficina,4000.0
Legislatura Municipal,Telefono y Comunicaciones,4000.0
Legislatura Municipal,Equipo de Oficina,8500.0
Legislatura Municipal,Dietas,130000.0
Legislatura Municipal,Gastos de Representacion,1000.0
Legislatura Municipal,Adiestramientos,1000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,3000.0
Legislatura Municipal,Relaciones Publicas,3000.0
Legislatura Municipal,Gastos de Viaje,3000.0
Legislatura Municipal,Servicios Legales,20000.0
Legislatura Municipal,Cuotas y Suscripciones,1500.0
Legislatura Municipal,Renta de Edificios, Locales y Terrenos,8000.0
Legislatura Municipal,Mantenimiento de Equipo,1400.0
Legislatura Municipal,Miscelaneos,1000.0
Legislatura Municipal,Publicaciones y Anuncios,14500.0
Legislatura Municipal,Franqueo,1000.0
Oficina del Alcalde(sa),Empleados Regulares,671652.0
Oficina del Alcalde(sa),Empleados Transitorios,152748.0
Oficina del Alcalde(sa),Empleados Irregulares,32045.0
Oficina del Alcalde(sa),Seguro Choferil,327.6
Oficina del Alcalde(sa),Seguro Social Federal,66531.67
Oficina del Alcalde(sa),Plan Medico,31951.32
Oficina del Alcalde(sa),Bono de Verano,6500.0
Oficina del Alcalde(sa),Bono Navideno,6750.0
Oficina del Alcalde(sa),Gastos de Representacion,2500.0
Finanzas,Empleados Regulares,587196.0
Finanzas,Empleados Transitorios,531444.0
Finanzas,Empleados Irregulares,10972.0
Finanzas,Seguro Choferil,577.2
Finanzas,Seguro Social Federal,88404.32
Finanzas,Plan Medico,78658.32
Finanzas,Bono de Verano,13000.0
Finanzas,Bono Navideno,13000.0
Finanzas,Servicios Profesionales - No Clasificados,225000.0
Finanzas,Renta de Edificios, Locales y Terrenos,275000.0
Finanzas,Miscelaneos,200000.0
Obras Publicas,Empleados Regulares,639156.0
Obras Publicas,Empleados Transitorios,759108.0
Obras Publicas,Empleados Irregulares,1110519.8
Obras Publicas,Seguro Choferil,1934.4
Obras Publicas,Seguro Social Federal,198233.21
Obras Publicas,Plan Medico,107371.02
Obras Publicas,Bono de Verano,39500.0
Obras Publicas,Bono Navideno,43000.0
Obras Publicas,Materiales de Construccion,200000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,200000.0
Obras Publicas,Empleados Regulares,12.0
Obras Publicas,Empleados Irregulares,28275.0
Obras Publicas,Seguro Choferil,15.6
Obras Publicas,Seguro Social Federal,2259.58
Obras Publicas,Bono de Verano,500.0
Obras Publicas,Bono Navideno,750.0
Salud,Empleados Regulares,186504.0
Salud,Empleados Transitorios,1193268.0
Salud,Empleados Irregulares,169650.0
Salud,Seguro Choferil,312.0
Salud,Seguro Social Federal,121093.54
Salud,Plan Medico,96603.86
Salud,Bono de Verano,16500.0
Salud,Bono Navideno,17000.0
Salud,Drogas, Medicinas y Otros Suministros,600000.0
Salud,Servicios Profesionales - No Clasificados,700000.0
Salud,Disposicion de Desperdicios,15000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,15348.0
Oficina Municipal Manejo de Emergencias,Empleados Irregulares,14137.5
Oficina Municipal Manejo de Emergencias,Seguro Choferil,31.2
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,2332.14
Oficina Municipal Manejo de Emergencias,Plan Medico,2034.0
Oficina Municipal Manejo de Emergencias,Bono de Verano,500.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,500.0
Oficina Municipal Manejo de Emergencias,Herramientas,500.0
Oficina Municipal Manejo de Emergencias,Alimentos,500.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,1000.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,500.0
Oficina Municipal Manejo de Emergencias,Festival o Actividad I,500.0
Guardia Municipal,Empleados Regulares,168468.0
Guardia Municipal,Empleados Transitorios,33360.0
Guardia Municipal,Seguro Choferil,171.6
Guardia Municipal,Seguro Social Federal,15822.34
Guardia Municipal,Plan Medico,14316.0
Guardia Municipal,Bono de Verano,2500.0
Guardia Municipal,Bono Navideno,2500.0
Guardia Municipal,Compra de Uniformes,5000.0
Guardia Municipal,Compra de Equipos,500.0
Guardia Municipal,Servicios Profesionales - No Clasificados,20000.0
Guardia Municipal,Festival o Actividad I,500.0
Recursos Humanos,Empleados Regulares,76836.0
Recursos Humanos,Empleados Transitorios,36348.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,75000.0
