departamento,ingreso,monto
Finanzas,PatentesPatentes Anos,6805011.0
Finanzas,AnterioresImpuesto Municipal,0.0
Finanzas,sobre las VentasIntereses, Recargos,4141906.0
Finanzas,y Penalidades Sales Intereses y,50000.0
Finanzas,Recargos por Otros Impuestos,250000.0
Finanzas,LocalesOtros Impuestos,0.0
Finanzas,LocalesArbitrios de,6808.0
Finanzas,Construccion,1149388.0
Finanzas,Licencias y PermisosContribucion sobre,200000.0
Finanzas,Propiedad Contribucion,0.0
Finanzas,Propiedad No,7880856.02
Finanzas,Compensacion AEEOtros Ingresos,773096.99
Finanzas,IntergubernamentaleCompensaciones,1081141.99
Finanzas,Estatales,0.0
Finanzas,Servicios de SaludServicios Medicos,2500000.0
Finanzas,AmbulatoriosPermisos de Uso,350000.0
Finanzas,Parques y RecreosDisposicion,25000.0
Finanzas,DerperdiciosOtros Ingresos por,60000.0
Finanzas,ServiciosOtros Ingresos por,522202.2
Finanzas,ServiciosOtros Ingresos por,35000.0
Finanzas,ServiciosOtros Ingresos por,35000.0
Finanzas,Servicios,45000.0
Finanzas,MultasIntereses en,30000.0
Finanzas,Inversiones,200000.0
Finanzas,Intereses Bancarios,2000.0
Finanzas,Estacionamiento,50000.0
Finanzas,Ingresos EventualesRenta Locales y,50000.0
Finanzas,Propiedad MunicipalRenta Locales y,300000.0
Finanzas,Propiedad MunicipalRenta Locales y,290000.0
Finanzas,Propiedad MunicipalRenta Locales y,50000.0
Finanzas,Propiedad MunicipalRenta Locales y,600000.0
Finanzas,Propiedad MunicipalRenta Locales y,25000.0
Finanzas,Propiedad Municipal,10000.0
Finanzas,Fiestas Patronales,60000.0
Finanzas,Otros Ingresos,100000.0
Finanzas,Otros Ingresos,25000.0
Finanzas,Otros Ingresos,50000.0
Finanzas,Otros Ingresos,200000.0
Finanzas,Comprobantes Contribucion sobre,85000.0
Finanzas,Propiedad,0.0
