departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,61092.0
Legislatura Municipal,Seguro Social Federal,4857.14
Legislatura Municipal,Plan Medico,3600.0
Legislatura Municipal,Bono Navideno,1800.0
Legislatura Municipal,Dietas,57660.0
Legislatura Municipal,Gastos de Representacion,700.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,1000.0
Legislatura Municipal,Servicios Legales,18000.0
Legislatura Municipal,Materiales de Oficina,2000.0
Legislatura Municipal,Telefono y Comunicaciones,1000.0
Legislatura Municipal,Equipo de Oficina,1000.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Relaciones Publicas,500.0
Legislatura Municipal,Cuotas y Suscripciones,100.0
Legislatura Municipal,Mantenimiento de Vehiculos,450.0
Legislatura Municipal,Renta de Equipos y Vehiculos,900.0
Legislatura Municipal,Miscelaneos,843.94
Legislatura Municipal,Publicaciones y Anuncios,500.0
Legislatura Municipal,Franqueo,300.0
Legislatura Municipal,Materiales de Mantenimiento,400.0
Legislatura Municipal,Alimentos,200.0
Legislatura Municipal,Materiales y Suministros de Operacion,200.0
Legislatura Municipal,Compra de Equipos,1000.0
Legislatura Municipal,Gastos de Viaje,200.0
Legislatura Municipal,Bono de Verano,600.0
Oficina del Alcalde(sa),Empleados Regulares,102648.0
Oficina del Alcalde(sa),Seguro Social Federal,7974.97
Oficina del Alcalde(sa),Plan Medico,3600.0
Oficina del Alcalde(sa),Bono Navideno,1200.0
Oficina del Alcalde(sa),Bono de Verano,400.0
Oficina del Alcalde(sa),Gastos de Representacion,2500.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,100800.0
Oficina del Alcalde(sa),Servicios No Profesionales,50200.0
Oficina del Alcalde(sa),Servicios Legales,50000.0
Oficina del Alcalde(sa),Donaciones,10000.0
Oficina del Alcalde(sa),Relaciones Publicas,1000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,1000.0
Oficina del Alcalde(sa),Miscelaneos,25000.0
Oficina del Alcalde(sa),Becas,5000.0
Finanzas,Empleados Regulares,349998.0
Finanzas,Seguro Choferil,1500.0
Finanzas,Seguro Social Federal,27937.65
Finanzas,Plan Medico,20600.0
Finanzas,Seguro por Desempleo,50000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,157068.24
Finanzas,Bono de Verano,3800.0
Finanzas,Bono Navideno,11400.0
Finanzas,Energia Electrica,145205.34
Finanzas,Acueducto y Alcantarillados,70800.0
Finanzas,Telefono y Comunicaciones,30000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),18000.0
Finanzas,Servicios Profesionales - No Clasificados,120324.0
Finanzas,Gastos de Viaje,8000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Renta de Equipos y Vehiculos,30000.0
Finanzas,Miscelaneos,18479.03
Finanzas,Pago de Sentencias y Reclamaciones,5000.0
Finanzas,Liquidacion Deuda del CRIM,5000.0
Finanzas,Aportacion al Fondo de Equiparacion,721884.77
Finanzas,Liquidacion Deuda del CRIM,63279.6
Finanzas,Seguros,280860.0
Finanzas,Deficit,50000.0
Finanzas,Cargos por Servicios Bancarios,26400.0
Obras Publicas,Empleados Regulares,1106484.0
Obras Publicas,Empleados Transitorios,8448.0
Obras Publicas,Seguro Social Federal,90065.9
Obras Publicas,Plan Medico,43200.0
Obras Publicas,Bono de Verano,15600.0
Obras Publicas,Bono Navideno,46800.0
Obras Publicas,Herramientas,1000.0
Obras Publicas,Combustible y Lubricantes,186208.96
Obras Publicas,Mantenimiento de Vehiculos,75000.0
Obras Publicas,Materiales de Mantenimiento,1000.0
Obras Publicas,Mantenimiento de Equipo,1000.0
Obras Publicas,Mantenimiento de Edificios,51000.0
Obras Publicas,Compra de Equipos,8000.0
Obras Publicas,Disposicion de Desperdicios,345554.0
Obras Publicas,Herramientas,1000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,208104.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,127236.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,26999.91
Oficina Municipal Manejo de Emergencias,Plan Medico,12000.0
Oficina Municipal Manejo de Emergencias,Bono de Verano,4400.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,13200.0
Oficina Municipal Manejo de Emergencias,Herramientas,1000.0
Oficina Municipal Manejo de Emergencias,Alimentos,1000.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,1000.0
Obras Publicas,Materiales y Suministros de Operacion,9000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,750.0
Guardia Municipal,Empleados Regulares,510672.0
Guardia Municipal,Compra de Equipos,10000.0
Guardia Municipal,Seguro Social Federal,40596.41
Guardia Municipal,Plan Medico,28800.0
Guardia Municipal,Bono de Verano,5000.0
Guardia Municipal,Bono Navideno,15000.0
Guardia Municipal,Compra de Uniformes,3000.0
Guardia Municipal,Miscelaneos,1000.0
Recursos Humanos,Empleados Regulares,138120.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,20000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,5000.0
Recursos Humanos,Seguro Social Federal,12845.88
Recursos Humanos,Plan Medico,7200.0
Recursos Humanos,Bono de Verano,1200.0
Recursos Humanos,Bono Navideno,3600.0
Recursos Humanos,Adiestramientos,2000.0
Recursos Humanos,Pruebas de Dopaje,5000.0
Centro de Envejecientes,Empleados Regulares,234948.0
Centro de Envejecientes,Empleados Transitorios,15660.0
Centro de Envejecientes,Seguro Social Federal,20150.71
Centro de Envejecientes,Plan Medico,10800.0
Centro de Envejecientes,Bono de Verano,3200.0
Centro de Envejecientes,Bono Navideno,9600.0
Centro de Envejecientes,Miscelaneos,10000.0
Relaciones Publicas,Empleados Regulares,38592.0
Relaciones Publicas,Seguro Social Federal,3074.69
Relaciones Publicas,Plan Medico,1200.0
Relaciones Publicas,Bono Navideno,1200.0
Relaciones Publicas,Bono de Verano,400.0
Relaciones Publicas,Festival o Actividad I,35000.0
Relaciones Publicas,Festival o Actividad II,2500.0
Relaciones Publicas,Festival o Actividad III,2500.0
Relaciones Publicas,Publicaciones y Anuncios,2500.0
Relaciones Publicas,Miscelaneos,4000.0
Aportaciones Federales,Empleados Regulares,190764.0
Aportaciones Federales,Seguro Social Federal,15205.45
Aportaciones Federales,Plan Medico,9600.0
Aportaciones Federales,Bono de Verano,2000.0
Aportaciones Federales,Bono Navideno,6000.0
Secretaria Municipal,Empleados Regulares,301932.0
Secretaria Municipal,Empleados Transitorios,13956.0
Secretaria Municipal,Seguro Social Federal,25389.43
Secretaria Municipal,Plan Medico,10800.0
Secretaria Municipal,Bono de Verano,4000.0
Secretaria Municipal,Bono Navideno,12000.0
Secretaria Municipal,Publicaciones y Anuncios,4000.0
Secretaria Municipal,Materiales de Oficina,8000.0
Secretaria Municipal,Materiales de Mantenimiento,6000.0
Secretaria Municipal,Mantenimiento de Equipo,3500.0
Secretaria Municipal,Compra de Equipos,9000.0
Secretaria Municipal,Franqueo,2000.0
Auditoria Interna,Empleados Regulares,43104.0
Auditoria Interna,Seguro Social Federal,3419.86
Auditoria Interna,Plan Medico,2400.0
Auditoria Interna,Bono de Verano,400.0
Auditoria Interna,Bono Navideno,1200.0
Asuntos de la Juventud,Empleados Regulares,236640.0
Asuntos de la Juventud,Seguro Social Federal,19020.96
Asuntos de la Juventud,Plan Medico,13200.0
Asuntos de la Juventud,Bono de Verano,3000.0
Asuntos de la Juventud,Bono Navideno,9000.0
Asuntos de la Juventud,Miscelaneos,10000.0
