departamento,ingreso,monto
Finanzas,Patentes,388337.75
Finanzas,Impuesto Municipal sobre las Ventas,1188344.0
Finanzas,Otros Impuestos Locales,0.0
Finanzas,Arbitrios de Construccion,301747.0
Finanzas,Licencias y Permisos,4377.0
Finanzas,Compensacion AEE,157500.09
Finanzas,Otros Ingresos Intergubernamentales,3610873.0
Finanzas,Multas,3642.75
Finanzas,Intereses en Inversiones,0.0
Finanzas,Renta Locales y Propiedad Municipal,56853.0
Finanzas,Otros Ingresos,559381.61
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1296540.0
Finanzas,Intereses y Recargos por Demoras en Patentes,78105.87
