departamento,ingreso,monto
Finanzas,Patentes,417024.0
Finanzas,Impuesto Municipal sobre las Ventas,221663.0
Finanzas,Intereses y Recargos por Demoras en Patentes,4592.35
Finanzas,Arbitrios de Construccion,440620.0
Finanzas,Licencias y Permisos,300.0
Finanzas,Compensacion AEE,256066.96
Finanzas,Otros Ingresos Intergubernamentales,4069951.0
Finanzas,Disposicion Derperdicios,8500.0
Finanzas,Otros Ingresos por Servicios,10000.0
Finanzas,Multas,5000.0
Finanzas,Intereses en Inversiones,0.0
Finanzas,Intereses Bancarios,0.0
Finanzas,Ingresos Eventuales,1035000.0
Finanzas,Renta Locales y Propiedad Municipal,125790.0
Finanzas,Otros Ingresos,50000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),923671.0
Finanzas,Otros Intereses,10000.0
