departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,87108.0
Legislatura Municipal,Seguro Social Federal,6664.0
Legislatura Municipal,Plan Medico,3600.0
Legislatura Municipal,Materiales de Oficina,1000.0
Legislatura Municipal,Materiales y Suministros de Operacion,500.0
Legislatura Municipal,Compra de Equipos,1000.0
Legislatura Municipal,Dietas,70500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,37500.0
Legislatura Municipal,Relaciones Publicas,1000.0
Legislatura Municipal,Seguros,10000.0
Legislatura Municipal,Cuotas y Suscripciones,3100.0
Legislatura Municipal,Mantenimiento de Equipo,500.0
Legislatura Municipal,Publicaciones y Anuncios,3000.0
Oficina del Alcalde(sa),Empleados Regulares,303336.0
Oficina del Alcalde(sa),Empleados Transitorios,18840.0
Oficina del Alcalde(sa),Seguro Social Federal,24646.0
Oficina del Alcalde(sa),Plan Medico,12000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,284298.0
Oficina del Alcalde(sa),Servicios Legales,155000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,8500.0
Oficina del Alcalde(sa),Donaciones,108000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,650.0
Oficina del Alcalde(sa),Franqueo,7000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,5000.0
Oficina del Alcalde(sa),Empleados Regulares,53376.0
Oficina del Alcalde(sa),Seguro Social Federal,4083.0
Oficina del Alcalde(sa),Plan Medico,1200.0
Oficina del Alcalde(sa),Empleados Regulares,92748.0
Oficina del Alcalde(sa),Empleados Transitorios,49032.0
Oficina del Alcalde(sa),Seguro Social Federal,10846.0
Oficina del Alcalde(sa),Plan Medico,6000.0
Finanzas,Empleados Regulares,297000.0
Finanzas,Empleados Transitorios,52176.0
Finanzas,Seguro Social Federal,26712.0
Finanzas,Plan Medico,18000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,414595.13
Finanzas,Energia Electrica,399397.0
Finanzas,Acueducto y Alcantarillados,276000.0
Finanzas,Telefono y Comunicaciones,92900.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),36830.0
Finanzas,Servicios Profesionales - No Clasificados,5500.0
Finanzas,Gastos de Viaje,8000.0
Finanzas,Canon Excavaciones y Demoliciones,8000.0
Finanzas,Inspeccion de Edificios y Construcciones,4000.0
Finanzas,Seguros,1054859.6
Finanzas,Renta de Edificios, Locales y Terrenos,168056.89
Finanzas,Deficit,221417.4
Finanzas,Miscelaneos,100000.0
Finanzas,Reserva,244977.55
Finanzas,Aportacion al Fondo de Equiparacion,1485909.83
Finanzas,Aportacion al CRIM,234732.83
Finanzas,Transferencias que Salen,220201.22
Finanzas,Empleados Regulares,144528.0
Finanzas,Seguro Social Federal,11056.0
Finanzas,Plan Medico,7200.0
Finanzas,Materiales de Oficina,20000.0
Finanzas,Materiales de Mantenimiento,15000.0
Finanzas,Materiales y Suministros de Operacion,45000.0
Obras Publicas,Empleados Regulares,325944.0
Obras Publicas,Empleados Transitorios,73152.0
Obras Publicas,Seguro Social Federal,30531.0
Obras Publicas,Plan Medico,26400.0
Obras Publicas,Materiales y Suministros de Operacion,8500.0
Obras Publicas,Servicios Profesionales - No Clasificados,17071.0
Obras Publicas,Renta de Equipos y Vehiculos,8000.0
Obras Publicas,Mantenimiento de Equipo,121918.0
Obras Publicas,Mantenimiento de Edificios,10370.5
Obras Publicas,Empleados Regulares,73248.0
Obras Publicas,Empleados Transitorios,59556.0
Obras Publicas,Seguro Social Federal,10160.0
Obras Publicas,Plan Medico,9600.0
Obras Publicas,Combustible y Lubricantes,200000.0
Obras Publicas,Seguros,10000.0
Obras Publicas,Mantenimiento de Vehiculos,125000.0
Obras Publicas,Miscelaneos,5100.0
Obras Publicas,Empleados Regulares,253284.0
Obras Publicas,Empleados Transitorios,72720.0
Obras Publicas,Seguro Social Federal,24939.0
Obras Publicas,Plan Medico,26400.0
Obras Publicas,Disposicion de Desperdicios,1483816.71
Obras Publicas,Empleados Regulares,152052.0
Obras Publicas,Empleados Transitorios,145440.0
Obras Publicas,Seguro Social Federal,22758.0
Obras Publicas,Plan Medico,21600.0
Obras Publicas,Materiales de Construccion,80000.0
Obras Publicas,Empleados Regulares,105504.0
Obras Publicas,Seguro Social Federal,8071.0
Obras Publicas,Plan Medico,7200.0
Salud,Empleados Regulares,60036.0
Salud,Empleados Transitorios,14544.0
Salud,Seguro Social Federal,5705.0
Salud,Plan Medico,4800.0
Salud,Empleados Regulares,55236.0
Salud,Seguro Social Federal,4226.0
Salud,Plan Medico,2400.0
Guardia Municipal,Empleados Regulares,276972.0
Guardia Municipal,Empleados Transitorios,20616.0
Guardia Municipal,Seguro Social Federal,22765.0
Guardia Municipal,Plan Medico,13200.0
Guardia Municipal,Empleados Regulares,50772.0
Guardia Municipal,Empleados Transitorios,14964.0
Guardia Municipal,Seguro Social Federal,5029.0
Guardia Municipal,Plan Medico,4800.0
Recursos Humanos,Empleados Regulares,240336.0
Recursos Humanos,Empleados Transitorios,47952.0
Recursos Humanos,Empleados Irregulares,339276.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,100000.0
Recursos Humanos,Renuncias Voluntarias Incentivadas,47545.05
Recursos Humanos,Seguro Choferil,4000.0
Recursos Humanos,Seguro Social Federal,74784.0
Recursos Humanos,Plan Medico,14400.0
Recursos Humanos,Seguro por Desempleo,100000.0
Recursos Humanos,Bono Navideno,200000.0
Recursos Humanos,Tiempo Compensatorio Estatal,50000.0
Recursos Humanos,Adiestramientos,2550.0
Recursos Humanos,Servicios Profesionales - No Clasificados,12600.0
Recursos Humanos,Pruebas de Dopaje,6000.0
Recursos Humanos,Seguros,5500.0
Recreacion y Deportes,Empleados Regulares,142680.0
Recreacion y Deportes,Empleados Transitorios,213456.0
Recreacion y Deportes,Seguro Social Federal,27244.0
Recreacion y Deportes,Plan Medico,26400.0
Recreacion y Deportes,Materiales y Suministros de Operacion,3000.0
Recreacion y Deportes,Compra de Equipos,2000.0
Recreacion y Deportes,Servicios Profesionales - No Clasificados,152942.64
Recreacion y Deportes,Miscelaneos,5000.0
Recreacion y Deportes,Empleados Regulares,166200.0
Recreacion y Deportes,Seguro Social Federal,12714.0
Recreacion y Deportes,Plan Medico,13200.0
Recreacion y Deportes,Servicios Profesionales - No Clasificados,45480.0
Recreacion y Deportes,Reparacion y Mantenimiento de Estructuras,12750.0
Recreacion y Deportes,Mantenimiento de Edificios,30000.0
Cultura y Turismo,Empleados Regulares,38040.0
Cultura y Turismo,Seguro Social Federal,2910.0
Cultura y Turismo,Plan Medico,2400.0
Cultura y Turismo,Empleados Regulares,183684.0
Cultura y Turismo,Empleados Transitorios,29088.0
Cultura y Turismo,Seguro Social Federal,16277.0
Cultura y Turismo,Plan Medico,14400.0
Cultura y Turismo,Materiales y Suministros de Operacion,10000.0
Cultura y Turismo,Empleados Regulares,86460.0
Cultura y Turismo,Empleados Transitorios,48348.0
Cultura y Turismo,Seguro Social Federal,10313.0
Cultura y Turismo,Plan Medico,8400.0
Cultura y Turismo,Materiales y Suministros de Operacion,15000.0
Cultura y Turismo,Servicios Profesionales - No Clasificados,128710.4
Cultura y Turismo,Renta de Edificios, Locales y Terrenos,22428.24
Cultura y Turismo,Publicaciones y Anuncios,10000.0
