departamento,ingreso,monto
Finanzas,Patentes,3100000.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Arbitrios de Construccion,125000.0
Finanzas,Licencias y Permisos,15000.0
Finanzas,Compensacion AEE,399397.0
Finanzas,Otros Ingresos Intergubernamentales,2486907.47
Finanzas,Servicios de Salud,0.0
Finanzas,Otros Ingresos por Servicios,0.0
Finanzas,Multas,15000.0
Finanzas,Intereses Bancarios,10000.0
Finanzas,Renta Locales y Propiedad Municipal,61100.0
Finanzas,Otros Ingresos,50000.0
Finanzas,Otros Recursos Financieros,20000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),4893827.52
Finanzas,Transferencias que Entran,3950000.0
