departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,35520.0
Legislatura Municipal,Seguro Choferil,16.0
Legislatura Municipal,Seguro Social Federal,2755.53
Legislatura Municipal,Plan Medico,4080.0
Legislatura Municipal,Bono Navideno,500.0
Legislatura Municipal,Materiales de Oficina,1500.0
Legislatura Municipal,Materiales de Mantenimiento,500.0
Legislatura Municipal,Combustible y Lubricantes,1000.0
Legislatura Municipal,Equipo de Oficina,1000.0
Legislatura Municipal,Dietas,39450.0
Legislatura Municipal,Servicios Legales,14400.0
Legislatura Municipal,Costos de Construccion,8000.0
Legislatura Municipal,Cuotas y Suscripciones,2400.0
Legislatura Municipal,Mantenimiento de Equipo,3300.0
Legislatura Municipal,Mantenimiento de Vehiculos,1000.0
Legislatura Municipal,Miscelaneos,5000.0
Legislatura Municipal,Publicaciones y Anuncios,3000.0
Legislatura Municipal,Franqueo,200.0
Oficina del Alcalde(sa),Empleados Regulares,203124.0
Oficina del Alcalde(sa),Seguro Choferil,96.0
Oficina del Alcalde(sa),Seguro Social Federal,15634.61
Oficina del Alcalde(sa),Plan Medico,12240.0
Oficina del Alcalde(sa),Bono Navideno,1250.0
Oficina del Alcalde(sa),Donaciones,30000.0
Oficina del Alcalde(sa),Materiales de Oficina,700.0
Oficina del Alcalde(sa),Compra de Equipos,500.0
Oficina del Alcalde(sa),Relaciones Publicas,1250.0
Oficina del Alcalde(sa),Gastos de Viaje,15000.0
Oficina del Alcalde(sa),Servicios Legales,29000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,8000.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,4200.0
Oficina del Alcalde(sa),Mantenimiento de Vehiculos,3500.0
Oficina del Alcalde(sa),Miscelaneos,2000.0
Oficina del Alcalde(sa),Franqueo,7412.51
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,9600.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,30000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,2412.0
Finanzas,Empleados Regulares,270975.36
Finanzas,Vacaciones Acumuladas, Licencia Regular,10000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,10000.0
Finanzas,Seguro Choferil,80.0
Finanzas,Seguro Social Federal,22909.87
Finanzas,Plan Medico,31450.0
Finanzas,Bono Navideno,8500.0
Finanzas,Seguro por Desempleo,90500.0
Finanzas,Beneficio por Fondo del Seguro del Estado,188291.69
Finanzas,Materiales de Oficina,5000.0
Finanzas,Materiales de Mantenimiento,400.0
Finanzas,Energia Electrica,478327.24
Finanzas,Acueducto y Alcantarillados,515326.73
Finanzas,Telefono y Comunicaciones,130000.0
Finanzas,Equipo de Oficina,1500.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),21995.0
Finanzas,Servicios Profesionales - No Clasificados,33680.0
Finanzas,Seguros,498411.0
Finanzas,Aportacion al Fondo de Equiparacion,845824.82
Finanzas,Intereses Cuentas Vendidas,23503.7
Finanzas,Mantenimiento de Equipo,150000.0
Finanzas,Mantenimiento de Vehiculos,5000.0
Finanzas,Miscelaneos,10000.0
Finanzas,Aportacion al CRIM,112280.35
Finanzas,Liquidacion Deuda del CRIM,80792.98
Finanzas,Transferencias que Salen,702049.64
Finanzas,Gastos Anos Anteriores,1000.0
Compras y Suministros,Empleados Regulares,100338.72
Compras y Suministros,Seguro Social Federal,7790.66
Compras y Suministros,Plan Medico,12240.0
Compras y Suministros,Bono Navideno,1500.0
Compras y Suministros,Materiales de Oficina,1000.0
Compras y Suministros,Mantenimiento de Equipo,5100.0
Compras y Suministros,Mantenimiento de Vehiculos,1000.0
Aportaciones Federales,Empleados Regulares,77869.68
Aportaciones Federales,Seguro Choferil,16.0
Aportaciones Federales,Seguro Social Federal,6033.53
Aportaciones Federales,Plan Medico,8160.0
Aportaciones Federales,Bono Navideno,1000.0
Aportaciones Federales,Mantenimiento de Equipo,500.0
Aportaciones Federales,Mantenimiento de Vehiculos,300.0
Obras Publicas,Empleados Regulares,769327.68
Obras Publicas,Empleados Transitorios,489789.6
Obras Publicas,Seguro Choferil,368.0
Obras Publicas,Seguro Social Federal,98005.47
Obras Publicas,Plan Medico,95880.0
Obras Publicas,Bono Navideno,22000.0
Obras Publicas,Materiales de Oficina,1000.0
Obras Publicas,Herramientas,1000.0
Obras Publicas,Materiales de Mantenimiento,6000.0
Obras Publicas,Combustible y Lubricantes,180000.0
Obras Publicas,Materiales de Construccion,30000.0
Obras Publicas,Materiales y Suministros de Operacion,15000.0
Obras Publicas,Compra de Equipos,1000.0
Obras Publicas,Servicios Profesionales - No Clasificados,80800.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Renta de Equipos y Vehiculos,300.0
Obras Publicas,Mantenimiento de Equipo,2400.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,50000.0
Obras Publicas,Mantenimiento de Vehiculos,100000.0
Obras Publicas,Mantenimiento de Vehiculos,10000.0
Obras Publicas,Miscelaneos,4093.5
Obras Publicas,Disposicion de Desperdicios,1520640.0
Obras Publicas,Servicios No Profesionales,220000.0
Obras Publicas,Mantenimiento de Vehiculos,20000.0
Obras Publicas,Mantenimiento de Vehiculos,10000.0
Recreacion y Deportes,Empleados Regulares,198481.44
Recreacion y Deportes,Seguro Choferil,96.0
Recreacion y Deportes,Seguro Social Federal,15413.33
Recreacion y Deportes,Plan Medico,24480.0
Recreacion y Deportes,Bono Navideno,3000.0
Recreacion y Deportes,Materiales de Oficina,500.0
Recreacion y Deportes,Materiales de Mantenimiento,3000.0
Recreacion y Deportes,Materiales de Construccion,5000.0
Recreacion y Deportes,Materiales y Suministros de Operacion,4000.0
Recreacion y Deportes,Compra de Equipos,5000.0
Recreacion y Deportes,Donaciones,75000.0
Recreacion y Deportes,Mantenimiento de Equipo,3000.0
Recreacion y Deportes,Reparacion y Mantenimiento de Estructuras,5000.0
Recreacion y Deportes,Mantenimiento de Vehiculos,5000.0
Recreacion y Deportes,Miscelaneos,1000.0
Recreacion y Deportes,Otros Festivales o Actividades,30000.0
Guardia Municipal,Empleados Regulares,345782.36
Guardia Municipal,Seguro Choferil,240.0
Guardia Municipal,Seguro Social Federal,26777.48
Guardia Municipal,Plan Medico,34510.0
Guardia Municipal,Bono Navideno,4250.0
Guardia Municipal,Materiales de Oficina,500.0
Guardia Municipal,Compra de Uniformes,700.0
Guardia Municipal,Materiales y Suministros de Operacion,2500.0
Guardia Municipal,Compra de Equipos,500.0
Guardia Municipal,Mantenimiento de Equipo,3000.0
Guardia Municipal,Mantenimiento de Vehiculos,20000.0
Guardia Municipal,Miscelaneos,400.0
Reciclaje,Empleados Regulares,48276.0
Reciclaje,Seguro Choferil,48.0
Reciclaje,Seguro Social Federal,3750.49
Reciclaje,Plan Medico,6120.0
Reciclaje,Bono Navideno,750.0
Reciclaje,Materiales de Oficina,200.0
Reciclaje,Materiales de Mantenimiento,350.0
Reciclaje,Materiales y Suministros de Operacion,300.0
Reciclaje,Compra de Equipos,500.0
Reciclaje,Relaciones Publicas,100.0
Reciclaje,Miscelaneos,100.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,64104.15
Oficina Municipal Manejo de Emergencias,Seguro Choferil,32.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,4980.47
Oficina Municipal Manejo de Emergencias,Plan Medico,7905.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,1000.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,250.0
Oficina Municipal Manejo de Emergencias,Herramientas,500.0
Oficina Municipal Manejo de Emergencias,Materiales de Mantenimiento,500.0
Oficina Municipal Manejo de Emergencias,Alimentos,900.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,400.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,1300.0
Oficina Municipal Manejo de Emergencias,Equipo de Oficina,300.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,3600.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,4500.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,450.0
Recursos Humanos,Empleados Regulares,100803.36
