departamento,ingreso,monto
Finanzas,Patentes,1248710.0
Finanzas,Impuesto Municipal sobre las Ventas,695932.0
Finanzas,Intereses y Recargos por Demoras en Patentes,25000.0
Finanzas,Arbitrios de Construccion,240952.0
Finanzas,Licencias y Permisos,7328.29
Finanzas,Compensacion AEE,478327.24
Finanzas,Otros Ingresos Intergubernamentales,4178083.68
Finanzas,Otros Ingresos por Servicios,12500.0
Finanzas,Ingresos por Servicios Transportacion,437895.3
Finanzas,Multas,6093.0
Finanzas,Intereses Bancarios,49003.36
Finanzas,Ingresos Eventuales,75000.0
Finanzas,Renta Locales y Propiedad Municipal,160851.12
Finanzas,Fiestas Patronales,50000.0
Finanzas,Otros Ingresos,331962.2
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),2382971.24
Finanzas,Otros Recursos Financieros,1336677.0
