departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,59736.0
Legislatura Municipal,Seguro Social Federal,4571.0
Legislatura Municipal,Plan Medico,2400.0
Legislatura Municipal,Materiales de Oficina,4000.0
Legislatura Municipal,Materiales de Mantenimiento,500.0
Legislatura Municipal,Compra de Equipos,500.0
Legislatura Municipal,Dietas,25000.0
Legislatura Municipal,Adiestramientos,300.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,12000.0
Legislatura Municipal,Cuotas y Suscripciones,2800.0
Legislatura Municipal,Renta de Equipos y Vehiculos,2100.0
Legislatura Municipal,Mantenimiento de Equipo,500.0
Legislatura Municipal,Miscelaneos,1000.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Legislatura Municipal,Franqueo,100.0
Legislatura Municipal,Relaciones Publicas,3000.0
Oficina del Alcalde(sa),Empleados Regulares,183072.0
Oficina del Alcalde(sa),Seguro Social Federal,14009.0
Oficina del Alcalde(sa),Plan Medico,7200.0
Oficina del Alcalde(sa),Gastos de Representacion,10000.0
Oficina del Alcalde(sa),Gastos de Viaje,9000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,8500.0
Finanzas,Empleados Regulares,227256.0
Finanzas,Seguro Social Federal,17391.0
Finanzas,Plan Medico,14400.0
Finanzas,Materiales de Oficina,35000.0
Finanzas,Materiales de Mantenimiento,15000.0
Finanzas,Compra de Uniformes,25000.0
Finanzas,Energia Electrica,612606.0
Finanzas,Acueducto y Alcantarillados,360000.0
Finanzas,Telefono y Comunicaciones,70000.0
Finanzas,Equipo de Oficina,20000.0
Finanzas,Compra de Equipos,16000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),23660.0
Finanzas,Servicios Profesionales - No Clasificados,138000.0
Finanzas,Cargos por Servicios Bancarios,8500.0
Finanzas,Seguros,460000.0
Finanzas,Renta de Edificios, Locales y Terrenos,23200.0
Finanzas,Renta de Equipos y Vehiculos,20000.0
Finanzas,Intereses Cuentas Vendidas,4510.0
Finanzas,Mantenimiento de Equipo,18000.0
Finanzas,Mantenimiento de Edificios,10000.0
Finanzas,Miscelaneos,10858.0
Finanzas,Franqueo,8000.0
Finanzas,Pago de Sentencias y Reclamaciones,5000.0
Finanzas,Aportacion al Fondo de Equiparacion,846229.0
Finanzas,Aportacion al CRIM,34776.0
Finanzas,Liquidacion Deuda del CRIM,56605.0
Finanzas,Transferencias que Salen,61525.0
Obras Publicas,Empleados Regulares,393180.0
Obras Publicas,Seguro Choferil,930.0
Obras Publicas,Seguro Social Federal,30083.0
Obras Publicas,Plan Medico,27600.0
Obras Publicas,Combustible y Lubricantes,225000.0
Obras Publicas,Materiales de Construccion,80000.0
Obras Publicas,Materiales y Suministros de Operacion,50000.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Mantenimiento de Equipo,10000.0
Obras Publicas,Mantenimiento de Vehiculos,225000.0
Obras Publicas,Disposicion de Desperdicios,360000.0
Obras Publicas,Empleados Regulares,31368.0
Obras Publicas,Seguro Social Federal,2400.0
Obras Publicas,Plan Medico,2400.0
Obras Publicas,Materiales y Suministros de Operacion,20000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,27504.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,2105.0
Oficina Municipal Manejo de Emergencias,Plan Medico,1200.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,1500.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,1000.0
Oficina Municipal Manejo de Emergencias,Renta de Equipos y Vehiculos,500.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,1500.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,1500.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,4000.0
Guardia Municipal,Empleados Regulares,197460.0
Guardia Municipal,Seguro Social Federal,15112.0
Guardia Municipal,Plan Medico,12000.0
Guardia Municipal,Compra de Uniformes,2000.0
Guardia Municipal,Servicios Profesionales - No Clasificados,72000.0
Recursos Humanos,Empleados Regulares,102720.0
