departamento,ingreso,monto
Finanzas,Patentes,340748.0
Finanzas,Impuesto Municipal sobre las Ventas,367528.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,0.0
Finanzas,Fondo Desarrollo Municipal,350000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,6000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,0.0
Finanzas,Arbitrios de Construccion,25724.0
Finanzas,Licencias y Permisos,5965.0
Finanzas,Compensacion AEE,612606.0
Finanzas,Otros Ingresos Intergubernamentales,6092095.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Permisos de Uso Parques y Recreos,1000.0
Finanzas,Multas,0.0
Finanzas,Intereses en Inversiones,16008.0
Finanzas,Ingresos Eventuales,30000.0
Finanzas,Renta Locales y Propiedad Municipal,233470.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),741990.0
Finanzas,Otros IngresosTransferencias que,15000.0
Finanzas,Entran,1000000.0
