departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,80016.0
Legislatura Municipal,Seguro Social Federal,6235.97
Legislatura Municipal,Plan Medico,3600.0
Legislatura Municipal,Bono Navideno,1500.0
Legislatura Municipal,Materiales de Oficina,400.0
Legislatura Municipal,Equipo de Oficina,400.0
Legislatura Municipal,Vehiculos Municipales,39500.0
Legislatura Municipal,Dietas,35000.0
Legislatura Municipal,Gastos de Representacion,600.0
Legislatura Municipal,Adiestramientos,300.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,300.0
Legislatura Municipal,Gastos de Viaje,500.0
Legislatura Municipal,Servicios Legales,24000.0
Legislatura Municipal,Cuotas y Suscripciones,3000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,5650.0
Legislatura Municipal,Mantenimiento de Vehiculos,500.0
Legislatura Municipal,Miscelaneos,1000.0
Legislatura Municipal,Publicaciones y Anuncios,1000.0
Oficina del Alcalde(sa),Empleados Regulares,373308.0
Oficina del Alcalde(sa),Seguro Social Federal,28902.31
Oficina del Alcalde(sa),Plan Medico,6000.0
Oficina del Alcalde(sa),Bono Navideno,4500.0
Oficina del Alcalde(sa),Gastos de Viaje,8000.0
Oficina del Alcalde(sa),Servicios Legales,70000.0
Oficina del Alcalde(sa),Servicios de Ingenieria y Arquitectura,90000.0
Oficina del Alcalde(sa),Miscelaneos,10000.0
Oficina del Alcalde(sa),Empleados Regulares,68820.0
Oficina del Alcalde(sa),Seguro Social Federal,5379.48
Oficina del Alcalde(sa),Plan Medico,1200.0
Oficina del Alcalde(sa),Bono Navideno,1500.0
Oficina del Alcalde(sa),Drogas, Medicinas y Otros Suministros,5000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,25000.0
Oficina del Alcalde(sa),Donaciones,20000.0
Oficina del Alcalde(sa),Miscelaneos,1000.0
Oficina del Alcalde(sa),Empleados Regulares,17496.0
Oficina del Alcalde(sa),Seguro Social Federal,1376.69
Oficina del Alcalde(sa),Bono Navideno,500.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,1500.0
Oficina del Alcalde(sa),Miscelaneos,1000.0
Finanzas,Empleados Regulares,456252.0
Finanzas,Seguro Social Federal,35744.78
Finanzas,Plan Medico,13200.0
Finanzas,Bono Navideno,11000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,223562.69
Finanzas,Materiales de Oficina,16000.0
Finanzas,Compra de Equipos,10000.0
Finanzas,Dietas,2500.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),17500.0
Finanzas,Seguros,400000.0
Finanzas,Publicaciones y Anuncios,8000.0
Finanzas,Empleados Transitorios,1076058.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,153034.78
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,106167.44
Finanzas,Seguro Choferil,2500.0
Finanzas,Seguro Social Federal,105398.66
Finanzas,Seguro por Desempleo,20000.0
Finanzas,Bono Navideno,32500.0
Finanzas,Tiempo Compensatorio Estatal,5000.0
Finanzas,Tiempo Compensatorio Federal,5000.0
Finanzas,Materiales de Mantenimiento,5000.0
Finanzas,Energia Electrica,369583.45
Finanzas,Acueducto y Alcantarillados,150000.0
Finanzas,Telefono y Comunicaciones,65000.0
Finanzas,Equipo de Oficina,2000.0
Finanzas,Compra de Terrenos,420000.0
Finanzas,Servicios Profesionales - No Clasificados,315000.0
Finanzas,Servicios No Profesionales,110000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Cargos por Servicios Bancarios,7000.0
Finanzas,Cuotas y Suscripciones,8000.0
Finanzas,Donaciones,10000.0
Finanzas,Renta de Edificios, Locales y Terrenos,50000.0
Finanzas,Renta de Equipos y Vehiculos,55000.0
Finanzas,Intereses Cuentas Vendidas,15774.4
Finanzas,Miscelaneos,24395.66
Finanzas,Pago de Sentencias y Reclamaciones,192000.0
Finanzas,Aportacion al Fondo de Equiparacion,823754.76
Finanzas,Aportacion al CRIM,86077.73
Finanzas,Liquidacion Deuda del CRIM,83585.77
Finanzas,Transferencias que Salen,99999.99
Obras Publicas,Empleados Regulares,569016.0
Obras Publicas,Seguro Social Federal,44677.22
Obras Publicas,Plan Medico,19200.0
Obras Publicas,Bono Navideno,15000.0
Obras Publicas,Herramientas,3000.0
Obras Publicas,Combustible y Lubricantes,156000.0
Obras Publicas,Materiales de Construccion,90000.0
Obras Publicas,Materiales y Suministros de Operacion,62000.0
Obras Publicas,Costos de Construccion,175000.0
Obras Publicas,Landscaping o Paisajismo,4000.0
Obras Publicas,Renta de Equipos y Vehiculos,20000.0
Obras Publicas,Mantenimiento de Equipo,3000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,341226.34
Obras Publicas,Mantenimiento de Vehiculos,160000.0
Obras Publicas,Mantenimiento de Edificios,10000.0
Obras Publicas,Miscelaneos,5000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,106452.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,8334.83
Oficina Municipal Manejo de Emergencias,Plan Medico,6000.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,2500.0
Oficina Municipal Manejo de Emergencias,Drogas, Medicinas y Otros Suministros,7000.0
Oficina Municipal Manejo de Emergencias,Renta de Edificios, Locales y Terrenos,1000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,2800.0
Guardia Municipal,Empleados Regulares,286044.0
Guardia Municipal,Seguro Social Federal,22456.12
Guardia Municipal,Plan Medico,12000.0
Guardia Municipal,Bono Navideno,7500.0
Guardia Municipal,Miscelaneos,2720.0
Recursos Humanos,Empleados Regulares,105072.0
Recursos Humanos,Seguro Social Federal,8191.01
Recursos Humanos,Plan Medico,2400.0
Recursos Humanos,Bono Navideno,2000.0
Recursos Humanos,Adiestramientos,3000.0
Recursos Humanos,Pruebas de Dopaje,5000.0
Recreacion y Deportes,Empleados Regulares,182592.0
Recreacion y Deportes,Seguro Social Federal,14350.79
Recreacion y Deportes,Plan Medico,9600.0
Recreacion y Deportes,Bono Navideno,5000.0
Recreacion y Deportes,Materiales de Mantenimiento,1000.0
Recreacion y Deportes,Materiales y Suministros de Operacion,1000.0
Recreacion y Deportes,Compra de Equipos,10000.0
Recreacion y Deportes,Donaciones,15000.0
Sanidad o Saneamiento,Empleados Regulares,270816.96
Sanidad o Saneamiento,Seguro Social Federal,21367.75
Sanidad o Saneamiento,Plan Medico,10800.0
Sanidad o Saneamiento,Bono Navideno,8500.0
Sanidad o Saneamiento,Materiales de Mantenimiento,1000.0
Sanidad o Saneamiento,Materiales y Suministros de Operacion,2000.0
Sanidad o Saneamiento,Miscelaneos,1000.0
Sanidad o Saneamiento,Disposicion de Desperdicios,693750.0
Centro de Envejecientes,Empleados Regulares,30000.0
Centro de Envejecientes,Seguro Social Federal,2333.25
Centro de Envejecientes,Plan Medico,1200.0
Centro de Envejecientes,Bono Navideno,500.0
Centro de Envejecientes,Drogas, Medicinas y Otros Suministros,1000.0
Centro de Envejecientes,Alimentos,25000.0
Centro de Envejecientes,Materiales y Suministros de Operacion,2500.0
Centro de Envejecientes,Mantenimiento de Edificios,1000.0
Secretaria Municipal,Empleados Regulares,90936.0
Secretaria Municipal,Seguro Social Federal,7109.6
Secretaria Municipal,Plan Medico,4800.0
Secretaria Municipal,Bono Navideno,2000.0
Secretaria Municipal,Miscelaneos,1000.0
Auditoria Interna,Empleados Regulares,37872.0
Auditoria Interna,Seguro Social Federal,2935.46
Auditoria Interna,Plan Medico,1200.0
Auditoria Interna,Bono Navideno,500.0
Planificacion y Desarrollo,Empleados Regulares,55752.0
Planificacion y Desarrollo,Seguro Social Federal,4341.53
Planificacion y Desarrollo,Plan Medico,1200.0
Planificacion y Desarrollo,Bono Navideno,1000.0
Compras y Suministros,Empleados Regulares,39852.0
Compras y Suministros,Seguro Social Federal,3125.18
Compras y Suministros,Plan Medico,2400.0
Compras y Suministros,Bono Navideno,1000.0
Centro Historico,Empleados Regulares,97464.0
Centro Historico,Seguro Social Federal,7685.5
Centro Historico,Plan Medico,1200.0
Centro Historico,Bono Navideno,3000.0
Centro Historico,Miscelaneos,5000.0
Centro Historico,Festival o Actividad I,2000.0
Finanzas,Compra de Edificios,100000.0
