departamento,ingreso,monto
Finanzas,Patentes,1179581.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,1010419.0
Finanzas,Intereses y Recargos por Demoras en Patentes,0.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,0.0
Finanzas,Arbitrios de Construccion,240000.0
Finanzas,Compensacion AEE,407281.11
Finanzas,Otros Ingresos Intergubernamentales,5447736.85
Finanzas,Aportaciones Estatales,0.0
Finanzas,Permisos de Uso Estadios y Coliseos,0.0
Finanzas,Ingresos por Servicios Transportacion,200000.0
Finanzas,Multas,3300.0
Finanzas,Intereses en Inversiones,0.0
Finanzas,Intereses Bancarios,35000.0
Finanzas,Estacionamiento,60000.0
Finanzas,Ingresos Eventuales,40000.0
Finanzas,Renta Locales y Propiedad Municipal,92000.0
Finanzas,Fiestas Patronales,0.0
Finanzas,Otros IngresosContribucion,40000.0
Finanzas,Propiedad No,1837530.14
