departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,24720.0
Legislatura Municipal,Seguro Social Federal,1936.98
Legislatura Municipal,Plan Medico,1500.0
Legislatura Municipal,Bono Navideno,600.0
Legislatura Municipal,Dietas,9000.0
Legislatura Municipal,Adiestramientos,200.0
Legislatura Municipal,Gastos de Viaje,100.0
Legislatura Municipal,Mantenimiento de Equipo,500.0
Legislatura Municipal,Miscelaneos,200.0
Oficina del Alcalde(sa),Empleados Regulares,217356.0
Oficina del Alcalde(sa),Pre-Retiro Voluntario,8784.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Regular,30000.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Enfermedad,10000.0
Oficina del Alcalde(sa),Seguro Social Federal,20726.91
Oficina del Alcalde(sa),Plan Medico,13500.0
Oficina del Alcalde(sa),Bono Navideno,4800.0
Oficina del Alcalde(sa),Compra de Equipos,2000.0
Oficina del Alcalde(sa),Adiestramientos,1000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,20000.0
Oficina del Alcalde(sa),Servicios Legales,125000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,3000.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,1500.0
Oficina del Alcalde(sa),Miscelaneos,16500.0
Oficina del Alcalde(sa),Gastos de Viaje,2000.0
Oficina del Alcalde(sa),Relaciones Publicas,5000.0
Oficina del Alcalde(sa),Becas,30000.0
Oficina del Alcalde(sa),Donaciones,25000.0
Finanzas,Empleados Regulares,288447.6
Finanzas,Empleados Transitorios,28296.0
Finanzas,Seguro Social Federal,25057.09
Finanzas,Plan Medico,24000.0
Finanzas,Seguro por Desempleo,18000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,88379.84
Finanzas,Bono Navideno,10800.0
Finanzas,Materiales de Oficina,7000.0
Finanzas,Materiales de Mantenimiento,15000.0
Finanzas,Energia Electrica,100206.66
Finanzas,Acueducto y Alcantarillados,60000.0
Finanzas,Telefono y Comunicaciones,40000.0
Finanzas,Compra de Equipos,50000.0
Finanzas,Adiestramientos,3000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),15000.0
Finanzas,Servicios Profesionales - No Clasificados,25000.0
Finanzas,Pruebas de Dopaje,24000.0
Finanzas,Gastos de Viaje,4000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,225658.58
Finanzas,Donaciones,150000.0
Finanzas,Deficit,10000.0
Finanzas,Mantenimiento de Equipo,13000.0
Finanzas,Miscelaneos,70000.0
Finanzas,Publicaciones y Anuncios,5000.0
