departamento,gasto,monto
Legislatura Municipal,Dietas,65000.0
Legislatura Municipal,Empleados Regulares,57888.0
Legislatura Municipal,Seguro Social Federal,4543.18
Legislatura Municipal,Plan Medico,10800.0
Legislatura Municipal,Bono Navideno,1500.0
Legislatura Municipal,Materiales de Oficina,1600.0
Legislatura Municipal,Compra de Uniformes,300.0
Legislatura Municipal,Telefono y Comunicaciones,3000.0
Legislatura Municipal,Compra de Equipos,1500.0
Legislatura Municipal,Gastos de Representacion,200.0
Legislatura Municipal,Adiestramientos,1500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,18000.0
Legislatura Municipal,Relaciones Publicas,250.0
Legislatura Municipal,Mantenimiento de Equipo,800.0
Legislatura Municipal,Mantenimiento de Vehiculos,3000.0
Oficina del Alcalde(sa),Empleados Regulares,622620.0
Oficina del Alcalde(sa),Seguro Social Federal,48471.93
Oficina del Alcalde(sa),Plan Medico,79200.0
Oficina del Alcalde(sa),Bono Navideno,11000.0
Oficina del Alcalde(sa),Materiales de Oficina,3800.0
Oficina del Alcalde(sa),Drogas, Medicinas y Otros Suministros,3500.0
Oficina del Alcalde(sa),Compra de Uniformes,10000.0
Oficina del Alcalde(sa),Compra de Uniformes,800.0
Oficina del Alcalde(sa),Compra de Equipos,2500.0
Oficina del Alcalde(sa),Donaciones,135000.0
Oficina del Alcalde(sa),Gastos de Representacion,100.0
Oficina del Alcalde(sa),Relaciones Publicas,50000.0
Oficina del Alcalde(sa),Gastos de Viaje,2500.0
Oficina del Alcalde(sa),Miscelaneos,55000.0
Oficina del Alcalde(sa),Empleados Regulares,322416.0
Oficina del Alcalde(sa),Seguro Social Federal,25391.57
Oficina del Alcalde(sa),Plan Medico,68400.0
Oficina del Alcalde(sa),Bono Navideno,9500.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,6500.0
Oficina del Alcalde(sa),Compra de Equipos,500.0
Oficina del Alcalde(sa),Donaciones,5000.0
Oficina del Alcalde(sa),Empleados Regulares,429420.0
Oficina del Alcalde(sa),Seguro Social Federal,33845.14
Oficina del Alcalde(sa),Plan Medico,93600.0
Oficina del Alcalde(sa),Bono Navideno,13000.0
Oficina del Alcalde(sa),Materiales de Oficina,1000.0
Oficina del Alcalde(sa),Compra de Uniformes,1000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,6500.0
Oficina del Alcalde(sa),Donaciones,1500.0
Oficina del Alcalde(sa),Miscelaneos,1000.0
Oficina del Alcalde(sa),Fiestas Patronales,30000.0
Oficina del Alcalde(sa),Festival o Actividad II,60000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,30000.0
Oficina del Alcalde(sa),Materiales de Oficina,300.0
Oficina del Alcalde(sa),Compra de Uniformes,500.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,1000.0
Oficina del Alcalde(sa),Compra de Equipos,10500.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,8000.0
Oficina del Alcalde(sa),Empleados Regulares,248892.0
Oficina del Alcalde(sa),Seguro Social Federal,19613.99
Oficina del Alcalde(sa),Plan Medico,54000.0
Oficina del Alcalde(sa),Bono Navideno,7500.0
Oficina del Alcalde(sa),Compra de Equipos,1000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,165038.8
Oficina del Alcalde(sa),Donaciones,100000.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,800.0
Oficina del Alcalde(sa),Compra de Uniformes,500.0
Oficina del Alcalde(sa),Equipo de Mecanica,500.0
Oficina del Alcalde(sa),Compra de Equipos,3000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,26450.0
Oficina del Alcalde(sa),Miscelaneos,5500.0
Oficina del Alcalde(sa),Empleados Regulares,56556.0
Oficina del Alcalde(sa),Seguro Social Federal,4403.03
Oficina del Alcalde(sa),Plan Medico,7200.0
