departamento,ingreso,monto
Finanzas,Patentes,4037500.0
Finanzas,Intereses y Recargos por Demoras en Patentes,55000.0
Finanzas,Otros Impuestos Locales,100.0
Finanzas,Impuesto Municipal sobre las Ventas,2836562.78
Finanzas,Intereses, Recargos y Penalidades Sales Tax,2000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Otros Ingresos Intergubernamentales,527429.38
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),9542722.38
Finanzas,Arbitrios de Construccion,1650000.0
Finanzas,Licencias y Permisos,50000.0
Finanzas,Compensacion AEE,669523.66
Finanzas,Compensaciones Estatales,3000.0
Finanzas,Disposicion Derperdicios,5000.0
Finanzas,Otros Ingresos por Servicios,15000.0
Finanzas,Multas,3500.0
Finanzas,Confiscaciones,100.0
Finanzas,Intereses en Inversiones,2800.0
Finanzas,Intereses Bancarios,150000.0
Finanzas,Ingresos EventualesRenta Locales y,110000.0
Finanzas,Propiedad Municipal,150000.0
Finanzas,Otros Ingresos,124500.0
Contribucion,Otros Intereses,1000.0
Recaudos e Ingresos,Otros Ingresos,5000.0
