departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,131340.0
Legislatura Municipal,Vacaciones Acumuladas, Licencia Enfermedad,4040.0
Legislatura Municipal,Seguro Choferil,16.0
Legislatura Municipal,Seguro Social Federal,10907.0
Legislatura Municipal,Plan Medico,9000.0
Legislatura Municipal,Bono Navideno,7200.0
Legislatura Municipal,Materiales de Oficina,1000.0
Legislatura Municipal,Compra de Equipos,500.0
Legislatura Municipal,Dietas,80000.0
Legislatura Municipal,Gastos de Representacion,5000.0
Legislatura Municipal,Adiestramientos,200.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Relaciones Publicas,1000.0
Legislatura Municipal,Gastos de Viaje,1000.0
Legislatura Municipal,Servicios Legales,12000.0
Legislatura Municipal,Cuotas y Suscripciones,2500.0
Legislatura Municipal,Renta de Equipos y Vehiculos,200.0
Legislatura Municipal,Mantenimiento de Equipo,500.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Legislatura Municipal,Otros Festivales o Actividades,500.0
Oficina del Alcalde(sa),Empleados Regulares,210445.0
Oficina del Alcalde(sa),Empleados Transitorios,82764.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Regular,598.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Enfermedad,12581.0
Oficina del Alcalde(sa),Seguro Choferil,48.0
Oficina del Alcalde(sa),Seguro Social Federal,24907.0
Oficina del Alcalde(sa),Plan Medico,24000.0
Oficina del Alcalde(sa),Bono Navideno,19200.0
Oficina del Alcalde(sa),Gastos de Representacion,15000.0
Oficina del Alcalde(sa),Adiestramientos,500.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,380000.0
Oficina del Alcalde(sa),Relaciones Publicas,80000.0
Oficina del Alcalde(sa),Gastos de Viaje,7000.0
Oficina del Alcalde(sa),Servicios Legales,270000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,9500.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,5000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,10000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,400.0
Oficina del Alcalde(sa),Donaciones,67500.0
Oficina del Alcalde(sa),Empleados Regulares,86052.0
Oficina del Alcalde(sa),Empleados Transitorios,286788.0
Oficina del Alcalde(sa),Empleados Irregulares,19584.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Regular,3184.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Enfermedad,57000.0
Oficina del Alcalde(sa),Seguro Choferil,64.0
Oficina del Alcalde(sa),Seguro Social Federal,36828.0
Oficina del Alcalde(sa),Plan Medico,36000.0
Oficina del Alcalde(sa),Bono Navideno,28800.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,110000.0
Oficina del Alcalde(sa),Gastos de Viaje,200.0
Oficina del Alcalde(sa),Donaciones,168800.0
Oficina del Alcalde(sa),Becas,11000.0
Oficina del Alcalde(sa),Miscelaneos,2000.0
Oficina del Alcalde(sa),Donaciones,111150.0
Oficina del Alcalde(sa),Empleados Regulares,17376.0
Oficina del Alcalde(sa),Empleados Transitorios,71544.0
Oficina del Alcalde(sa),Seguro Choferil,48.0
Oficina del Alcalde(sa),Seguro Social Federal,7353.0
Oficina del Alcalde(sa),Plan Medico,9000.0
Oficina del Alcalde(sa),Bono Navideno,7200.0
Oficina del Alcalde(sa),Adiestramientos,200.0
Oficina del Alcalde(sa),Gastos de Viaje,100.0
Finanzas,Empleados Regulares,611880.0
Finanzas,Empleados Transitorios,449364.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,1318.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,20629.0
Finanzas,Seguro Choferil,320.0
Finanzas,Seguro Social Federal,88280.0
Finanzas,Plan Medico,88500.0
Finanzas,Bono Navideno,70800.0
Finanzas,Adiestramientos,3000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),25000.0
Finanzas,Gastos de Viaje,2000.0
Finanzas,Renta de Edificios, Locales y Terrenos,6000.0
Finanzas,Franqueo,5000.0
Finanzas,Seguro por Desempleo,100000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,453482.0
Finanzas,Seguros,750000.0
Finanzas,Seguros,10000.0
Finanzas,Deficit,1000.0
Finanzas,Pago de Sentencias y Reclamaciones,10000.0
Finanzas,Reclamaciones Anos Anteriores,10000.0
Obras Publicas,Empleados Regulares,108396.0
Obras Publicas,Empleados Transitorios,44148.0
Obras Publicas,Vacaciones Acumuladas, Licencia Regular,368.0
Obras Publicas,Vacaciones Acumuladas, Licencia Enfermedad,5056.0
Obras Publicas,Seguro Choferil,64.0
Obras Publicas,Seguro Social Federal,12819.0
Obras Publicas,Plan Medico,12000.0
Obras Publicas,Bono Navideno,9600.0
Obras Publicas,Adiestramientos,200.0
Obras Publicas,Canon Excavaciones y Demoliciones,8000.0
Obras Publicas,Renta de Edificios, Locales y Terrenos,3000.0
Obras Publicas,Miscelaneos,30000.0
Obras Publicas,Materiales de Construccion,5000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,12000.0
Obras Publicas,Empleados Regulares,439608.0
Obras Publicas,Empleados Transitorios,1555692.0
Obras Publicas,Vacaciones Acumuladas, Licencia Regular,9712.0
Obras Publicas,Vacaciones Acumuladas, Licencia Enfermedad,32979.0
Obras Publicas,Seguro Choferil,2176.0
Obras Publicas,Seguro Social Federal,168483.0
Obras Publicas,Plan Medico,205500.0
Obras Publicas,Bono Navideno,164400.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,2000.0
Obras Publicas,Miscelaneos,500.0
Obras Publicas,Empleados Regulares,37644.0
Obras Publicas,Vacaciones Acumuladas, Licencia Regular,929.0
Obras Publicas,Vacaciones Acumuladas, Licencia Enfermedad,1575.0
Obras Publicas,Seguro Choferil,16.0
Obras Publicas,Seguro Social Federal,3255.0
Obras Publicas,Plan Medico,3000.0
Obras Publicas,Bono Navideno,2400.0
Obras Publicas,Adiestramientos,250.0
Obras Publicas,Gastos de Viaje,2000.0
Obras Publicas,Cuotas y Suscripciones,200.0
Salud,Empleados Regulares,176424.0
Salud,Empleados Transitorios,143088.0
Salud,Vacaciones Acumuladas, Licencia Enfermedad,9069.0
Salud,Seguro Choferil,48.0
Salud,Seguro Social Federal,26514.0
Salud,Plan Medico,22500.0
Salud,Bono Navideno,18000.0
Salud,Drogas, Medicinas y Otros Suministros,5000.0
Salud,Renta de Edificios, Locales y Terrenos,8500.0
Salud,Disposicion de Desperdicios,2500.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,40164.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,144516.0
Oficina Municipal Manejo de Emergencias,Vacaciones Acumuladas, Licencia Regular,1811.0
Oficina Municipal Manejo de Emergencias,Vacaciones Acumuladas, Licencia Enfermedad,5072.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,112.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,15756.0
Oficina Municipal Manejo de Emergencias,Plan Medico,18000.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,14400.0
Oficina Municipal Manejo de Emergencias,Drogas, Medicinas y Otros Suministros,1000.0
Oficina Municipal Manejo de Emergencias,Alimentos,1500.0
Oficina Municipal Manejo de Emergencias,Adiestramientos,1000.0
Oficina Municipal Manejo de Emergencias,Disposicion de Desperdicios,1000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,82692.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,239640.0
Oficina Municipal Manejo de Emergencias,Vacaciones Acumuladas, Licencia Regular,5915.0
Oficina Municipal Manejo de Emergencias,Vacaciones Acumuladas, Licencia Enfermedad,10075.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,288.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,27718.0
Oficina Municipal Manejo de Emergencias,Plan Medico,30000.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,24000.0
Oficina Municipal Manejo de Emergencias,Drogas, Medicinas y Otros Suministros,1000.0
Oficina Municipal Manejo de Emergencias,Adiestramientos,200.0
Guardia Municipal,Empleados Regulares,547968.0
Guardia Municipal,Empleados Transitorios,173484.0
Guardia Municipal,Vacaciones Acumuladas, Licencia Regular,106.0
Guardia Municipal,Vacaciones Acumuladas, Licencia Enfermedad,17567.0
Guardia Municipal,Seguro Choferil,448.0
Guardia Municipal,Seguro Social Federal,60490.0
Guardia Municipal,Plan Medico,64500.0
Guardia Municipal,Bono Navideno,51600.0
Guardia Municipal,Adiestramientos,500.0
Guardia Municipal,Gastos de Viaje,300.0
Recursos Humanos,Empleados Regulares,256944.0
Recursos Humanos,Empleados Transitorios,96960.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,2050.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,7031.0
Recursos Humanos,Seguro Choferil,48.0
Recursos Humanos,Seguro Social Federal,29421.0
Recursos Humanos,Plan Medico,27000.0
Recursos Humanos,Bono Navideno,21600.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Regular,100000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,60000.0
Recursos Humanos,Seguro Social Federal,12240.0
Recursos Humanos,Adiestramientos,1000.0
Recursos Humanos,Servicios Profesionales - No Clasificados,10000.0
Recursos Humanos,Pruebas de Dopaje,15000.0
Recursos Humanos,Gastos de Viaje,1000.0
Recreacion y Deportes,Empleados Regulares,282828.0
Recreacion y Deportes,Empleados Transitorios,491556.0
Recreacion y Deportes,Vacaciones Acumuladas, Licencia Regular,4603.0
Recreacion y Deportes,Vacaciones Acumuladas, Licencia Enfermedad,17392.0
Recreacion y Deportes,Seguro Choferil,368.0
Recreacion y Deportes,Seguro Social Federal,66247.0
Recreacion y Deportes,Plan Medico,87000.0
Recreacion y Deportes,Bono Navideno,69600.0
Recreacion y Deportes,Alimentos,60000.0
Recreacion y Deportes,Materiales y Suministros de Operacion,2500.0
Recreacion y Deportes,Adiestramientos,500.0
Recreacion y Deportes,Gastos de Viaje,3000.0
Recreacion y Deportes,Donaciones,500.0
Recreacion y Deportes,Empleados Regulares,16632.0
Recreacion y Deportes,Vacaciones Acumuladas, Licencia Enfermedad,1247.0
Recreacion y Deportes,Seguro Choferil,16.0
Recreacion y Deportes,Seguro Social Federal,1460.0
Recreacion y Deportes,Plan Medico,1500.0
Recreacion y Deportes,Bono Navideno,1200.0
Recreacion y Deportes,Adiestramientos,150.0
Recreacion y Deportes,Gastos de Viaje,200.0
Recreacion y Deportes,Otros Festivales o Actividades,1500.0
Relaciones Publicas,Empleados Regulares,15912.0
Relaciones Publicas,Empleados Transitorios,30720.0
Relaciones Publicas,Vacaciones Acumuladas, Licencia Regular,80.0
Relaciones Publicas,Vacaciones Acumuladas, Licencia Enfermedad,1175.0
Relaciones Publicas,Seguro Choferil,32.0
Relaciones Publicas,Seguro Social Federal,3939.0
Relaciones Publicas,Plan Medico,4500.0
Relaciones Publicas,Bono Navideno,3600.0
Relaciones Publicas,Adiestramientos,200.0
Relaciones Publicas,Gastos de Viaje,200.0
Relaciones Publicas,Fiestas Patronales,150000.0
Relaciones Publicas,Festival o Actividad I,150000.0
Relaciones Publicas,Festival o Actividad II,500.0
Relaciones Publicas,Otros Festivales o Actividades,30000.0
Asuntos del Ciudadano,Empleados Regulares,160044.0
Asuntos del Ciudadano,Empleados Transitorios,240576.0
Asuntos del Ciudadano,Vacaciones Acumuladas, Licencia Enfermedad,5918.0
Asuntos del Ciudadano,Seguro Choferil,816.0
