departamento,ingreso,monto
Finanzas,Patentes,4000070.0
Finanzas,Impuesto Municipal sobre las Ventas,3636358.0
Finanzas,Intereses y Recargos por Demoras en Patentes,65000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,109425.0
Finanzas,Licencias y Permisos,12000.0
Finanzas,Licencias y Permisos,1000.0
Finanzas,Licencias y Permisos,150000.0
Finanzas,Compensacion AEE,712242.0
Finanzas,Otros Ingresos Intergubernamentales,1503881.0
Finanzas,Permisos de Uso Estadios y Coliseos,2500.0
Finanzas,Permisos de Uso Estadios y Coliseos,3000.0
Finanzas,Otros Ingresos por Servicios,80000.0
Finanzas,Multas,4500.0
Finanzas,Confiscaciones,100.0
Finanzas,Intereses en Inversiones,200000.0
Finanzas,Ingresos Eventuales,400000.0
Finanzas,Renta Locales y Propiedad Municipal,97395.0
Finanzas,Renta Locales y Propiedad MunicipalRenta Locales y,5720.0
Finanzas,Propiedad Municipal,200000.0
Finanzas,Otros Ingresos,2000.0
Finanzas,Otros Ingresos,1000.0
Finanzas,Otros Ingresos,10000.0
Finanzas,Otros IngresosContribucion,40000.0
Finanzas,Propiedad No Contribucion,4439494.0
Finanzas,Propiedad No,3292051.0
