departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,36869.0
Legislatura Municipal,Seguro Social Federal,2959.0
Legislatura Municipal,Plan Medico,2160.0
Legislatura Municipal,Bono Navideno,1800.0
Legislatura Municipal,Materiales de Oficina,3500.0
Legislatura Municipal,Compra de Equipos,500.0
Legislatura Municipal,Dietas,22000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,7200.0
Legislatura Municipal,Gastos de Viaje,1000.0
Legislatura Municipal,Cuotas y Suscripciones,1500.0
Legislatura Municipal,Renta de Equipos y Vehiculos,4572.0
Legislatura Municipal,Mantenimiento de Equipo,6500.0
Legislatura Municipal,Mantenimiento de Vehiculos,4000.0
Legislatura Municipal,Miscelaneos,4000.0
Legislatura Municipal,Publicaciones y Anuncios,2000.0
Oficina del Alcalde(sa),Empleados Regulares,161231.0
Oficina del Alcalde(sa),Seguro Social Federal,12564.0
Oficina del Alcalde(sa),Plan Medico,4320.0
Oficina del Alcalde(sa),Bono Navideno,3000.0
Oficina del Alcalde(sa),Compra de Equipos,5000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,44000.0
Oficina del Alcalde(sa),Relaciones Publicas,5000.0
Oficina del Alcalde(sa),Servicios Legales,21600.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,3000.0
Oficina del Alcalde(sa),Donaciones,30000.0
Oficina del Alcalde(sa),Donaciones,31667.0
Oficina del Alcalde(sa),Festival o Actividad I,20000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,3000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,4800.0
Oficina del Alcalde(sa),Empleados Regulares,81978.0
Oficina del Alcalde(sa),Seguro Social Federal,6501.0
Oficina del Alcalde(sa),Plan Medico,3600.0
Oficina del Alcalde(sa),Bono Navideno,3000.0
Oficina del Alcalde(sa),Festival o Actividad I,30000.0
Oficina del Alcalde(sa),Empleados Regulares,157328.0
Oficina del Alcalde(sa),Seguro Social Federal,12449.0
Oficina del Alcalde(sa),Plan Medico,6480.0
Oficina del Alcalde(sa),Bono Navideno,5400.0
Oficina del Alcalde(sa),Empleados Regulares,87495.0
Oficina del Alcalde(sa),Seguro Social Federal,6923.0
Oficina del Alcalde(sa),Plan Medico,3600.0
Oficina del Alcalde(sa),Bono Navideno,3000.0
Oficina del Alcalde(sa),Empleados Regulares,48681.0
Oficina del Alcalde(sa),Seguro Social Federal,3816.0
Oficina del Alcalde(sa),Plan Medico,1440.0
Oficina del Alcalde(sa),Bono Navideno,1200.0
Finanzas,Empleados Regulares,317903.0
Finanzas,Aportacion Sistema de Retiro - Pensionados,105000.0
Finanzas,Seguro Social Federal,25146.0
Finanzas,Plan Medico,12960.0
Finanzas,Seguro por Desempleo,128853.0
Finanzas,Bono Navideno,10800.0
Finanzas,Materiales de Oficina,12000.0
Finanzas,Energia Electrica,188252.0
Finanzas,Servicios Profesionales - No Clasificados,40400.0
Finanzas,Seguro Choferil,1000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,171171.0
Finanzas,Acueducto y Alcantarillados,300000.0
Finanzas,Telefono y Comunicaciones,80400.0
Finanzas,Materiales y Suministros de Operacion,20000.0
Finanzas,Gastos de Viaje,7000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,200000.0
Finanzas,Renta de Equipos y Vehiculos,55000.0
Finanzas,Miscelaneos,36800.0
Finanzas,Pago de Sentencias y Reclamaciones,124000.0
Finanzas,Aportacion al CRIM,26357.0
Finanzas,Intereses Cuentas Vendidas,3566.0
