departamento,ingreso,monto
Finanzas,Patentes,217840.0
Finanzas,Intereses y Recargos por Demoras en Patentes,34878.0
Finanzas,Impuesto Municipal sobre las Ventas,119008.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,0.0
Finanzas,Fondo Desarrollo Municipal,720000.0
Finanzas,Otros Ingresos Intergubernamentales,4554368.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),555407.0
Finanzas,Arbitrios de Construccion,90100.0
Finanzas,Licencias y Permisos,5000.0
Finanzas,Compensacion AEE,188252.0
Finanzas,Multas,5000.0
Finanzas,Intereses Bancarios,1200.0
Finanzas,Ingresos Eventuales,225000.0
Finanzas,Renta Locales y Propiedad Municipal,20000.0
Finanzas,Otros Ingresos,25000.0
