departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,54756.0
Legislatura Municipal,Seguro Choferil,15.6
Legislatura Municipal,Seguro Social Federal,4341.83
Legislatura Municipal,Plan Medico,2400.0
Legislatura Municipal,Bono Navideno,2000.0
Legislatura Municipal,Materiales de Oficina,1000.0
Legislatura Municipal,Compra de Equipos,300.0
Legislatura Municipal,Dietas,18500.0
Legislatura Municipal,Adiestramientos,100.0
Legislatura Municipal,Gastos de Viaje,400.0
Legislatura Municipal,Servicios Legales,8000.0
Legislatura Municipal,Cuotas y Suscripciones,2700.0
Legislatura Municipal,Renta de Equipos y Vehiculos,2500.0
Legislatura Municipal,Mantenimiento de Equipo,200.0
Legislatura Municipal,Mantenimiento de Vehiculos,200.0
Legislatura Municipal,Miscelaneos,500.0
Legislatura Municipal,Publicaciones y Anuncios,1500.0
Legislatura Municipal,Franqueo,200.0
Oficina del Alcalde(sa),Empleados Regulares,211920.0
Oficina del Alcalde(sa),Seguro Choferil,109.2
Oficina del Alcalde(sa),Seguro Social Federal,16556.13
Oficina del Alcalde(sa),Plan Medico,9600.0
Oficina del Alcalde(sa),Bono Navideno,4500.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,5000.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,100.0
Oficina del Alcalde(sa),Mantenimiento de Vehiculos,2000.0
Oficina del Alcalde(sa),Miscelaneos,700.0
Finanzas,Empleados Regulares,220188.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,50500.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,15500.0
Finanzas,Seguro Choferil,93.2
Finanzas,Seguro Social Federal,22734.88
Finanzas,Plan Medico,21600.0
Finanzas,Seguro por Desempleo,325000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,175699.34
Finanzas,Bono Navideno,11000.0
Finanzas,Beneficios Marginales,3825.0
Finanzas,Materiales de Oficina,18000.0
Finanzas,Materiales de Mantenimiento,9000.0
Finanzas,Energia Electrica,363465.68
Finanzas,Acueducto y Alcantarillados,336000.0
Finanzas,Telefono y Comunicaciones,72300.0
Finanzas,Compra de Equipos,5000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),21000.0
Finanzas,Servicios Profesionales - No Clasificados,127100.0
Finanzas,Gastos de Viaje,500.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Cargos por Servicios Bancarios,2000.0
Finanzas,Seguros,329986.0
Finanzas,Renta de Edificios, Locales y Terrenos,38910.72
Finanzas,Renta de Equipos y Vehiculos,43197.2
Finanzas,Deficit,183588.67
Finanzas,Reserva de Deficit,84830.0
Finanzas,Mantenimiento de Equipo,30000.0
Finanzas,Mantenimiento de Vehiculos,1000.0
Finanzas,Mantenimiento de Edificios,30675.0
Finanzas,Miscelaneos,12000.0
Finanzas,Franqueo,3000.0
Finanzas,Pago de Sentencias y Reclamaciones,20000.0
Finanzas,Reclamaciones Anos Anteriores,186200.0
Finanzas,Aportacion al Fondo de Equiparacion,271186.52
Finanzas,Aportacion al CRIM,55135.57
Finanzas,Liquidacion Deuda del CRIM,78254.09
Finanzas,Festival o Actividad I,500.0
Finanzas,Transferencias que Salen,121758.24
Obras Publicas,Empleados Regulares,233196.0
Obras Publicas,Seguro Choferil,312.0
Obras Publicas,Seguro Social Federal,18833.99
Obras Publicas,Plan Medico,22800.0
Obras Publicas,Bono Navideno,13000.0
Obras Publicas,Herramientas,1500.0
Obras Publicas,Compra de Uniformes,250.0
Obras Publicas,Combustible y Lubricantes,140000.0
Obras Publicas,Materiales y Suministros de Operacion,40000.0
Obras Publicas,Compra de Equipos,5000.0
Obras Publicas,Servicios Profesionales - No Clasificados,93360.0
Obras Publicas,Mantenimiento de Equipo,500.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,12000.0
Obras Publicas,Mantenimiento de Vehiculos,37000.0
Obras Publicas,Mantenimiento de Edificios,8000.0
Obras Publicas,Materiales y Suministros de Operacion,500.0
Obras Publicas,Mantenimiento de Vehiculos,1000.0
Obras Publicas,Disposicion de Desperdicios,1020000.0
Obras Publicas,Materiales y Suministros de Operacion,250.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,500.0
Salud,Mantenimiento de Edificios,5000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,104100.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,78.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,8307.9
Oficina Municipal Manejo de Emergencias,Plan Medico,6000.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,4500.0
Oficina Municipal Manejo de Emergencias,Materiales de Oficina,175.0
Oficina Municipal Manejo de Emergencias,Drogas, Medicinas y Otros Suministros,200.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,200.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,400.0
Oficina Municipal Manejo de Emergencias,Servicios Profesionales - No Clasificados,12000.0
Oficina Municipal Manejo de Emergencias,Renta de Equipos y Vehiculos,15000.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,1000.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,1000.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,6000.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Edificios,1000.0
Oficina Municipal Manejo de Emergencias,Miscelaneos,1000.0
Guardia Municipal,Empleados Regulares,221034.0
Guardia Municipal,Seguro Choferil,265.2
Guardia Municipal,Seguro Social Federal,17788.85
Guardia Municipal,Plan Medico,14400.0
Guardia Municipal,Bono Navideno,11500.0
Guardia Municipal,Compra de Uniformes,4000.0
Guardia Municipal,Materiales y Suministros de Operacion,2500.0
Guardia Municipal,Compra de Equipos,400.0
Guardia Municipal,Adiestramientos,1000.0
Guardia Municipal,Mantenimiento de Equipo,1000.0
Guardia Municipal,Mantenimiento de Vehiculos,7000.0
Recursos Humanos,Empleados Regulares,102888.0
Recursos Humanos,Empleados Transitorios,829872.0
Recursos Humanos,Seguro Choferil,771.0
Recursos Humanos,Seguro Social Federal,75181.14
Recursos Humanos,Plan Medico,31200.0
Recursos Humanos,Bono Navideno,50000.0
Recursos Humanos,Beneficios Marginales,85000.0
Recursos Humanos,Compra de Equipos,400.0
Recursos Humanos,Adiestramientos,1000.0
Recursos Humanos,Servicios Profesionales - No Clasificados,1000.0
Recursos Humanos,Pruebas de Dopaje,5000.0
Recursos Humanos,Servicios Legales,81500.0
Recursos Humanos,Miscelaneos,670.45
Recreacion y Deportes,Empleados Regulares,84924.0
Recreacion y Deportes,Seguro Choferil,62.4
Recreacion y Deportes,Seguro Social Federal,6840.94
Recreacion y Deportes,Plan Medico,4800.0
Recreacion y Deportes,Bono Navideno,4500.0
Recreacion y Deportes,Materiales de Mantenimiento,1300.0
Recreacion y Deportes,Materiales y Suministros de Operacion,9000.0
Recreacion y Deportes,Compra de Equipos,2500.0
Recreacion y Deportes,Adiestramientos,200.0
Recreacion y Deportes,Servicios Profesionales - No Clasificados,8000.0
Recreacion y Deportes,Mantenimiento de Equipo,1500.0
Recreacion y Deportes,Reparacion y Mantenimiento de Estructuras,5000.0
Recreacion y Deportes,Mantenimiento de Vehiculos,2800.0
Recreacion y Deportes,Mantenimiento de Edificios,4000.0
Recreacion y Deportes,Festival o Actividad I,10000.0
Centro de Envejecientes,Empleados Regulares,107052.0
Centro de Envejecientes,Seguro Choferil,46.8
Centro de Envejecientes,Seguro Social Federal,8571.98
Centro de Envejecientes,Plan Medico,9600.0
Centro de Envejecientes,Bono Navideno,5000.0
Centro de Envejecientes,Alimentos,35000.0
