departamento,ingreso,monto
Finanzas,Patentes,428160.0
Finanzas,Impuesto Municipal sobre las Ventas,416291.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,0.0
Finanzas,Fondo Desarrollo Municipal,0.0
Finanzas,Intereses y Recargos por Demoras en Patentes,8000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,228000.0
Finanzas,Licencias y Permisos,300.0
Finanzas,Compensacion AEE,343065.68
Finanzas,Otros Ingresos Intergubernamentales,4258216.17
Finanzas,Aportaciones Estatales,0.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Servicios de Salud,0.0
Finanzas,Permisos de Uso Parques y Recreos,500.0
Finanzas,Disposicion Derperdicios,2000.0
Finanzas,Multas,65000.0
Finanzas,Intereses Bancarios,15000.0
Finanzas,Ingresos Eventuales,1220.74
Finanzas,Renta Locales y Propiedad Municipal,161962.0
Finanzas,Otros Ingresos,25000.0
Finanzas,Otros IngresosContribucion,750000.0
Finanzas,Propiedad No,1168642.76
