departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,69570.0
Legislatura Municipal,Seguro Choferil,16.0
Legislatura Municipal,Seguro Social Federal,5475.0
Legislatura Municipal,Plan Medico,6000.0
Legislatura Municipal,Bono Navideno,2000.0
Legislatura Municipal,Adiestramientos,2000.0
Legislatura Municipal,Materiales de Oficina,1500.0
Legislatura Municipal,Equipo de Oficina,1000.0
Legislatura Municipal,Dietas,80000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,57600.0
Legislatura Municipal,Cuotas y Suscripciones,4000.0
Legislatura Municipal,Amortizacion de Principal de Prestamos,4300.0
Legislatura Municipal,Miscelaneos,1000.0
Legislatura Municipal,Publicaciones y Anuncios,5000.0
Legislatura Municipal,Gastos de Representacion,2000.0
Oficina del Alcalde(sa),Empleados Regulares,267120.0
Oficina del Alcalde(sa),Seguro Choferil,78.0
Oficina del Alcalde(sa),Seguro Social Federal,20741.0
Oficina del Alcalde(sa),Plan Medico,13500.0
Oficina del Alcalde(sa),Bono Navideno,4000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,140400.0
Oficina del Alcalde(sa),Gastos de Viaje,15000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,15000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,101405.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,51335.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,15000.0
Oficina del Alcalde(sa),Donaciones,10000.0
Oficina del Alcalde(sa),Fiestas Patronales,100000.0
Oficina del Alcalde(sa),Festival o Actividad I,75000.0
Oficina del Alcalde(sa),Festival o Actividad II,20000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,60000.0
Oficina del Alcalde(sa),Donaciones,129000.0
Oficina del Alcalde(sa),Empleados Regulares,44594.0
Oficina del Alcalde(sa),Seguro Choferil,16.0
Oficina del Alcalde(sa),Seguro Social Federal,3488.0
Oficina del Alcalde(sa),Plan Medico,3000.0
Oficina del Alcalde(sa),Bono Navideno,1000.0
Finanzas,Empleados Regulares,380514.0
Finanzas,Seguro Choferil,110.0
Finanzas,Seguro Social Federal,29798.0
Finanzas,Plan Medico,22500.0
Finanzas,Seguro por Desempleo,275000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,555183.0
Finanzas,Bono Navideno,9000.0
Finanzas,Materiales de Oficina,25000.0
Finanzas,Materiales de Mantenimiento,20000.0
Finanzas,Energia Electrica,969758.0
Finanzas,Acueducto y Alcantarillados,700000.0
Finanzas,Telefono y Comunicaciones,57792.0
Finanzas,Compra de Equipos,26000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),24750.0
Finanzas,Servicios Profesionales - No Clasificados,181148.0
Finanzas,Canon Excavaciones y Demoliciones,8000.0
Finanzas,Seguros,700000.0
Finanzas,Renta de Equipos y Vehiculos,55000.0
Finanzas,Miscelaneos,52400.0
Finanzas,Pago de Sentencias y Reclamaciones,53026.0
Finanzas,Deficit,217590.0
Finanzas,Aportacion al CRIM,363554.0
Finanzas,Liquidacion Deuda del CRIM,74952.0
Finanzas,Empleados Regulares,48812.0
Finanzas,Seguro Choferil,16.0
Finanzas,Seguro Social Federal,3811.0
Finanzas,Plan Medico,3000.0
Finanzas,Bono Navideno,1000.0
Finanzas,Empleados Regulares,83235.0
Finanzas,Seguro Choferil,47.0
Finanzas,Seguro Social Federal,6559.0
Finanzas,Plan Medico,4500.0
Finanzas,Bono Navideno,2500.0
Obras Publicas,Empleados Regulares,768666.0
Obras Publicas,Seguro Choferil,375.0
Obras Publicas,Seguro Social Federal,60678.0
Obras Publicas,Plan Medico,67500.0
Obras Publicas,Bono Navideno,24500.0
Obras Publicas,Servicios Profesionales - No Clasificados,21600.0
Obras Publicas,Servicios No Profesionales,235200.0
Obras Publicas,Empleados Transitorios,1363713.0
Obras Publicas,Seguro Choferil,656.0
Obras Publicas,Seguro Social Federal,108570.0
Obras Publicas,Bono Navideno,55500.0
Obras Publicas,Compra de Uniformes,4500.0
Obras Publicas,Combustible y Lubricantes,275000.0
Obras Publicas,Compra de Equipos,100000.0
Obras Publicas,Renta de Equipos y Vehiculos,75000.0
Obras Publicas,Mantenimiento de Equipo,115000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,120000.0
Obras Publicas,Mantenimiento de Vehiculos,120000.0
Obras Publicas,Mantenimiento de Edificios,350000.0
Obras Publicas,Disposicion de Desperdicios,2170800.0
Obras Publicas,Empleados Regulares,273544.0
Obras Publicas,Seguro Choferil,47.0
Obras Publicas,Seguro Social Federal,21615.0
Obras Publicas,Plan Medico,27000.0
Obras Publicas,Bono Navideno,9000.0
