departamento,ingreso,monto
Finanzas,Patentes,5065502.0
Finanzas,Impuesto Municipal sobre las Ventas,2167040.0
Finanzas,Intereses y Recargos por Demoras en Patentes,200000.0
Finanzas,Arbitrios de Construccion,870000.0
Finanzas,Licencias y Permisos,3731.0
Finanzas,Compensacion AEE,869758.0
Finanzas,Otros Ingresos Intergubernamentales,767255.0
Finanzas,Disposicion Derperdicios,50000.0
Finanzas,Multas,50000.0
Finanzas,Intereses en Inversiones,65000.0
Finanzas,Ingresos Eventuales,600000.0
Finanzas,Renta Locales y Propiedad Municipal,250000.0
Finanzas,Fiestas Patronales,35000.0
Finanzas,Otros Ingresos,400000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),7464763.0
Asuntos del Ciudadano,Servicios Medicos Ambulatorios,170000.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Otros Ingresos,400000.0
