departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,31996.8
Legislatura Municipal,Seguro Social Federal,2493.66
Legislatura Municipal,Plan Medico,2400.0
Legislatura Municipal,Bono Navideno,600.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Telefono y Comunicaciones,500.0
Legislatura Municipal,Compra de Equipos,500.0
Legislatura Municipal,Dietas,30700.0
Legislatura Municipal,Relaciones Publicas,300.0
Legislatura Municipal,Servicios Legales,22000.0
Legislatura Municipal,Cuotas y Suscripciones,500.0
Legislatura Municipal,Miscelaneos,2500.0
Oficina del Alcalde(sa),Empleados Regulares,356785.68
Oficina del Alcalde(sa),Empleados Transitorios,116100.36
Oficina del Alcalde(sa),Seguro Choferil,144.0
Oficina del Alcalde(sa),Seguro Social Federal,36818.38
Oficina del Alcalde(sa),Plan Medico,19200.0
Oficina del Alcalde(sa),Bono Navideno,8400.0
Oficina del Alcalde(sa),Donaciones,16000.0
Oficina del Alcalde(sa),Materiales de Oficina,6200.0
Oficina del Alcalde(sa),Materiales de Mantenimiento,5000.0
Oficina del Alcalde(sa),Compra de Equipos,2000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,150500.0
Oficina del Alcalde(sa),Relaciones Publicas,20000.0
Oficina del Alcalde(sa),Gastos de Viaje,25000.0
Oficina del Alcalde(sa),Servicios Legales,100000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,7000.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,17500.0
Oficina del Alcalde(sa),Miscelaneos,86947.87
Oficina del Alcalde(sa),Franqueo,400.0
Oficina del Alcalde(sa),Festival o Actividad I,15000.0
Finanzas,Empleados Regulares,260320.2
Finanzas,Empleados Transitorios,135438.12
Finanzas,Seguro Choferil,16.0
Finanzas,Seguro Social Federal,30757.46
Finanzas,Plan Medico,15600.0
Finanzas,Seguro por Desempleo,85000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,201124.08
Finanzas,Bono Navideno,6300.0
Finanzas,Materiales de Oficina,10000.0
Finanzas,Energia Electrica,300000.0
Finanzas,Acueducto y Alcantarillados,150000.0
Finanzas,Telefono y Comunicaciones,50000.0
Finanzas,Compra de Equipos,2000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),21000.0
Finanzas,Servicios Profesionales - No Clasificados,63910.0
Finanzas,Servicios No Profesionales,11000.0
Finanzas,Gastos de Viaje,26000.0
Finanzas,Cargos por Servicios Bancarios,20000.0
Finanzas,Seguros,357710.0
Finanzas,Renta de Edificios, Locales y Terrenos,12000.0
Finanzas,Renta de Equipos y Vehiculos,7000.0
Finanzas,Deficit,40000.0
Finanzas,Intereses Cuentas Vendidas,7236.28
Finanzas,Mantenimiento de Equipo,50000.0
Finanzas,Miscelaneos,25000.0
Finanzas,Pago de Sentencias y Reclamaciones,3000.0
Finanzas,Reclamaciones Anos Anteriores,393528.35
Finanzas,Aportacion al Fondo de Equiparacion,888913.48
Finanzas,Aportacion al CRIM,43692.8
Finanzas,Liquidacion Deuda del CRIM,273902.3
Finanzas,Transferencias que Salen,69293.82
Obras Publicas,Empleados Regulares,564107.28
Obras Publicas,Empleados Transitorios,498406.2
Obras Publicas,Seguro Choferil,256.0
Obras Publicas,Seguro Social Federal,83347.78
Obras Publicas,Plan Medico,45600.0
Obras Publicas,Bono Navideno,27000.0
Obras Publicas,Materiales de Construccion,15000.0
Obras Publicas,Canon Excavaciones y Demoliciones,5000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,35000.0
Obras Publicas,Miscelaneos,14000.0
Obras Publicas,Publicaciones y Anuncios,1000.0
Obras Publicas,Disposicion de Desperdicios,630000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,144192.84
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,86712.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,48.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,18054.37
