departamento,ingreso,monto
Finanzas,Patentes,977591.49
Finanzas,Impuesto Municipal sobre las Ventas,315000.0
Finanzas,Arbitrios de Construccion,365000.0
Finanzas,Licencias y Permisos,10000.0
Finanzas,Compensacion AEE,344335.8
Finanzas,Otros Ingresos Intergubernamentales,3918751.46
Finanzas,Disposicion Derperdicios,27000.0
Finanzas,Multas,40000.0
Finanzas,Intereses Bancarios,4000.0
Finanzas,Ingresos Eventuales,66000.0
Finanzas,Renta Locales y Propiedad Municipal,140000.0
Finanzas,Otros Ingresos,1358000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),956938.59
