departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,110640.0
Legislatura Municipal,Seguro Social Federal,8762.31
Legislatura Municipal,Plan Medico,5760.0
Legislatura Municipal,SINOT,324.0
Legislatura Municipal,Beneficios Marginales,1500.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Materiales y Suministros de Operacion,100.0
Legislatura Municipal,Compra de Equipos,5000.0
Legislatura Municipal,Dietas,170000.0
Legislatura Municipal,Gastos de Representacion,2000.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,100000.0
Legislatura Municipal,Servicios No Profesionales,50.0
Legislatura Municipal,Cuotas y Suscripciones,3000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,50.0
Legislatura Municipal,Mantenimiento de Equipo,50.0
Legislatura Municipal,Miscelaneos,100.0
Legislatura Municipal,Publicaciones y Anuncios,2500.0
Oficina del Alcalde(sa),Empleados Regulares,895044.0
Oficina del Alcalde(sa),Seguro Social Federal,70360.4
Oficina del Alcalde(sa),Plan Medico,41352.0
Oficina del Alcalde(sa),SINOT,2052.0
Oficina del Alcalde(sa),Bono Navideno,15200.0
Oficina del Alcalde(sa),Beneficios Marginales,9500.0
Oficina del Alcalde(sa),Gastos de Representacion,1000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,29700.0
Oficina del Alcalde(sa),Servicios No Profesionales,100.0
Oficina del Alcalde(sa),Gastos de Viaje,20000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,25269.0
Oficina del Alcalde(sa),Miscelaneos,100.0
Oficina del Alcalde(sa),Empleados Regulares,241860.0
Oficina del Alcalde(sa),Seguro Choferil,46.8
Oficina del Alcalde(sa),Seguro Social Federal,19297.89
Oficina del Alcalde(sa),Plan Medico,16128.0
Oficina del Alcalde(sa),SINOT,864.0
Oficina del Alcalde(sa),Bono Navideno,6400.0
Oficina del Alcalde(sa),Beneficios Marginales,4000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,125697.6
Oficina del Alcalde(sa),Servicios No Profesionales,50.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,18265.0
Oficina del Alcalde(sa),Miscelaneos,200.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,15000.0
Oficina del Alcalde(sa),Empleados Regulares,56100.0
Oficina del Alcalde(sa),Seguro Social Federal,4590.0
Oficina del Alcalde(sa),Plan Medico,5760.0
Oficina del Alcalde(sa),SINOT,324.0
Oficina del Alcalde(sa),Bono Navideno,2400.0
Oficina del Alcalde(sa),Beneficios Marginales,1500.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,500.0
Oficina del Alcalde(sa),Empleados Regulares,71652.0
Oficina del Alcalde(sa),Seguro Social Federal,5779.72
Oficina del Alcalde(sa),Plan Medico,6504.0
Oficina del Alcalde(sa),SINOT,324.0
Oficina del Alcalde(sa),Bono Navideno,2400.0
Oficina del Alcalde(sa),Beneficios Marginales,1500.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,80000.0
Oficina del Alcalde(sa),Empleados Regulares,74628.0
Oficina del Alcalde(sa),Seguro Social Federal,5808.5
Oficina del Alcalde(sa),Plan Medico,1920.0
Oficina del Alcalde(sa),SINOT,108.0
Oficina del Alcalde(sa),Bono Navideno,800.0
Oficina del Alcalde(sa),Beneficios Marginales,500.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,138240.0
Oficina del Alcalde(sa),Miscelaneos,50000.0
Finanzas,Empleados Regulares,260616.0
Finanzas,Seguro Social Federal,20732.72
Finanzas,Plan Medico,16488.0
Finanzas,SINOT,864.0
Finanzas,Bono Navideno,6400.0
Finanzas,Beneficios Marginales,4000.0
Finanzas,Dietas,50.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),60000.0
Finanzas,Servicios Profesionales - No Clasificados,327000.0
Finanzas,Gastos de Viaje,50.0
Finanzas,Cargos por Servicios Bancarios,55000.0
Finanzas,Cuotas y Suscripciones,50.0
Finanzas,Mantenimiento de Equipo,5000.0
Finanzas,Miscelaneos,15000.0
Finanzas,Empleados Regulares,50.0
Finanzas,Empleados Transitorios,50.0
Finanzas,Seguro Choferil,50.0
Finanzas,Sistema de Retiro,50.0
Finanzas,Seguro Social Federal,50.0
Finanzas,Plan Medico,50.0
Finanzas,SINOT,50.0
Finanzas,Bono Navideno,50.0
Finanzas,Beneficios Marginales,50.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,250000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,200000.0
Finanzas,Seguro Social Federal,34425.0
Finanzas,Seguro por Desempleo,70000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,2053906.04
Finanzas,Energia Electrica,7396424.0
Finanzas,Acueducto y Alcantarillados,1900000.0
Finanzas,Telefono y Comunicaciones,770000.0
Finanzas,Canon Excavaciones y Demoliciones,12000.0
Finanzas,Seguros,4700000.0
Finanzas,Seguros,30000.0
Finanzas,Renta de Edificios, Locales y Terrenos,2367065.63
Finanzas,Renta de Edificios, Locales y Terrenos,1544142.12
Finanzas,Intereses Cuentas Vendidas,179817.15
Finanzas,Miscelaneos,479250.79
Finanzas,Aportacion al Fondo de Equiparacion,12576018.75
Finanzas,Reclamaciones Anos Anteriores,16000.0
Finanzas,Aportacion al CRIM,2099947.57
Finanzas,Liquidacion Deuda del CRIM,186832.3
Finanzas,Liquidacion Deuda del CRIM,512136.48
Finanzas,Empleados Regulares,459540.0
Finanzas,Seguro Choferil,78.0
Finanzas,Seguro Social Federal,37541.57
Finanzas,Plan Medico,48696.0
Finanzas,SINOT,2592.0
Finanzas,Bono Navideno,19200.0
Finanzas,Beneficios Marginales,12000.0
Finanzas,Empleados Regulares,407760.0
Finanzas,Seguro Choferil,93.6
Finanzas,Seguro Social Federal,32983.7
Finanzas,Plan Medico,35688.0
Finanzas,SINOT,1944.0
Finanzas,Bono Navideno,14400.0
Finanzas,Beneficios Marginales,9000.0
