departamento,ingreso,monto
Finanzas,Patentes,41500000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,350000.0
Finanzas,Impuesto Municipal sobre las Ventas,14400000.0
Finanzas,Intereses, Recargos y Penalidades Sales Tax,50000.0
Finanzas,Arbitrios de Construccion,3900000.0
Finanzas,Compensacion AEE,7396424.0
Finanzas,Otros Ingresos Intergubernamentales,644737.11
Finanzas,Servicios de Salud,200000.0
Finanzas,Permisos de Uso Parques y Recreos,20000.0
Finanzas,Permisos de Uso Estadios y Coliseos,25000.0
Finanzas,Disposicion Derperdicios,700000.0
Finanzas,Otros Ingresos por Servicios,400000.0
Finanzas,Multas,2000000.0
Finanzas,Intereses en Inversiones,100000.0
Finanzas,Ingresos Eventuales,11299512.4
Finanzas,Renta Locales y Propiedad Municipal,2256005.22
Finanzas,Otros Ingresos,275000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),42901489.16
