departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,43980.0
Legislatura Municipal,Seguro Choferil,15.6
Legislatura Municipal,Seguro Social Federal,3479.22
Legislatura Municipal,Plan Medico,5880.0
Legislatura Municipal,Bono Navideno,1500.0
Legislatura Municipal,Compra de Equipos,1000.0
Legislatura Municipal,Dietas,50000.0
Legislatura Municipal,Adiestramientos,100.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,600.0
Legislatura Municipal,Gastos de Viaje,400.0
Legislatura Municipal,Servicios Legales,38000.0
Legislatura Municipal,Cuotas y Suscripciones,3800.0
Legislatura Municipal,Publicaciones y Anuncios,400.0
Oficina del Alcalde(sa),Empleados Regulares,271008.0
Oficina del Alcalde(sa),Seguro Social Federal,21076.36
Oficina del Alcalde(sa),Plan Medico,20580.0
Oficina del Alcalde(sa),Bono Navideno,4500.0
Oficina del Alcalde(sa),Compra de Equipos,1000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,325000.0
Oficina del Alcalde(sa),Servicios No Profesionales,85375.0
Oficina del Alcalde(sa),Gastos de Viaje,600.0
Oficina del Alcalde(sa),Servicios Legales,289076.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,7500.0
Oficina del Alcalde(sa),Donaciones,65000.0
Oficina del Alcalde(sa),Empleados Regulares,76152.0
Oficina del Alcalde(sa),Empleados Transitorios,43740.0
Oficina del Alcalde(sa),Seguro Choferil,15.6
Oficina del Alcalde(sa),Seguro Social Federal,9458.61
Oficina del Alcalde(sa),Plan Medico,14700.0
Oficina del Alcalde(sa),Bono Navideno,3750.0
Oficina del Alcalde(sa),Compra de Equipos,2000.0
Oficina del Alcalde(sa),Donaciones,250000.0
Oficina del Alcalde(sa),Empleados Regulares,101592.0
Oficina del Alcalde(sa),Seguro Choferil,78.0
Oficina del Alcalde(sa),Seguro Social Federal,9461.37
Oficina del Alcalde(sa),Plan Medico,14700.0
Oficina del Alcalde(sa),Bono Navideno,3750.0
Oficina del Alcalde(sa),Empleados Regulares,51684.0
Oficina del Alcalde(sa),Seguro Choferil,31.2
Oficina del Alcalde(sa),Seguro Social Federal,4068.58
Oficina del Alcalde(sa),Plan Medico,5880.0
Oficina del Alcalde(sa),Bono Navideno,1500.0
Oficina del Alcalde(sa),Festival o Actividad I,40000.0
Oficina del Alcalde(sa),Empleados Regulares,13380.0
Oficina del Alcalde(sa),Empleados Transitorios,17196.0
Oficina del Alcalde(sa),Seguro Choferil,15.6
Oficina del Alcalde(sa),Seguro Social Federal,2453.82
Oficina del Alcalde(sa),Plan Medico,5880.0
Oficina del Alcalde(sa),Bono Navideno,1500.0
Oficina del Alcalde(sa),Becas,6000.0
Oficina del Alcalde(sa),Empleados Regulares,61272.0
Oficina del Alcalde(sa),Empleados Transitorios,49608.0
Oficina del Alcalde(sa),Seguro Choferil,31.2
Oficina del Alcalde(sa),Seguro Social Federal,8711.82
Oficina del Alcalde(sa),Plan Medico,11760.0
Oficina del Alcalde(sa),Bono Navideno,3000.0
Oficina del Alcalde(sa),Festival o Actividad II,25000.0
Finanzas,Empleados Regulares,421032.0
Finanzas,Seguro Choferil,403.6
Finanzas,Seguro Social Federal,34322.65
Finanzas,Plan Medico,55860.0
Finanzas,Bono Navideno,14250.0
Finanzas,Seguros,10000.0
Finanzas,Intereses y Recargos Adelanto Remesa,5000.0
Finanzas,Reparacion y Mantenimiento de Estructuras,40000.0
Finanzas,Seguro por Desempleo,183000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,263687.66
Finanzas,Energia Electrica,489668.62
Finanzas,Acueducto y Alcantarillados,507552.0
Finanzas,Telefono y Comunicaciones,94000.0
Finanzas,Programas de Computadoras,25500.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),23000.0
Finanzas,Servicios Profesionales - No Clasificados,217000.0
Finanzas,Tasaciones,4000.0
Finanzas,Canon Excavaciones y Demoliciones,11000.0
Finanzas,Inspeccion de Edificios y Construcciones,2400.0
Finanzas,Seguros,680873.0
Finanzas,Renta de Edificios, Locales y Terrenos,75000.0
Finanzas,Renta de Equipos y Vehiculos,101000.0
Finanzas,Reserva de Deficit,182150.0
Finanzas,Mantenimiento de Equipo,100000.0
Finanzas,Mantenimiento de Vehiculos,216000.0
Finanzas,Miscelaneos,136000.0
Finanzas,Reclamaciones Anos Anteriores,5000.0
Finanzas,Aportacion al CRIM,294236.11
Finanzas,Otros Festivales o Actividades,16000.0
Finanzas,Transferencias que Salen,217389.6
Obras Publicas,Empleados Regulares,789576.0
Obras Publicas,Empleados Transitorios,141468.0
Obras Publicas,Seguro Choferil,592.8
Obras Publicas,Seguro Social Federal,74265.74
Obras Publicas,Plan Medico,155820.0
Obras Publicas,Bono Navideno,39750.0
