departamento,ingreso,monto
Finanzas,Patentes,3870662.0
Finanzas,Patentes Anos Anteriores,0.0
Finanzas,Impuesto Municipal sobre las Ventas,1372641.0
Finanzas,Intereses y Recargos por Demoras en Patentes,125000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,501314.0
Finanzas,Licencias y Permisos,7000.0
Finanzas,Compensacion AEE,510536.0
Finanzas,Otros Ingresos Intergubernamentales,1998078.88
Finanzas,Compensaciones Estatales,0.0
Finanzas,Multas,3500.0
Finanzas,Intereses en Inversiones,0.0
Finanzas,Intereses Bancarios,4000.0
Finanzas,Ingresos Eventuales,1866514.94
Finanzas,Renta Locales y Propiedad Municipal,30000.0
Finanzas,Fiestas Patronales,0.0
Finanzas,Otros Ingresos,20000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),6081145.75
Contribucion Recaudos e Ingresos Municipales (CRIM),Otros IngresosOtros Impuestos,5000.0
Finanzas,Locales,2000000.0
