departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,169956.0
Legislatura Municipal,Seguro Social Federal,13793.41
Legislatura Municipal,Plan Medico,22140.0
Legislatura Municipal,Bono Navideno,10350.0
Legislatura Municipal,Materiales de Oficina,5000.0
Legislatura Municipal,Materiales de Mantenimiento,2500.0
Legislatura Municipal,Combustible y Lubricantes,2100.0
Legislatura Municipal,Telefono y Comunicaciones,2000.0
Legislatura Municipal,Materiales de Construccion,400.0
Legislatura Municipal,Equipo de Mantenimiento,2000.0
Legislatura Municipal,Compra de Equipos,30000.0
Legislatura Municipal,Dietas,85500.0
Legislatura Municipal,Adiestramientos,1000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,54000.0
Legislatura Municipal,Relaciones Publicas,5000.0
Legislatura Municipal,Gastos de Viaje,500.0
Legislatura Municipal,Servicios Legales,930.0
Legislatura Municipal,Cuotas y Suscripciones,3200.0
Legislatura Municipal,Renta de Equipos y Vehiculos,3700.0
Legislatura Municipal,Mantenimiento de Equipo,2000.0
Legislatura Municipal,Mantenimiento de Vehiculos,500.0
Legislatura Municipal,Mantenimiento de Edificios,3000.0
Legislatura Municipal,Miscelaneos,7800.0
Legislatura Municipal,Publicaciones y Anuncios,1800.0
Legislatura Municipal,Franqueo,700.0
Oficina del Alcalde(sa),Empleados Regulares,582708.0
Oficina del Alcalde(sa),Empleados Irregulares,180934.1
Oficina del Alcalde(sa),Plan Medico,63960.0
Oficina del Alcalde(sa),Bono Navideno,36800.0
Oficina del Alcalde(sa),Materiales de Oficina,6000.0
Oficina del Alcalde(sa),Materiales de Construccion,4000.0
Oficina del Alcalde(sa),Dietas,15000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,202956.0
Oficina del Alcalde(sa),Relaciones Publicas,60000.0
Oficina del Alcalde(sa),Gastos de Viaje,1000.0
Oficina del Alcalde(sa),Servicios Legales,193644.0
Oficina del Alcalde(sa),Servicios de Ingenieria y Arquitectura,15000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,10000.0
Oficina del Alcalde(sa),Donaciones,60000.0
Oficina del Alcalde(sa),Renta de Edificios, Locales y Terrenos,2500.0
Oficina del Alcalde(sa),Miscelaneos,7200.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,9000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,500.0
Oficina del Alcalde(sa),Servicios Legales,100.0
Oficina del Alcalde(sa),Donaciones,150000.0
Oficina del Alcalde(sa),Vacaciones Acumuladas, Licencia Regular,10000.0
Oficina del Alcalde(sa),Seguro Social Federal,61998.82
Oficina del Alcalde(sa),Servicios de Ingenieria y Arquitectura,2000.0
Oficina del Alcalde(sa),Donaciones,40396.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,10000.0
Oficina del Alcalde(sa),Relaciones Publicas,20000.0
Oficina del Alcalde(sa),Fiestas Patronales,140000.0
Oficina del Alcalde(sa),Gastos de Viaje,1000.0
Oficina del Alcalde(sa),Festival o Actividad II,10000.0
Oficina del Alcalde(sa),Gastos de Auditoria Sencilla (Single Audit),27500.0
Oficina del Alcalde(sa),Donaciones,48000.0
Oficina del Alcalde(sa),Becas,1000.0
Finanzas,Empleados Regulares,461592.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,100000.0
Finanzas,Seguro Choferil,3500.0
Finanzas,Seguro Social Federal,37335.67
Finanzas,Plan Medico,56580.0
Finanzas,Seguro por Desempleo,50600.0
Finanzas,Beneficio por Fondo del Seguro del Estado,408001.54
Finanzas,Bono Navideno,26450.0
Finanzas,Materiales de Oficina,8000.0
Finanzas,Energia Electrica,2000.0
Finanzas,Acueducto y Alcantarillados,250000.0
Finanzas,Telefono y Comunicaciones,125000.0
Finanzas,Programas de Computadoras,500.0
Finanzas,Equipo de Mantenimiento,50000.0
Finanzas,Compra de Equipos,170000.0
Finanzas,Servicios Profesionales - No Clasificados,166179.0
Finanzas,Servicios Profesionales - No Clasificados,12500.0
Finanzas,Servicios No Profesionales,500.0
Finanzas,Cargos por Servicios Bancarios,25000.0
