departamento,ingreso,monto
Finanzas,Patentes,4677634.0
Finanzas,Impuesto Municipal sobre las Ventas,5335487.0
Finanzas,Fondo Desarrollo Municipal,350000.0
Finanzas,Arbitrios de Construccion,164994.0
Finanzas,Licencias y Permisos,30000.0
Finanzas,Compensacion AEE,598474.0
Finanzas,Otros Ingresos Intergubernamentales,2280147.15
Finanzas,Permisos de Uso Estadios y Coliseos,3500.0
Finanzas,Otros Ingresos por Servicios,100.0
Finanzas,Multas,40000.0
Finanzas,Intereses en Inversiones,15000.0
Finanzas,Ingresos Eventuales,100000.0
Finanzas,Renta Locales y Propiedad Municipal,50000.0
Finanzas,Otros Ingresos,55000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),5915647.08
Finanzas,Otros Ingresos,300000.0
